Meille tulee vauva.	We're having a baby.
Olen raskaana.	I'm pregnant.
Odotamme perheenlisäystä.	We are expecting a new addition to our family.
Perheemme kasvaa yhdellä.	Our family is growing by one.
Meistä tulee vanhempia.	We're going to be parents.
Laskettu aika on maaliskuussa.	The due date is in March.
Sinusta tulee isoveli.	You're going to be a big brother.
Teistä tulee isovanhemmat.	You're going to be grandparents.
Olemme niin onnellisia ja innoissamme.	We are so happy and excited.
En malta odottaa, että tapaan hänet.	I can't wait to meet him/her.
Vauva syntyy ensi keväänä.	The baby will be born next spring.
Olen jo toisella kolmanneksella.	I'm already in the second trimester.
Voitko uskoa, että meistä tulee perhe?	Can you believe we're going to be a family?
Tämä on paras uutinen ikinä.	This is the best news ever.
Halusimme kertoa teille henkilökohtaisesti.	We wanted to tell you in person.
Sinusta tulee isosisko.	You're going to be a big sister.
Me saamme tytön.	We're having a girl.
Tuleva vauva on poika.	The upcoming baby is a boy.
Emme vielä tiedä sukupuolta.	We don't know the gender yet.
Pidetään sukupuoli yllätyksenä.	Let's keep the gender a surprise.
Minulla on ollut aamupahoinvointia.	I've been having morning sickness.
Kaikki on mennyt tähän mennessä hyvin.	Everything has gone well so far.
Näimme hänet eilen ultrassa.	We saw him/her in the ultrasound yesterday.
Vauvan sydänäänet olivat vahvat.	The baby's heartbeats were strong.
Olemme alkaneet miettiä nimiä.	We have started to think about names.
Tämä tuntuu vieläkin uskomattomalta.	This still feels unreal.
Meidän pieni salaisuutemme ei ole enää salaisuus.	Our little secret is not a secret anymore.
Valmistaudu isovanhemman rooliin!	Get ready for the role of a grandparent!
Sinusta tulee mahtava täti.	You're going to be an amazing aunt.
Pieni ihmeemme on tulossa.	Our little miracle is on its way.
Olen viikolla 12.	I'm on week 12.
Elämämme tulee muuttumaan.	Our lives are about to change.
Olemme valmiita tähän uuteen seikkailuun.	We are ready for this new adventure.
Arvaa mitä? Olen raskaana!	Guess what? I'm pregnant!
Minulla on sinulle suuria uutisia.	I have big news for you.
Istupa alas, minulla on kerrottavaa.	Sit down, I have something to tell you.
Vauvan huone on jo suunnitteilla.	The baby's room is already being planned.
Olen syönyt kahden edestä.	I've been eating for two.
Minulla on outoja mielitekoja.	I'm having strange cravings.
