Tervetuloa, mitä saisi olla?	Welcome, what can I get for you?
Haluaisin yhden juustohampurilaisaterian.	I would like one cheeseburger meal.
Saako olla isoilla ranskalaisilla?	Would you like that with large fries?
Keskikokoinen virvoitusjuoma, kiitos.	A medium soft drink, please.
Mikä juoma aterian kanssa?	What drink with the meal?
Otetaan Coca-Cola.	I'll have a Coca-Cola.
Saisiko olla jotain muuta?	Will there be anything else?
Ei kiitos, siinä kaikki.	No thank you, that's all.
Tilauksenne yhteensä on kaksitoista euroa ja viisikymmentä senttiä.	Your total is twelve euros and fifty cents.
Ajakaa seuraavalle luukulle, kiitos.	Please drive to the next window.
Voinko maksaa kortilla?	Can I pay by card?
Kyllä, lähimaksu käy.	Yes, contactless payment is fine.
Tässä tilauksenne, olkaa hyvä.	Here is your order, you're welcome.
Kiitos paljon, hyvää päivänjatkoa!	Thanks a lot, have a good day!
Haluaisin kaksi kanahampurilaista ilman majoneesia.	I'd like two chicken burgers without mayonnaise.
Onko teillä kasvisvaihtoehtoja?	Do you have vegetarian options?
Yksi kasvispurilainen, kiitos.	One veggie burger, please.
Saisinko pirtelön mansikanmakuisena?	Could I get a milkshake in strawberry flavor?
Laitatteko mukaan ketsuppia ja sinappia?	Could you include ketchup and mustard?
Kuusi kananugettia ja dippi, kiitos.	Six chicken nuggets and a dip, please.
Mikä dippi teillä on?	What kind of dip do you have?
Valkosipulimajoneesi, kiitos.	Garlic mayonnaise, please.
Anteeksi, voisitteko toistaa viimeisen?	Sorry, could you repeat the last item?
Sanoinko jo juoman?	Did I already say the drink?
Ei, mikä juoma saisi olla?	No, what would you like to drink?
Otetaan Fanta.	I'll take a Fanta.
Onko teillä lastenateriaa?	Do you have a kids' meal?
Kyllä, lelun kanssa vai ilman?	Yes, with or without a toy?
Lelun kanssa, kiitos.	With the toy, please.
Se tekee yhteensä kaksikymmentä euroa.	That will be twenty euros total.
Ajakaa maksuluukulle, kiitos.	Please drive to the payment window.
Tässä, olkaa hyvä.	Here you go.
Kiitos ja näkemiin.	Thank you and goodbye.
Hei, tilaisin ruokaa mukaan.	Hi, I'd like to order food to go.
Kaikki annoksemme ovat mukaan otettavia.	All our meals are for takeaway.
Voisinko saada yhden ison pirtelön?	Could I get one large milkshake?
Suklaa vai vanilja?	Chocolate or vanilla?
Suklaa, kiitos.	Chocolate, please.
Lisäksi otan yhden tuplajuustohampurilaisen.	I'll also have one double cheeseburger.
Selvä, tuplajuusto. Tuleeko muuta?	Okay, one double cheese. Anything else?
Ranskalaiset lisukkeeksi, kiitos.	Fries on the side, please.
Isot vai normaalit?	Large or regular?
Normaalikokoiset riittävät.	Regular size is fine.
Tilauksenne on valmis maksettavaksi.	Your order is ready for payment.
Hetkinen, haluaisin lisätä vielä yhden asian.	Just a moment, I'd like to add one more thing.
Toki, mitä saisi olla?	Of course, what would you like?
Yksi omenapiirakka, kiitos.	One apple pie, please.
Selvä juttu, lisätty.	Alright, it's been added.
Yhteensä kaksikymmentäneljä euroa tasan.	That's twenty-four euros even.
Ajakaa eteenpäin noutoluukulle.	Please drive ahead to the pick-up window.
Hei, tarkistaisin vain, onko hampurilaisessa suolakurkkua.	Hi, I just wanted to check if there are pickles in the burger.
Kyllä, kaikissa juustohampurilaisissamme on suolakurkkua.	Yes, all our cheeseburgers have pickles.
Voinko saada omani ilman suolakurkkua?	Can I get mine without pickles?
Totta kai, otamme ne pois.	Of course, we'll take them off.
Kiitos paljon!	Thanks a lot!
Laitatko juomaan paljon jäitä?	Could you put lots of ice in the drink?
Ehdottomasti.	Absolutely.
Ja saisinko pillin mukaan?	And could I get a straw?
Pillit ja lautasliinat ovat pussissa.	Straws and napkins are in the bag.
Loistavaa, kiitos avusta.	Great, thanks for the help.
Hyvää ruokahalua!	Enjoy your meal!
Onko teillä kahvia?	Do you have coffee?
Kyllä, mustana vai maidolla?	Yes, black or with milk?
Mustana, kiitos.	Black, please.
Yksi iso kahvi mukaan.	One large coffee to go.
Onko teillä jotain jälkiruokaa?	Do you have any dessert?
Meillä on jäätelöä ja pirtelöitä.	We have ice cream and milkshakes.
Otetaan yksi pieni pehmis.	I'll have one small soft-serve ice cream.
Kastikkeella vai ilman?	With or without sauce?
Kinuskikastikkeella, kiitos.	With caramel sauce, please.
Selvä, se tulee heti.	Okay, it's coming right up.
Voimmeko saada kaksi haarukkaa?	Can we get two forks?
Kyllä, laitan ne pussiin.	Yes, I'll put them in the bag.
Anteeksi, mutta tilauksestani puuttuu ranskalaiset.	Excuse me, but my order is missing the fries.
Pahoitteluni, tässä ne ovat.	I'm sorry about that, here they are.
Ei se mitään, kiitos.	No problem, thank you.
Voisinko saada kupin vettä?	Could I get a cup of water?
Kyllä, hetkinen.	Yes, just a moment.
Tässä tilauksenne ja kuitti.	Here is your order and the receipt.
Kiitos, ei tarvitse kuittia.	Thanks, I don't need the receipt.
Onko teidän majoneesi laktoositonta?	Is your mayonnaise lactose-free?
Kyllä, kaikki dippimme ovat laktoosittomia.	Yes, all our dips are lactose-free.
Hienoa, otan yhden sellaisen.	Great, I'll take one of those.
Onko tämä oikea jono autokaistalle?	Is this the right queue for the drive-thru?
Kyllä, olette oikeassa jonossa.	Yes, you are in the correct queue.
Kauanko tilauksen valmistuminen kestää?	How long will the order take to prepare?
Noin viisi minuuttia.	About five minutes.
Saisinko aterian ilman sipulia?	Could I get the meal without onions?
Kyllä, merkitään se tilaukseen.	Yes, we'll note that in the order.
Tilauksenne on valmis noudettavaksi.	Your order is ready for pickup.
Kiitos nopeasta palvelusta.	Thank you for the fast service.
Eipä kestä, tervetuloa uudelleen!	You're welcome, come again!
Voinko lisätä tilaukseen vielä yhden juoman?	Can I add one more drink to the order?
Kyllä, mikä juoma saisi olla?	Yes, what drink would you like?
Light-kola, kiitos.	A diet coke, please.
Anteeksi, meillä on vain sokeritonta Pepsi Maxia.	Sorry, we only have sugar-free Pepsi Max.
Se käy hyvin.	That works fine.
Unohdin tilata dipin nugeteille.	I forgot to order a dip for the nuggets.
Ei hätää, minkä dipin haluaisit?	No worries, which dip would you like?
Barbecue-dippi, kiitos.	Barbecue dip, please.
Onko hampurilaispihvi täysin kypsä?	Is the hamburger patty fully cooked?
Kyllä, paistamme kaikki pihvit kypsiksi.	Yes, we cook all patties until they are well-done.
Voiko aterian vaihtaa salaattiin?	Can the meal be changed to a salad?
Ranskalaisten tilalle voi vaihtaa pienen salaatin.	The fries can be swapped for a small salad.
Kyllä, otan salaatin ranskalaisten sijaan.	Yes, I'll take the salad instead of the fries.
Mikä salaatinkastike teillä on?	What salad dressing do you have?
Meillä on vinegrette ja jogurttikastike.	We have vinaigrette and a yogurt dressing.
Otetaan vinegrette.	I'll have the vinaigrette.
Laitatko vähän lautasliinoja mukaan?	Could you put some napkins in the bag?
Laitoin jo extraa.	I already put in extra.
Tämä ei ole minun tilaukseni.	This is not my order.
Voi anteeksi, hetkinen niin korjaan asian.	Oh, I'm sorry, one moment and I'll fix it.
