Hei.	Hello.
Moi.	Hi.
Päivää.	Good day.
Haluatko kuitin?	Do you want a receipt?
En tarvitse kuittia, kiitos.	I don't need a receipt, thank you.
Maksan kortilla.	I'll pay by card.
Lähimaksulla, kiitos.	Contactless, please.
Käteisellä.	With cash.
Onko teillä kanta-asiakaskorttia?	Do you have a loyalty card?
Kyllä, tässä.	Yes, here it is.
Ei minulla ole.	No, I don't have one.
Tarvitsetko kassia?	Do you need a bag?
Otan yhden muovikassin, kiitos.	I'll take one plastic bag, please.
Ei kiitos, minulla on oma kassi.	No thank you, I have my own bag.
Se tekee yhteensä kaksikymmentä euroa ja viisikymmentä senttiä.	That will be twenty euros and fifty cents in total.
Loppusumma on 20,50 €.	The total is €20.50.
Syötä PIN-koodi ja paina vihreää nappia.	Enter your PIN code and press the green button.
Voit ottaa kortin pois.	You can take the card out.
Kiitos ja hyvää päivänjatkoa!	Thank you and have a nice day!
Näkemiin.	Goodbye.
Saisinko kupin kahvia mukaan?	Could I get a cup of coffee to go?
Tuleeko muuta?	Anything else?
Ei muuta, kiitos.	Nothing else, thank you.
Anteeksi, unohdin punnita nämä banaanit.	Excuse me, I forgot to weigh these bananas.
Ei se mitään, voin punnita ne tässä.	No problem, I can weigh them here.
Tämä tuote ei mene skannerista läpi.	This product won't scan.
Mikähän tämän hinta mahtaa olla?	I wonder what the price for this is.
Voitko tarkistaa tämän tuotteen hinnan?	Could you check the price of this item?
Tämä alennus ei tullut mukaan.	This discount was not applied.
Korjaan sen heti.	I'll fix it right away.
Minulla olisi myös pullonpalautuskuitti.	I also have a bottle return receipt.
Annan sen sinulle käteisenä.	I'll give it to you in cash.
Käykö teillä lounasseteli?	Do you accept lunch vouchers?
Kyllä, meillä käy lounasseteli.	Yes, we accept lunch vouchers.
Voinko maksaa osan käteisellä ja loput kortilla?	Can I pay part in cash and the rest by card?
Totta kai.	Of course.
Kuinka paljon haluat maksaa käteisellä?	How much would you like to pay with cash?
Saisinko tämän rikkinäisen kananmunakennon tilalle uuden?	Could I get a new carton of eggs instead of this broken one?
Anteeksi, tämä hinta hyllyssä oli eri.	Excuse me, the price on the shelf was different.
Pahoittelut, järjestelmässämme on virhe.	Apologies, there is an error in our system.
Laitatko tavarat hihnalle?	Would you put the items on the belt?
Odotas, minulla on vielä yksi tuote kärryssä.	Wait, I still have one more item in the cart.
Onko tämä maito laktoositonta?	Is this milk lactose-free?
Kyllä, se on laktoositon.	Yes, it is lactose-free.
Voitko antaa minulle kaksikymppiä takaisin?	Can you give me twenty back?
Hetkinen, lasken rahat.	One moment, I'll count the money.
Tässä, olkaa hyvä.	Here you go.
Kiitos paljon!	Thank you very much!
Hyvää viikonloppua!	Have a nice weekend!
Samoin sinulle!	Same to you!
Onko teillä postimerkkejä?	Do you have stamps?
Myymme postimerkkejä info-pisteellä.	We sell stamps at the information desk.
Voinko saada rahat takaisin tästä tuotteesta?	Can I get a refund for this product?
Tarvitset kuitin palautusta varten.	You need the receipt for a return.
Minulla on kuitti tallella.	I have the receipt.
Tämä pakaste on sulanut.	This frozen item has thawed.
Hyvitämme sen teille.	We will reimburse you for it.
Löytyisikö pienempää seteliä?	Do you have a smaller bill?
