Otan osaa suruunne.	My condolences for your sorrow.
Syvimmät osanottoni.	My deepest condolences.
Olen pahoillani menetyksenne johdosta.	I am sorry for your loss.
Hän tulee olemaan syvästi kaivattu.	He/She will be deeply missed.
Muistamme häntä lämmöllä.	We remember him/her with warmth.
Hän oli hyvä ja ystävällinen ihminen.	He/She was a good and kind person.
Voimia teille tänä vaikeana aikana.	Strength to you during this difficult time.
Ajatuksemme ovat teidän kanssanne.	Our thoughts are with you.
Milloin siunaustilaisuus alkaa?	When does the funeral service begin?
Missä kappelissa siunaus toimitetaan?	In which chapel will the service be held?
Tarvitsetko kyytiä hautausmaalle?	Do you need a ride to the cemetery?
Muistotilaisuus pidetään seurakuntatalolla.	The memorial reception will be held at the parish hall.
Toin kukkia muistoksi.	I brought flowers in memory.
Laskemme seppeleen haudalle.	We will lay a wreath on the grave.
Pappi piti kauniin puheen.	The priest gave a beautiful speech.
Musiikki oli hyvin koskettavaa.	The music was very moving.
Tämä on niin surullinen päivä.	This is such a sad day.
Hänen muistonsa elää ikuisesti.	His/Her memory will live on forever.
Oli kunnia tuntea hänet.	It was an honor to know him/her.
Lepää rauhassa.	Rest in peace.
Olen täällä sinua varten, jos tarvitset jotain.	I am here for you if you need anything.
Älä epäröi pyytää apua.	Don't hesitate to ask for help.
Onko jotain, mitä voin tehdä?	Is there anything I can do?
Hän oli minulle hyvin rakas.	He/She was very dear to me.
Jakamme tämän suuren surun.	We share this great sorrow.
Hän lähti liian aikaisin.	He/She left too soon.
Tulen ikävöimään hänen nauruaan.	I will miss his/her laugh.
Hänellä oli suuri vaikutus monien elämään.	He/She had a great impact on many lives.
Milloin hautajaiset ovat?	When is the funeral?
Onko pukeutumiskoodia?	Is there a dress code?
Yleensä pukeudutaan tummiin vaatteisiin.	Usually, one wears dark clothes.
Missä voin allekirjoittaa surunvalittelukirjan?	Where can I sign the condolence book?
Suruliputus on kaunis tapa kunnioittaa muistoa.	Flying the flag at half-mast is a beautiful way to honor the memory.
Haudalle lasketaan kukkia.	Flowers are laid on the grave.
Oliko hänellä pitkä sairaus?	Did he/she have a long illness?
Hänen poismenonsa oli hyvin äkillinen.	His/Her passing was very sudden.
En voi uskoa, että hän on poissa.	I can't believe he/she is gone.
Muistot kantavat meitä eteenpäin.	Memories carry us forward.
Hän jätti jälkeensä kauniin perinnön.	He/She left behind a beautiful legacy.
Sydämeni on särkynyt.	My heart is broken.
Itku on sallittua surussa.	Crying is allowed in grief.
Pidetään huolta toisistamme.	Let's take care of each other.
Muistellaan hyviä hetkiä, joita meillä oli yhdessä.	Let's remember the good moments we had together.
Elämä on hauras.	Life is fragile.
Kiitos kaikesta, mitä teit.	Thank you for everything you did.
Hänen muistokseen sytytetään kynttilä.	A candle is lit in his/her memory.
Hautakivessä on kaunis kaiverrus.	The headstone has a beautiful engraving.
On tärkeää antaa surulle aikaa.	It is important to give grief time.
Miten perhe voi?	How is the family doing?
Välitä osanottoni koko perheelle.	Please pass my condolences to the whole family.
Hän oli aina niin elämäniloinen.	He/She was always so full of life.
Tämä tuntuu epätodelliselta.	This feels unreal.
Lauloimme kauniin virren kirkossa.	We sang a beautiful hymn in the church.
Arkku laskettiin hautaan.	The casket was lowered into the grave.
Onko tämä avoin kukkalaite?	Is this an open casket?
Ei, arkku on suljettu.	No, the casket is closed.
Muistopuheet olivat hyvin henkilökohtaisia.	The eulogies were very personal.
Tarjoilut muistotilaisuudessa olivat hyvät.	The catering at the memorial reception was good.
Onko hautajaisohjelmaa jaettavaksi?	Is there a funeral program to share?
Sain kutsun hautajaisiin.	I received an invitation to the funeral.
Kuinka vanha hän oli?	How old was he/she?
Hän eli pitkän ja antoisan elämän.	He/She lived a long and fulfilling life.
Suru yhdistää ihmisiä.	Grief brings people together.
Tämä on raskas isku meille kaikille.	This is a heavy blow for all of us.
