Etsin D-vitamiinia.	I am looking for vitamin D.
Mistä löydän vitamiinit?	Where can I find the vitamins?
Onko teillä C-vitamiinia?	Do you have vitamin C?
Haluaisin ostaa monivitamiinivalmisteen.	I would like to buy a multivitamin supplement.
Mikä on tämän tuotteen hinta?	What is the price of this product?
Voitteko suositella hyvää rautalisää?	Can you recommend a good iron supplement?
Tarvitsen jotain vastustuskyvyn parantamiseen.	I need something to improve my immunity.
Onko tämä tuote vegaaninen?	Is this product vegan?
Löytyykö teiltä sokerittomia vitamiineja?	Do you have sugar-free vitamins?
Etsin vitamiineja hiusten hyvinvointiin.	I'm looking for vitamins for hair wellness.
Myydäänkö täällä magnesiumia?	Is magnesium sold here?
Haluaisin B12-vitamiinilisän.	I would like a vitamin B12 supplement.
Onko teillä lapsille sopivia vitamiineja?	Do you have vitamins suitable for children?
Mitä eroa näillä kahdella tuotteella on?	What is the difference between these two products?
Voinko maksaa kortilla?	Can I pay by card?
Tarvitsen kuitin, kiitos.	I need a receipt, please.
Onko tämä pureskeltava tabletti?	Is this a chewable tablet?
Kuinka monta tablettia päivässä otetaan?	How many tablets should be taken per day?
Tämä on tarkoitettu otettavaksi ruoan kanssa.	This is meant to be taken with food.
Etsin kalsiumvalmistetta.	I'm looking for a calcium supplement.
Onko teillä Omega-3-kapseleita?	Do you have Omega-3 capsules?
Haluaisin ostaa sinkkitabletteja.	I would like to buy zinc tablets.
Mikä on päivän annossuositus?	What is the recommended daily dose?
Voiko tätä ottaa tyhjään vatsaan?	Can this be taken on an empty stomach?
Etsin maitohappobakteereita.	I'm looking for probiotics.
Onko teillä D-vitamiinia tippoina?	Do you have vitamin D in drops?
Tämä tuote on gluteeniton.	This product is gluten-free.
Haluaisin jotain väsymykseen ja uupumukseen.	I would like something for tiredness and fatigue.
Onko tämä valmistettu Suomessa?	Is this made in Finland?
Voinko saada apua?	Can I get some help?
Etsin luonnollista vitamiinilisää.	I'm looking for a natural vitamin supplement.
Mikä näistä on tehokkain?	Which of these is the most effective?
Onko teillä tarjouksia vitamiineista?	Do you have any offers on vitamins?
Haluan ostaa ison pakkauksen.	I want to buy a large package.
Onko tämä tuote laktoositon?	Is this product lactose-free?
Etsin vitamiineja ihon hyvinvointiin.	I'm looking for vitamins for skin wellness.
Voiko raskaana oleva käyttää tätä tuotetta?	Can a pregnant person use this product?
Mitä suosittelisitte urheilijalle?	What would you recommend for an athlete?
Onko teillä nestemäistä D-vitamiinia?	Do you have liquid vitamin D?
Haluaisin ostaa seleenitabletteja.	I would like to buy selenium tablets.
Tämä on imeskelytabletti.	This is a lozenge.
Sopiiko tämä lapsille?	Is this suitable for children?
Mistä löydän lisäravinteet?	Where can I find the supplements?
Etsin Q10-ubikinonia.	I'm looking for coenzyme Q10.
Onko teillä kauramaidosta tehtyjä vitamiineja?	Do you have vitamins made with oat milk?
Haluan palauttaa tämän tuotteen.	I want to return this product.
Onko teillä pienempää pakkauskokoa?	Do you have a smaller package size?
Etsin vitamiineja nivelten hyvinvointiin.	I'm looking for vitamins for joint health.
Mikä on paras C-vitamiini flunssan ehkäisyyn?	What is the best vitamin C for preventing the flu?
