Hyvää vappua!	Happy May Day!
Iloista vappua kaikille!	Joyful May Day everyone!
Hauskaa vappuaattoa!	Have a fun May Day's Eve!
Juodaan simaa ja syödään munkkeja.	Let's drink mead and eat doughnuts.
Tämä sima on itsetehtyä.	This mead is homemade.
Tippaleivät kuuluvat vappuun.	Funnel cakes are a part of May Day.
Lähdetäänkö vappupiknikille Kaivopuistoon?	Shall we go for a May Day picnic in Kaivopuisto Park?
Minulla on ylioppilaslakki päässäni.	I'm wearing my student cap.
Ilmapallot ja serpentiinit koristavat katukuvaa.	Balloons and streamers decorate the streetscape.
Vappumarssi lähtee liikkeelle torilta.	The May Day parade starts from the market square.
Opiskelijat juhlivat vappua perinteisin menoin.	Students celebrate May Day with traditional customs.
Vappu on työn ja kevään juhla.	May Day is a celebration of labor and spring.
Toivottavasti sää on aurinkoinen.	I hope the weather is sunny.
Grillataan nakkeja ja valmistetaan perunasalaattia.	Let's grill wieners and make potato salad.
Vapputorilta voi ostaa vappuhuiskoja.	You can buy May Day whisks from the May Day market.
Laulut raikuvat ympäri kaupunkia.	Songs are echoing all around the city.
Pue ylioppilaslakkisi päähän!	Put on your student cap!
Sima on parasta jääkylmänä.	Mead is best ice-cold.
Onko teillä tippaleipäreseptiä?	Do you have a recipe for funnel cakes?
Vappupäivän piknik on monivuotinen perinne.	The May Day picnic is a long-standing tradition.
Hyvää juhannusta!	Happy Midsummer!
Rauhallista juhannusta mökillä.	Have a peaceful Midsummer at the cottage.
Sytytetäänkö juhannuskokko?	Shall we light the Midsummer bonfire?
Juhannuskokko karkottaa pahoja henkiä.	The Midsummer bonfire wards off evil spirits.
Mennään uimaan järveen.	Let's go for a swim in the lake.
Sauna on jo lämmin.	The sauna is already warm.
Tehdään koivunoksista vihtoja.	Let's make sauna whisks from birch branches.
Juhannus on keskikesän juhla.	Midsummer is a celebration of midsummer.
Yötön yö on taianomainen.	The nightless night is magical.
Kerätään seitsemän erilaista kukkaa tyynyn alle.	Let's pick seven different kinds of flowers to put under the pillow.
Se on vanha juhannustaika.	It's an old Midsummer spell.
Grillataan makkaraa ja nautitaan kesäillasta.	Let's grill sausages and enjoy the summer evening.
Uudet perunat ja silli ovat perinteistä juhannusruokaa.	New potatoes and herring are traditional Midsummer food.
Nostetaan Suomen lippu salkoon.	Let's raise the Finnish flag on the flagpole.
Juhannustanssit järjestetään lavalla.	The Midsummer dance is held on a stage.
Toivottavasti hyttyset eivät syö meitä elävältä.	I hope the mosquitoes don't eat us alive.
Juhannusruusut kukkivat kauniisti.	The midsummer roses are blooming beautifully.
Lähdetään soutelemaan järvelle.	Let's go rowing on the lake.
Mikä on teidän juhannusperinteenne?	What are your Midsummer traditions?
Monet suomalaiset viettävät juhannuksen mökillä.	Many Finns spend Midsummer at their summer cottages.
Vappu on opiskelijoiden suurin juhla.	May Day is the biggest celebration for students.
Koko kaupunki tuntuu olevan liikkeellä.	The whole city seems to be out and about.
Serpentiiniä on kaikkialla.	There is serpentine everywhere.
Muistathan nesteytyksen juhlapyhinä.	Remember to stay hydrated during the holidays.
Kevät on vihdoin täällä!	Spring is finally here!
Tänä vuonna vappusää suosii meitä.	This year, the May Day weather is in our favor.
Mistä saa parhaat munkit?	Where can one get the best doughnuts?
Järjestetäänkö teidän taloyhtiössänne vappujuhlia?	Does your housing cooperative organize a May Day party?
Lapset rakastavat ilmapalloja.	Children love balloons.
Pidetään hauskaa, mutta vastuullisesti.	Let's have fun, but responsibly.
Onko sinulla vappusuunnitelmia?	Do you have any May Day plans?
Haalarit ovat opiskelijoiden vappuasu.	Overalls are the students' May Day outfit.
Juhannuksena luonto on kauneimmillaan.	At Midsummer, nature is at its most beautiful.
Kuunnellaan lintujen laulua.	Let's listen to the birds singing.
Juhannussauna on tärkeä osa suomalaista kulttuuria.	The Midsummer sauna is an important part of Finnish culture.
Kukkaseppele hiuksissa on kaunis.	A flower wreath in the hair is beautiful.
Syödään mansikoita ja kermavaahtoa.	Let's eat strawberries and whipped cream.
Juhannus on usein myös hääjuhlien aikaa.	Midsummer is often also a time for wedding celebrations.
Voitaisiinko kalastaa illalla?	Could we go fishing in the evening?
On tärkeää kunnioittaa luonnon rauhaa.	It is important to respect the peace of nature.
Juhannusyön aurinko ei laske lainkaan.	The Midsummer night sun doesn't set at all.
Tämä on vuoden valoisin aika.	This is the brightest time of the year.
Monet kaupat ovat kiinni juhannuksena.	Many shops are closed during Midsummer.
Juhannusliikenne on usein ruuhkaista.	Midsummer traffic is often congested.
Aja varovasti, jos olet menossa mökille.	Drive carefully if you are going to the cottage.
Juhlapyhät ovat aikaa rentoutumiselle.	Public holidays are a time for relaxation.
Vietetään aikaa yhdessä perheen kanssa.	Let's spend time together with family.
Vappu aloittaa kesän odotuksen.	May Day starts the anticipation of summer.
Musiikki soi ja ihmiset tanssivat.	Music is playing and people are dancing.
Mikä on sinun lempijuhlasi?	What is your favorite holiday?
Sekä vappu että juhannus ovat minulle rakkaita.	Both May Day and Midsummer are dear to me.
Kevään tuntu on ilmassa.	The feeling of spring is in the air.
Vappupallo karkasi taivaalle.	A May Day balloon escaped into the sky.
Järjestetäänkö tänä vuonna etävappu?	Will there be a remote May Day celebration this year?
Skoolataan keväälle!	Let's toast to spring!
Tämä perunasalaatti on herkullista.	This potato salad is delicious.
Laitan ylioppilaslakin päähäni vasta vappuaattona.	I won't put on my student cap until May Day's Eve.
Opiskelijoiden vappuperinteet ovat värikkäitä.	The students' May Day traditions are colorful.
Juhannusheilaa etsimässä.	Looking for a Midsummer sweetheart.
Tehdään nuotio ja paistetaan makkaraa.	Let's make a campfire and roast sausages.
Suomalainen kesä on lyhyt, mutta kaunis.	The Finnish summer is short but beautiful.
Onko saunaan tehty uusi vasta?	Has a new sauna whisk been made for the sauna?
Juhannuksena on tapana tehdä taikoja.	It is customary to do magic spells at Midsummer.
Saunomisen jälkeen on virkistynyt olo.	After the sauna, you feel refreshed.
Mansikkakakku on kesän paras herkku.	Strawberry cake is the best summer treat.
Juhannus on virallinen liputuspäivä.	Midsummer is an official flag day.
Lähdetään katsomaan juhannuskokkoa rantaan.	Let's go to the shore to watch the Midsummer bonfire.
Muista ottaa hyttyskarkotetta mukaan.	Remember to bring mosquito repellent.
Kesäyöt ovat ihania.	The summer nights are wonderful.
Nautitaan Suomen kesästä.	Let's enjoy the Finnish summer.
Toivottavasti kokko syttyy kunnolla.	I hope the bonfire lights up properly.
Vappupiknikin eväät ovat valmiina.	The snacks for the May Day picnic are ready.
Tänään juhlitaan aamuun asti.	Today we celebrate until the morning.
Onnea kaikille uusille ylioppilaille!	Congratulations to all new graduates!
Poliittiset puheet ovat osa vappuperinnettä.	Political speeches are part of the May Day tradition.
Työväenlaulut soivat vappuna.	Workers' songs are played on May Day.
Juhannus olut maistuu aina hyvältä.	Midsummer beer always tastes good.
Varo punkkeja, kun liikut luonnossa.	Beware of ticks when you are out in nature.
Suomi on kaunis juhannuksena.	Finland is beautiful at Midsummer.
Tämä on parasta aikaa vuodesta.	This is the best time of the year.
