Mitä kuuluu?	How are you doing?
Hyvää kuuluu, kiitos. Entä sinulle?	I'm doing well, thanks. How about you?
Kiirettä pitää, kuten aina.	Keeping busy, as always.
Olipa raskas aamu.	What a tough morning.
Kahvi maistuisi nyt todellakin.	I could really go for a coffee right now.
Onko kahvi tuoretta?	Is the coffee fresh?
Keitän uuden pannullisen.	I'll brew a new pot.
Haluatko sinäkin kupin?	Would you like a cup too?
Kyllä kiitos, otan mielelläni.	Yes please, I'd love one.
Miten viikonloppusi sujui?	How was your weekend?
Ihan rennosti kotona.	Just relaxing at home.
Kävin perheen kanssa mökillä.	I went to the cottage with my family.
Onko sinulla suunnitelmia illaksi?	Do you have any plans for the evening?
Ajattelin mennä kuntosalille töiden jälkeen.	I was thinking of going to the gym after work.
Miten se sinun uusi projektisi etenee?	How is that new project of yours progressing?
Ihan hyvin, pysymme aikataulussa.	Quite well, we're staying on schedule.
Näitkö sen sähköpostin toimitusjohtajalta?	Did you see that email from the CEO?
En ole vielä ehtinyt lukea sitä.	I haven't had time to read it yet.
Tämä on muuten herkullista kakkua.	This is delicious cake, by the way.
Kenen syntymäpäiviä juhlitaan?	Whose birthday are we celebrating?
Taisi olla Liisan tuomaa ihan muuten vain.	I think Liisa brought it just because.
Onpa tänään poikkeuksellisen hiljaista toimistolla.	It's exceptionally quiet in the office today.
Monet ovat varmasti etätöissä perjantain kunniaksi.	Many are probably working remotely since it's Friday.
Joko odotat innolla kesälomaa?	Are you looking forward to the summer holiday yet?
Todellakin, en malta odottaa pääseväni reissuun.	Absolutely, I can't wait to go on my trip.
Minne päin olet menossa?	Where are you headed?
Suunnitelmat ovat vielä vähän auki.	The plans are still a bit open.
Tämä sää on aivan mahtava.	This weather is absolutely amazing.
Toivottavasti se jatkuu viikonlopun yli.	I hope it continues over the weekend.
Sääennuste lupasi sadetta huomiseksi.	The weather forecast promised rain for tomorrow.
No voi harmi, minulla oli ulkosuunnitelmia.	Oh, what a shame, I had outdoor plans.
Tarvitseeko kukaan maitoa kahviin? Voin hakea lisää.	Does anyone need milk for their coffee? I can get more.
Jos viitsit, niin kauramaito olisi loistava.	If you don't mind, oat milk would be great.
Totta kai, haen samalla itsellenikin.	Of course, I'll get some for myself at the same time.
Onko tuo sinun uusi muki? Se on todella hieno.	Is that your new mug? It's really nice.
Joo, löysin sen kirpputorilta.	Yeah, I found it at a flea market.
Pitäisiköhän meidän tiimin pitää yhteinen kahvihetki ensi viikolla?	Should our team have a coffee break together next week?
Se olisi todella mukava idea.	That would be a really nice idea.
Laitan heti kalenterikutsun tulemaan.	I'll send a calendar invitation right away.
Hyvä, niin muistamme sen.	Good, so we'll remember it.
Katsoitko eilistä peliä?	Did you watch yesterday's game?
Kyllä katsoin, olipa jännittävä ottelu.	Yes I did, what an exciting match.
En pahemmin seuraa urheilua.	I don't really follow sports much.
Onko kellään suositella hyvää lounasravintolaa tässä lähellä?	Does anyone have a recommendation for a good lunch restaurant near here?
Se uusi intialainen on saanut kehuja.	The new Indian place has received praise.
Kiitos vinkistä, pitää käydä kokeilemassa.	Thanks for the tip, I'll have to go and try it.
Olisi mukava mennä töiden jälkeen oluelle.	It would be nice to go for a beer after work.
Minulle sopii.	Sounds good to me.
Kysytäänkö muita mukaan?	Should we ask others to join?
Valitettavasti minulla on jo muita suunnitelmia tälle illalle.	Unfortunately, I already have other plans for this evening.
Ehkä joku toinen kerta sitten.	Maybe some other time then.
Tämä kahvihuoneen sohva on yllättävän mukava.	This coffee room sofa is surprisingly comfortable.
Olen samaa mieltä. Pitäisi tulla tänne useammin rentoutumaan.	I agree. We should come here to relax more often.
Ehkä tarvitsisimme uuden kahvinkeittimen. Tämä on aika hidas.	Maybe we need a new coffee machine. This one is quite slow.
Ja parempia keksejä.	And better biscuits.
Voin tuoda ensi viikolla jotain hyvää.	I can bring something tasty next week.
Se olisi mahtavaa sinulta.	That would be awesome of you.
Onko sinulla lemmikkejä?	Do you have any pets?
Kyllä, minulla on kissa.	Yes, I have a cat.
