Tänään on siivouspäivä.	Today is cleaning day.
Laitan pyykit koneeseen.	I'm putting the laundry in the machine.
Imuroin koko asunnon.	I'm vacuuming the whole apartment.
Voitko pyyhkiä pölyt?	Can you wipe the dust?
Keittiön lattia on likainen.	The kitchen floor is dirty.
Vessanpönttö pitäisi pestä.	The toilet bowl should be cleaned.
Lajittelen pyykit värien mukaan.	I'm sorting the laundry by color.
Ripotan matoille tuuletusparvekkeella.	I'm airing out the rugs on the balcony.
Pesen ikkunat, koska ne ovat kuraiset.	I'm washing the windows because they are grimy.
Kuivausrumpu on täynnä.	The dryer is full.
On aika vaihtaa lakanat.	It's time to change the bed sheets.
Viikkaan puhtaat vaatteet kaappiin.	I'm folding the clean clothes into the closet.
Roskis pitää viedä ulos.	The trash needs to be taken out.
Pesen tiskit käsin.	I'm washing the dishes by hand.
Tiskikone pitäisi tyhjentää.	The dishwasher should be emptied.
Suihkun lattiakaivo pitää puhdistaa.	The shower drain needs to be cleaned.
Imurin pölypussi on täynnä.	The vacuum cleaner bag is full.
Käytän yleispuhdistusainetta pinnoille.	I use an all-purpose cleaner for the surfaces.
Lattiat pitäisi mopata.	The floors should be mopped.
Ripustan pyykit kuivumaan.	I'm hanging the laundry to dry.
Silitän paitani huomiseksi.	I'm ironing my shirt for tomorrow.
Puhdistan peilit ja lasipinnat.	I'm cleaning the mirrors and glass surfaces.
Järjestelen kirjahyllyn.	I'm organizing the bookshelf.
Kylpyhuoneen kaakelit kaipaavat pesua.	The bathroom tiles need a wash.
Kukille pitää antaa vettä.	The plants need to be watered.
Dammsuger du vardagsrummet?	Are you vacuuming the living room?
Keittiön tasot ovat tahmeat.	The kitchen counters are sticky.
Vaihdan puhtaat pyyhkeet kylpyhuoneeseen.	I'm changing to clean towels in the bathroom.
Tämä tahra ei lähde paidasta.	This stain won't come off the shirt.
Muista laittaa valkopyykki erikseen.	Remember to wash the whites separately.
Puhdistan uunin sisältä.	I'm cleaning the oven from the inside.
Jääkaappi pitäisi siivota.	The refrigerator should be cleaned.
Sohvan alta löytyy aina kaikkea mielenkiintoista.	You always find all sorts of interesting things from under the sofa.
Pesen lattiat mäntysuovalla.	I'm washing the floors with pine soap.
Tämä pesuaine tuoksuu hyvältä.	This detergent smells good.
Lajittelen biojätteet, pahvit ja muovit.	I'm sorting biowaste, cardboard, and plastics.
Onko sinulla puhdasta rättiä?	Do you have a clean rag?
Voitko auttaa minua kantamaan tämän maton ulos?	Can you help me carry this rug outside?
Siivous sujuu paremmin musiikin kanssa.	Cleaning goes better with music.
Nyt on vuorossa makuuhuoneen siivous.	Now it's time to clean the bedroom.
Putsataan jääkaapin ovi sormenjäljistä.	Let's clean the fingerprints from the fridge door.
Onko pesuainetta jäljellä?	Is there any detergent left?
Käytän mikrokuituliinaa pölyjen pyyhkimiseen.	I use a microfiber cloth for dusting.
Huuhteluaine tekee pyykistä pehmeää.	Fabric softener makes the laundry soft.
Laitan koneen käyntiin tunnin päästä.	I'll start the machine in an hour.
