Menen töihin bussilla.	I go to work by bus.
Ajan autolla töihin joka päivä.	I drive to work every day.
Työmatkani kestää noin puoli tuntia.	My commute takes about half an hour.
Onko tämä bussi menossa keskustaan?	Is this bus going to the city center?
Mihin aikaan seuraava juna lähtee?	What time does the next train leave?
Myöhästyin bussista.	I missed the bus.
Liikenne on tänä aamuna todella hidasta.	The traffic is really slow this morning.
Aamuruuhka on pahimmillaan.	The morning rush hour is at its worst.
Pyöräilen töihin, jos sää on hyvä.	I cycle to work if the weather is good.
Kävelen mieluummin, jos matka ei ole pitkä.	I prefer to walk if the distance isn't long.
Minulla on kuukausilippu.	I have a monthly pass.
Voiko täällä maksaa lähimaksulla?	Can I use contactless payment here?
Juna on aikataulussa.	The train is on schedule.
Bussi näyttää olevan myöhässä.	The bus seems to be running late.
Sain istumapaikan ikkunan vierestä.	I got a seat next to the window.
Tämä paikka on varattu.	This seat is taken.
Onko tämä paikka vapaa?	Is this seat free?
Kuuntelen podcasteja työmatkalla.	I listen to podcasts during my commute.
Luen yleensä kirjaa junassa.	I usually read a book on the train.
Jouduin seisomaan koko matkan.	I had to stand for the whole journey.
Seuraava pysäkki on minun.	The next stop is mine.
Pitää painaa pysäytysnappia.	I need to press the stop button.
Jään pois seuraavalla asemalla.	I'm getting off at the next station.
Työpaikkani on vain muutaman minuutin kävelymatkan päässä asemalta.	My workplace is only a few minutes' walk from the station.
Onneksi tänään ei sada.	Luckily, it's not raining today.
Täytyy ajaa varovasti, tiet ovat liukkaita.	I have to drive carefully, the roads are slippery.
Moottoritiellä on onnettomuus.	There's an accident on the motorway.
Ruuhka johtuu tietyöstä.	The congestion is due to roadwork.
Lähden töistä yleensä viiden aikoihin.	I usually leave work around five.
Iltapäiväruuhka on usein pahempi kuin aamulla.	The afternoon rush hour is often worse than in the morning.
Otan oikotien puiston läpi.	I'll take a shortcut through the park.
Auto pitäisi tankata kotimatkalla.	I should refuel the car on my way home.
Unohdin sateenvarjoni kotiin.	I forgot my umbrella at home.
Akku puhelimessa on melkein tyhjä.	The battery on my phone is almost empty.
Toivottavasti ehdin ajoissa kokoukseen.	I hope I make it to the meeting on time.
Kimppakyyti on taloudellinen vaihtoehto.	Carpooling is an economical option.
Menenkö tänään metrolla vai raitiovaunulla?	Should I take the metro or the tram today?
Työmatkapyöräily pitää kuntoa yllä.	Commuting by bike keeps you fit.
Käytän aina kypärää.	I always wear a helmet.
Pysäköin auton yrityksen parkkipaikalle.	I park the car in the company parking lot.
Tarkistan aina liikennesäännöt sovelluksesta ennen lähtöä.	I always check the traffic situation from the app before leaving.
Tämä juna ei pysähdy asemallani.	This train doesn't stop at my station.
Minun täytyy vaihtaa junaa seuraavalla asemalla.	I need to change trains at the next station.
Kuulokkeet jäivät kotiin, mikä harmi.	My headphones were left at home, what a shame.
Bussikuski ajaa melko kovaa.	The bus driver is driving quite fast.
Tuntuu, että liikennevalot ovat aina punaisia.	It feels like the traffic lights are always red.
Olen vihdoin perillä toimistolla.	I'm finally at the office.
Keitän heti kupin kahvia.	I'll make a cup of coffee right away.
