Mitä tänään syödään päivälliseksi?	What are we eating for dinner today?
Alan laittaa ruokaa.	I'm starting to cook.
Voitko kuoria perunat, kiitos?	Can you peel the potatoes, please?
Minä pilkon sipulit.	I'll chop the onions.
Laita uuni kuumenemaan 200 asteeseen.	Set the oven to preheat to 200 degrees Celsius.
Pesen nämä vihannekset huolellisesti.	I'll wash these vegetables carefully.
Ota jauheliha sulamaan.	Take the ground meat out to thaw.
Mittaa kolme desilitraa riisiä kattilaan.	Measure three deciliters of rice into the pot.
Tarvitsen ison leikkuulaudan.	I need a large cutting board.
Muistathan pestä kädet ennen ruoanlaittoa.	Remember to wash your hands before cooking.
Lisää ripaus suolaa keitinveteen.	Add a pinch of salt to the boiling water.
Paistan kanan rintapalat pannulla.	I'm frying the chicken breasts in a pan.
Anna kastikkeen hautua hiljalleen.	Let the sauce simmer slowly.
Älä polta valkosipulia.	Don't burn the garlic.
Käännä pihvit, kun ne ovat saaneet väriä.	Flip the steaks once they have browned.
Laita kansi kattilan päälle, jotta vesi kiehuu nopeammin.	Put the lid on the pot so the water boils faster.
Maista kastiketta, onko se tarpeeksi mausteista?	Taste the sauce, is it spicy enough?
Mielestäni tämä kaipaa lisää pippuria.	I think this needs more pepper.
Tämä on aivan täydellistä!	This is absolutely perfect!
Onko ruoka liian suolaista?	Is the food too salty?
Voisitko ojentaa minulle oliiviöljy-pullon?	Could you pass me the olive oil bottle?
Kaapista pitäisi löytyä spagettia.	There should be spaghetti in the cupboard.
Käytän tänään tuoreita yrttejä.	I'm using fresh herbs today.
Tähän reseptiin tulee paljon valkosipulia.	This recipe calls for a lot of garlic.
Unohdin ostaa smetanaa.	I forgot to buy smetana (sour cream).
Noudatan netistä löytämääni reseptiä.	I'm following a recipe I found online.
Mitä ohjeessa sanotaan seuraavaksi?	What do the instructions say next?
Paistoaika on noin puoli tuntia.	The cooking time is about half an hour.
Tämä on paljon helpompaa kuin luulin.	This is much easier than I thought.
Päivällinen on valmis noin kymmenen minuutin kuluttua.	Dinner will be ready in about ten minutes.
Voitko alkaa kattaa pöytää?	Can you start setting the table?
Tarvitsemme lautaset, veitset ja haarukat.	We need plates, knives, and forks.
Laita lasit myös pöytään.	Put the glasses on the table as well.
Ruoka on valmista, käykää pöytään!	The food is ready, come to the table!
Hyvää ruokahalua!	Enjoy your meal!
Mikä täällä tuoksuu niin herkulliselta?	What smells so delicious in here?
Toivottavasti maistuu.	I hope you like it.
Tämä on uusi resepti, jota kokeilen.	This is a new recipe I'm trying.
Kuka hoitaa tiskit tänään?	Who is doing the dishes today?
Minä voin siivota keittiön aterian jälkeen.	I can clean the kitchen after the meal.
Laitetaan tähteet jääkaappiin huomista varten.	Let's put the leftovers in the fridge for tomorrow.
Olen nälkäinen kuin susi.	I'm as hungry as a wolf.
Lapset, peskää kädet ja tulkaa syömään!	Kids, wash your hands and come eat!
Keittiö on täydessä kaaoksessa.	The kitchen is in complete chaos.
Tämä oli todella maukas ateria.	This was a really tasty meal.
Höyrytän parsakaalin keittämisen sijaan.	I'm steaming the broccoli instead of boiling it.
Rouhi vähän mustapippuria päälle.	Grind some black pepper on top.
Tarkista, onko kana kypsää.	Check if the chicken is cooked through.
Lisään tilkan kermaa kastikkeeseen.	I'm adding a splash of cream to the sauce.
Hienonna persilja valmiiksi.	Chop the parsley in advance.
Kuullota sipulia, kunnes se on läpikuultavaa.	Sauté the onion until it's translucent.
Tämä pata vaatii pitkän haudutusajan.	This stew requires a long simmering time.
Sekoita ainekset hyvin keskenään.	Mix the ingredients well together.
Kaada ylimääräinen vesi pois.	Pour out the excess water.
Raasta vähän parmesaania pastan päälle.	Grate a little parmesan over the pasta.
Olenko unohtanut jonkin ainesosan?	Have I forgotten an ingredient?
Voisitko auttaa minua kantamaan tämän kuuman vuoan?	Could you help me carry this hot dish?
Ole varovainen, uuni on kuuma.	Be careful, the oven is hot.
Tänään syödään lasagnea.	We're having lasagna today.
Keitän samalla riisiä lisukkeeksi.	I'm cooking rice as a side dish at the same time.
Tee salaatti sillä aikaa kun minä paistan pihvit.	Make a salad while I fry the steaks.
Kalan kanssa sopii hyvin sitruunamehu.	Lemon juice goes well with fish.
Tämä liha on erittäin mureaa.	This meat is very tender.
Mausteet ovat täydellisessä tasapainossa.	The spices are in perfect balance.
Onko meillä puhdasta paistinpannua?	Do we have a clean frying pan?
Tarvitsen vispilän kastiketta varten.	I need a whisk for the sauce.
Laita perunat kiehumaan suolalla maustettuun veteen.	Put the potatoes to boil in salted water.
Sulata voi mikrossa.	Melt the butter in the microwave.
Anna taikinan nousta lämpimässä paikassa.	Let the dough rise in a warm place.
Tämä ruoka on sekä terveellistä että herkullista.	This food is both healthy and delicious.
Käytä patakintaita, kun otat astian uunista.	Use oven mitts when taking the dish out of the oven.
Pitäisikö meidän grillata tänään?	Should we have a barbecue today?
Valmistan marinadin lihalle.	I'm preparing a marinade for the meat.
Leikkaa kurkku ja tomaatit salaattiin.	Cut the cucumber and tomatoes for the salad.
Vatkaa kananmunat kevyesti.	Whisk the eggs lightly.
Siivilöi jauhot kulhoon.	Sift the flour into a bowl.
Miten pidät pihvistäsi?	How do you like your steak?
Minun pihvini saa olla puolikypsä.	I'd like my steak medium-rare.
Älä ylikypsennä vihanneksia.	Don't overcook the vegetables.
Lisään hieman hunajaa tuomaan makeutta.	I'll add a bit of honey for sweetness.
Tarkistan reseptin vielä kerran.	I'll check the recipe one more time.
Voitko ojentaa minulle kauhan?	Can you hand me the ladle?
Täytän nämä paprikat jauhelihaseoksella.	I'll stuff these bell peppers with the ground meat mixture.
Laitetaan yrttejä koristeeksi.	Let's use herbs for garnish.
Syödäänkö olohuoneessa vai keittiössä?	Shall we eat in the living room or the kitchen?
Tämä tuoksu täyttää koko talon.	This aroma fills the whole house.
Ripottele juustoraastetta päälle.	Sprinkle grated cheese on top.
Paahdan leipää alkupalaksi.	I'm toasting some bread for a starter.
Valmistan nopean päivällisen.	I'm making a quick dinner.
Tämä on isäni kuuluisaa chili con carnea.	This is my father's famous chili con carne.
Lisää vettä, jos seos on liian paksua.	Add water if the mixture is too thick.
Pese riisi ennen keittämistä.	Wash the rice before cooking.
Kuivaa liha talouspaperilla ennen paistamista.	Pat the meat dry with a paper towel before frying.
Lämmitän eilisen keiton.	I'm heating up yesterday's soup.
Keittiössä on aina niin lämmin, kun uuni on päällä.	It's always so warm in the kitchen when the oven is on.
Tämä on lohturuokaa parhaimmillaan.	This is comfort food at its best.
On aika ottaa paisti pois uunista.	It's time to take the roast out of the oven.
Anna sen levätä hetki ennen leikkaamista.	Let it rest for a moment before carving.
Voitko avata tämän purkin?	Can you open this jar?
Päivällinen on valmis!	Dinner is served!
