Sähköt menivät poikki.	The power went out.
Missä kynttilät ovat?	Where are the candles?
Onko sinulla taskulamppua?	Do you have a flashlight?
Tarkista sulaketaulu.	Check the fuse box.
Tämä taitaa olla laajempikin sähkökatko.	This seems to be a wider power outage.
Puhelimestani on akku loppumassa.	My phone's battery is running out.
Toivottavasti ruoka ei pilaannu jääkaapissa.	I hope the food in the refrigerator doesn't spoil.
Pitää säästää kannettavan tietokoneen akkua.	I need to save the laptop's battery.
Onneksi meillä on takka tuomassa lämpöä.	Luckily, we have a fireplace to provide heat.
Mitä jos pelaisimme lautapelejä?	What if we played board games?
Sähköyhtiön verkkosivuilla ei ole vielä mitään tietoa häiriöstä.	There's no information about the outage on the power company's website yet.
Näyttää siltä, että naapurillakin on pimeää.	It looks like the neighbor's place is dark too.
Kuinkahan kauan tämä katkos mahtaa kestää?	I wonder how long this outage will last.
Kannattaa sammuttaa kaikki sähkölaitteet.	It's a good idea to turn off all electrical appliances.
Vesi ei tule, koska talomme vesipumppu toimii sähköllä.	The water isn't running because our house's water pump runs on electricity.
Ulkona on aivan pilkkopimeää.	It's completely pitch black outside.
Pakastinta ei kannata availla turhaan.	One shouldn't open the freezer unnecessarily.
Löysin paristoilla toimivan radion.	I found a battery-powered radio.
Nyt ei voi keittää kahvia.	You can't make coffee now.
Onpa täällä hiljaista ilman laitteiden jatkuvaa hurinaa.	It's so quiet in here without the constant hum of appliances.
Sähköt palasivat!	The power is back on!
Onko sinulla varavirtalähdettä puhelimelle?	Do you have a power bank for the phone?
Myrsky taisi kaataa puun sähkölinjan päälle.	The storm probably knocked a tree over the power line.
Soitin sähköyhtiön vikapalveluun.	I called the power company's fault service.
He arvioivat, että vian korjaaminen kestää pari tuntia.	They estimate that fixing the fault will take a couple of hours.
Pidetään ovet ja ikkunat kiinni, jotta lämpö pysyy sisällä.	Let's keep the doors and windows closed so the heat stays inside.
Voimme lämmittää vettä takan päällä.	We can heat water on top of the fireplace.
Tarkistin pääkytkimen, ja se on päällä.	I checked the main switch, and it's on.
Tämä on jo toinen sähkökatko tällä viikolla.	This is already the second power outage this week.
Langaton verkkoyhteys ei tietenkään toimi.	The wireless network connection isn't working, of course.
Onneksi minulla on mobiilidata puhelimessa.	Luckily, I have mobile data on my phone.
Tämä on hyvä syy mennä nukkumaan ajoissa.	This is a good reason to go to bed early.
Jääkaapin ovea ei saa avata.	The refrigerator door must not be opened.
Sähkökatkon syytä ei ole vielä ilmoitettu.	The cause of the power outage has not been announced yet.
Onneksi on kesä ja valoisaa myöhään.	Luckily, it's summer and light out late.
Talvella tällainen sähkökatko olisi paljon ikävämpi.	In the winter, a power outage like this would be much more unpleasant.
Sytytetäänkö pihalle nuotio?	Should we light a bonfire in the yard?
Grillataan illallista kaasugrillillä.	Let's grill dinner on the gas grill.
Toivottavasti pakasteet eivät ehdi sulaa.	I hope the frozen foods don't have time to thaw.
Kannattaa aina pitää juomavettä varastossa.	It's always a good idea to keep a supply of drinking water.
Sain juuri tekstiviestin sähköyhtiöltä.	I just received a text message from the power company.
Vika koskee koko kaupunginosaa.	The fault affects the entire district.
Korjaustyöt on aloitettu.	The repair work has been started.
Katkon arvioitu kesto on kolme tuntia.	The estimated duration of the outage is three hours.
Muistatko, mihin laitoimme tulitikut?	Do you remember where we put the matches?
Löysin otsalampun retkeilyvarusteista.	I found a headlamp in the camping gear.
Tämä on melkein kuin pieni seikkailu.	This is almost like a little adventure.
Lapset tuntuvat olevan innoissaan tilanteesta.	The children seem to be excited about the situation.
Pitäisi muistaa ladata kaikki laitteet, kun sähköt toimivat.	One should remember to charge all devices when the power is on.
Kurkistetaan ikkunasta, onko kadun toisella puolella valoja.	Let's peek out the window to see if there are lights on the other side of the street.
