Laukkuni ei saapunut perille.	My luggage did not arrive.
Matkalaukkuni on kadonnut.	My suitcase is lost.
Anteeksi, voitteko auttaa minua? Matkatavarani puuttuu.	Excuse me, can you help me? My baggage is missing.
Lentoni oli Helsingistä, ja yksi laukuistani on kateissa.	My flight was from Helsinki, and one of my bags is missing.
Missä voin tehdä ilmoituksen kadonneesta matkatavarasta?	Where can I report my missing luggage?
Haluan tehdä ilmoituksen puuttuvasta laukusta.	I want to file a report for a missing bag.
Tässä on matkatavarakuittini.	Here is my baggage claim tag.
Se on musta, keskikokoinen matkalaukku.	It's a black, medium-sized suitcase.
Laukussa on pyörät ja vetoaisa.	The bag has wheels and a retractable handle.
Se on kovaa muovia, Samsonite-merkkinen.	It's a hardshell, Samsonite brand.
Laukun sisällä on vaatteita ja kirjoja.	Inside the bag, there are clothes and books.
Muistaakseni laukussa oli punainen nauha kahvassa.	I remember there was a red ribbon on the handle.
Täytin jo katoamisilmoituksen verkossa.	I already filled out the missing baggage form online.
Mikä on viitenumero ilmoitukselleni?	What is the reference number for my report?
Miten voin seurata laukkuni tilannetta?	How can I track the status of my bag?
Onko teillä mitään tietoa, mihin laukkuni on joutunut?	Do you have any information on where my bag might have gone?
Kuinka kauan yleensä kestää, että laukku löytyy?	How long does it usually take for a bag to be found?
Voinko saada korvausta välttämättömyystarvikkeista?	Can I get compensation for essential items?
Säilyttäkää kaikki kuitit ostoksistanne.	Keep all the receipts for your purchases.
Laukussani on tärkeitä lääkkeitä.	There is important medication in my bag.
Tarvitsen laukun sisällön kiireellisesti.	I need the contents of the bag urgently.
Voitteko soittaa minulle, kun laukku löytyy?	Can you call me when the bag is found?
Tässä on puhelinnumeroni ja osoitteeni.	Here is my phone number and address.
Toimitatteko laukun hotellilleni?	Will you deliver the bag to my hotel?
Mikä on lentoyhtiönne korvauskäytäntö?	What is your airline's compensation policy?
Olen erittäin pettynyt tähän tilanteeseen.	I am very disappointed with this situation.
Tämä on todella turhauttavaa.	This is really frustrating.
Toivottavasti löydätte sen pian.	I hope you find it soon.
Voinko saada kirjallisen vahvistuksen ilmoituksestani?	Can I get a written confirmation of my report?
Se oli sininen kangaslaukku, jossa oli sivutasku.	It was a blue fabric bag with a side pocket.
Laukussa oli myös kannettava tietokoneeni.	My laptop was also in the bag.
Onko mahdollista, että se on seuraavalla lennolla?	Is it possible that it's on the next flight?
Olen odottanut jo yli tunnin matkatavarahihnalla.	I have already been waiting for over an hour at the baggage carousel.
