Päivää, minulla on varattu aika.	Hello, I have an appointment.
Olen tullut lääkärin vastaanotolle, koska minulla on huono olo.	I have come to the doctor's office because I am feeling unwell.
Minulla on sairas olo.	I feel sick.
Tunnen itseni todella väsyneeksi ja voimattomaksi.	I feel really tired and weak.
Vointini on ollut heikko jo muutaman päivän.	I've been feeling weak for a few days now.
Päätäni on särkenyt eilisestä asti.	My head has been aching since yesterday.
Minulla on kova, jyskyttävä päänsärky.	I have a bad, throbbing headache.
Kurkkuni on todella kipeä ja ääneni on käheä.	My throat is very sore and my voice is hoarse.
Nielemään sattuu.	It hurts to swallow.
Minulla on kuiva yskä, joka ei lopu.	I have a dry cough that won't stop.
Yskä on muuttunut limaiseksi.	The cough has become productive/phlegmy.
Minulla on kuumetta, noin 38 astetta.	I have a fever, about 38 degrees.
Minua paleltaa ja hikoiluttaa vuorotellen.	I have chills and sweats alternately.
Nenäni on aivan tukossa.	My nose is completely blocked.
Nenäni vuotaa jatkuvasti.	My nose is constantly running.
Aivastelen koko ajan.	I'm sneezing all the time.
Vatsaani kouristaa.	My stomach is cramping.
Minulla on ollut vatsakipuja ja ripulia.	I've had stomach pains and diarrhea.
Minua oksettaa.	I feel nauseous.
Olen oksentanut pari kertaa tänä aamuna.	I have vomited a couple of times this morning.
Ruokahaluni on täysin poissa.	My appetite is completely gone.
Minulla on närästystä syömisen jälkeen.	I have heartburn after eating.
Selkääni sattuu, erityisesti alaselkään.	My back hurts, especially the lower back.
Kipu säteilee jalastani alas.	The pain radiates down my leg.
Hartiani ja niskkani ovat aivan jumissa.	My shoulders and neck are completely tense.
Korvaani särkee ja se tuntuu lukkoiselta.	My ear hurts and it feels blocked.
Minua huimaa, kun nousen seisomaan nopeasti.	I feel dizzy when I stand up quickly.
Maailma tuntuu pyörivän silmissä.	The world feels like it's spinning before my eyes.
Minulla on hengenahdistusta.	I have shortness of breath.
Hengästyn pienestäkin rasituksesta.	I get out of breath from even a small effort.
Rintaani pistää, kun hengitän syvään.	My chest stings when I take a deep breath.
Sydämeni tuntuu tykyttävän epäsäännöllisesti.	My heart feels like it's beating irregularly.
Olen nukkunut huonosti viime öinä.	I have slept poorly for the past few nights.
Herään useita kertoja yön aikana.	I wake up several times during the night.
Oireet alkoivat noin kolme päivää sitten.	The symptoms started about three days ago.
Olo on pahentunut päivä päivältä.	I have been feeling worse day by day.
Kaaduin eilen ja loukkasin ranteeni.	I fell yesterday and injured my wrist.
Ranne on turvonnut ja mustelmilla.	The wrist is swollen and bruised.
En pysty liikuttamaan rannetta kunnolla.	I can't move my wrist properly.
Nilkkani nyrjähti, kun olin kävelyllä.	I sprained my ankle while I was out for a walk.
Sain syvän haavan sormeeni.	I got a deep cut on my finger.
Löin pääni kaapin oveen.	I hit my head on the cabinet door.
Näköni sumeni hetkeksi iskun jälkeen.	My vision went blurry for a moment after the impact.
Silmiäni kutittaa ja ne ovat punaiset.	My eyes are itchy and they are red.
Minulle on noussut kutisevaa ihottumaa käsivarsiin.	I've developed an itchy rash on my arms.
Epäilen, että tämä on allerginen reaktio.	I suspect this is an allergic reaction.
Onko tämä oire tarttuva?	Is this symptom contagious?
Mikä minua vaivaa?	What is wrong with me?
Onko tämä vakavaa?	Is this serious?
Tarvitsenko antibioottikuurin?	Do I need a course of antibiotics?
Voitteko määrätä minulle jotain lääkettä kipuun?	Can you prescribe me some medication for the pain?
Pitäisikö minun mennä laboratoriokokeisiin?	Should I go for laboratory tests?
Tarvitsen sairauslomatodistuksen työtä varten.	I need a sick leave certificate for work.
Kuinka kauan minun pitäisi levätä?	How long should I rest?
Voinko mennä töihin huomenna?	Can I go to work tomorrow?
Onko mitään, mitä minun pitäisi välttää?	Is there anything I should avoid?
Milloin minun pitäisi tulla kontrolliin?	When should I come for a check-up?
Kipu on terävää ja pistävää.	The pain is sharp and stabbing.
Jomotus on tylppää ja jatkuvaa.	The ache is dull and constant.
Lihaksiani särkee kaikkialta, kuin flunssassa.	My muscles ache all over, like with the flu.
Olen yrittänyt ottaa särkylääkettä, mutta se ei auta.	I have tried taking painkillers, but they don't help.
Minulla ei ole ollut tällaisia oireita aiemmin.	I have not had these kinds of symptoms before.
Tämä kipu alkoi yhtäkkiä.	This pain started suddenly.
Oireet ovat pahentuneet vähitellen.	The symptoms have gotten worse gradually.
Kipu on pahempi aamuisin.	The pain is worse in the mornings.
Kipu helpottaa levossa.	The pain eases with rest.
Vatsani on todella turvonnut ja kipeä.	My stomach is really bloated and sore.
En ole pystynyt syömään mitään tänään.	I haven't been able to eat anything today.
Palelen, vaikka minulla ei ole kuumetta.	I'm feeling cold, even though I don't have a fever.
Kuuloni on heikentynyt tässä korvassa.	My hearing has gotten weaker in this ear.
Nenästä vuotava lima on kellertävää.	The mucus from my nose is yellowish.
Poskionteloni tuntuvat paineilta.	My sinuses feel pressurized.
