Mitä aiot rakentaa?	What are you going to build?
Minulla on uusi DIY-projekti mielessä.	I have a new DIY project in mind.
Rakennan kirjahyllyn olohuoneeseen.	I'm building a bookshelf for the living room.
Tarvitsen apuasi tämän projektin kanssa.	I need your help with this project.
Ensin pitää tehdä tarkka suunnitelma.	First, we need to make a detailed plan.
Mistä löydän hyvät rakennusohjeet?	Where can I find good building instructions?
Löysin inspiraatiota Pinterestistä.	I found inspiration on Pinterest.
Meidän täytyy käydä rautakaupassa.	We need to go to the hardware store.
Mitä työkaluja tarvitsemme?	What tools do we need?
Tarvitsemme ainakin sahan, vasaran ja ruuvimeisselin.	We'll need at least a saw, a hammer, and a screwdriver.
Ojenna minulle mittanauha, kiitos.	Pass me the measuring tape, please.
Onko sinulla akkuporakonetta lainaksi?	Do you have a cordless drill I could borrow?
Muista käyttää suojalaseja sahatessasi.	Remember to use safety glasses when you're sawing.
Tämä lauta pitää sahata tasan kahtia.	This board needs to be sawn exactly in half.
Merkitsen leikkauskohdan lyijykynällä.	I'll mark the cutting point with a pencil.
Poraa reikä tähän.	Drill a hole here.
Ole varovainen, ettet poraa liian syvälle.	Be careful not to drill too deep.
Nyt voimme kiinnittää osat toisiinsa ruuveilla.	Now we can attach the parts to each other with screws.
Pitäisitkö tästä kiinni, kun kiristän ruuvin?	Could you hold this while I tighten the screw?
Tämä osa ei näytä sopivan.	This part doesn't seem to fit.
Mittasimmeko tämän oikein?	Did we measure this correctly?
Tarkistetaan mitat vielä kerran.	Let's check the dimensions one more time.
Käytä vatupassia varmistaaksesi, että se on suorassa.	Use a spirit level to make sure it's straight.
Nyt hiotaan kaikki pinnat sileiksi.	Now let's sand all the surfaces smooth.
Hiekkapaperin karkeus on sopiva.	The grit of the sandpaper is appropriate.
Pyyhi hiontapöly pois ennen maalausta.	Wipe off the sanding dust before painting.
Minkä värisellä maalilla maalaamme sen?	What color paint should we use on it?
Ajattelin valkoista tai vaaleanharmaata.	I was thinking white or light grey.
Tarvitaan ainakin kaksi maalikerrosta.	It will need at least two coats of paint.
Anna ensimmäisen kerroksen kuivua kunnolla.	Let the first coat dry properly.
Maalaan reunat pienemmällä pensselillä.	I'll paint the edges with a smaller brush.
Suojaa lattia sanomalehdillä.	Protect the floor with newspapers.
Tästä tulee todella hieno.	This is going to be really great.
Olen tyytyväinen lopputulokseen.	I am pleased with the result.
Se näyttää ammattilaisen tekemältä.	It looks like it was made by a professional.
Tein sen ihan itse!	I made it all by myself!
Kannatti nähdä vaivaa.	It was worth the effort.
Se sopii täydellisesti tuohon nurkkaan.	It fits perfectly in that corner.
Kuinka paljon materiaalit maksoivat?	How much did the materials cost?
Säästin paljon rahaa tekemällä sen itse.	I saved a lot of money by doing it myself.
Seuraavaksi voisin kunnostaa vanhan tuolin.	Next, I could refurbish an old chair.
Tämä on todella palkitsevaa puuhaa.	This is a really rewarding activity.
Mistä ostit tämän puutavaran?	Where did you buy this lumber?
Valitsin mäntyä, koska se on helppo työstää.	I chose pine because it's easy to work with.
Liimataan nämä palat yhteen puuliimalla.	Let's glue these pieces together with wood glue.
Käytä puristimia pitämään ne paikoillaan kuivumisen ajan.	Use clamps to hold them in place while they dry.
Viimeistely vaatii kärsivällisyyttä.	The finishing requires patience.
Aion lakata pinnan suojatakseni sitä.	I'm going to varnish the surface to protect it.
Odota, tämä ruuvi menee vinoon.	Wait, this screw is going in crooked.
Tämä on haastavampaa kuin odotin.	This is more challenging than I expected.
Katsoin opetusvideon YouTubesta.	I watched a tutorial video on YouTube.
Suunnitelma oli selkeä ja helppo seurata.	The plan was clear and easy to follow.
Tämä työkalu on todella kätevä.	This tool is really handy.
Varo sormiasi!	Watch your fingers!
Tarvitsen uuden terän sahaan.	I need a new blade for the saw.
Lopputulos on vaivan arvoinen.	The end result is worth the trouble.
Tämä on paljon tukevampi kuin se vanha.	This is much sturdier than the old one.
Voitko auttaa minua kantamaan tämän sisälle?	Can you help me carry this inside?
Mihin laitamme sen?	Where shall we put it?
Siitä tuli juuri sellainen kuin ajattelin.	It turned out just the way I imagined.
Olen todella ylpeä tästä kädenjäljestä.	I am very proud of this handiwork.
Tämä on hyvä harrastus.	This is a good hobby.
Opin paljon uutta tämän projektin aikana.	I learned a lot of new things during this project.
Tehdäänkö jotain yhdessä ensi viikonloppuna?	Should we make something together next weekend?
Ehkä voisimme rakentaa linnunpöntön.	Maybe we could build a birdhouse.
Pitää aina mitata kahdesti ja sahata kerran.	You should always measure twice and cut once.
Tämän naulan pitäisi mennä tänne.	This nail should go here.
Lyö vasaralla varovasti.	Hit it gently with the hammer.
Pitäisikö meidän petsata tämä vai maalata?	Should we stain this or paint it?
Petsi jättäisi puun syyt näkyviin.	Stain would leave the wood grain visible.
Se on hyvä idea.	That's a good idea.
Maalikaupassa on paljon värivaihtoehtoja.	The paint store has a lot of color options.
Valitaan jokin neutraali sävy.	Let's choose a neutral shade.
Tämä projekti on melkein valmis.	This project is almost finished.
Enää viimeistely puuttuu.	Only the finishing touches are missing.
Onko sinulla hiomakonetta?	Do you have a sander?
Käsin hiominen vie enemmän aikaa.	Sanding by hand takes more time.
Tämä puu on melko pehmeää.	This wood is quite soft.
Ruuvit uppoavat helposti.	The screws go in easily.
Muista porata esireiät.	Remember to drill pilot holes.
Se estää puuta halkeamasta.	That prevents the wood from splitting.
Hyvä vinkki, kiitos.	Good tip, thank you.
Olen oppinut tämän kantapään kautta.	I've learned this the hard way.
Tämä alkaa näyttää todella hyvältä.	This is starting to look really good.
Kokoaminen on projektin hauskin osa.	Assembly is the most fun part of the project.
Tämä on kuin palapelin kokoamista.	This is like putting together a puzzle.
Kaikki osat sopivat täydellisesti.	All the parts fit perfectly.
Suunnittelit tämän hyvin.	You planned this well.
Kiitos, arvostan apuasi.	Thanks, I appreciate your help.
Yhdessä tekeminen on mukavampaa.	Doing things together is more fun.
Mitä seuraavaksi listalla?	What's next on the list?
Seuraavaksi kiinnitämme takalevyn.	Next, we'll attach the back panel.
Se tekee rakenteesta tukevamman.	It makes the structure sturdier.
Vielä muutama naula ja se on valmis.	A few more nails and it's ready.
Voimme siivota jälkemme.	We can clean up our mess.
Lakaise sahanpurut pois.	Sweep away the sawdust.
Laitetaan työkalut takaisin paikoilleen.	Let's put the tools back in their places.
Hyvin tehty.	Well done.
Onnistumisen tunne on mahtava.	The feeling of accomplishment is great.
Olen valmis uuteen haasteeseen.	I'm ready for a new challenge.
Tämä itse tehty lahja on paljon henkilökohtaisempi.	This homemade gift is much more personal.
Hän varmasti arvostaa sitä.	He/She will surely appreciate it.
