Mitkä ovat kuntotavoitteesi tälle vuodelle?	What are your fitness goals for this year?
Haluaisin parantaa yleiskuntoani.	I would like to improve my overall fitness.
Tavoitteenani on juosta puolimaraton syksyllä.	My goal is to run a half-marathon in the autumn.
Aion keskittyä lihasvoiman kasvattamiseen.	I'm going to focus on building muscle strength.
Haluan pudottaa painoa viisi kiloa.	I want to lose five kilograms of weight.
Yritän käydä kuntosalilla kolme kertaa viikossa.	I try to go to the gym three times a week.
Oletko tehnyt itsellesi treeniohjelman?	Have you made a workout plan for yourself?
Pitäisi syödä terveellisemmin ja säännöllisemmin.	I should eat more healthily and regularly.
Juokseminen on minulle hyvä tapa purkaa stressiä.	For me, running is a good way to relieve stress.
Miten sinä pysyt motivoituneena?	How do you stay motivated?
Olen alkanut seurata edistymistäni sovelluksen avulla.	I've started tracking my progress with an app.
On tärkeää asettaa realistisia tavoitteita.	It's important to set realistic goals.
Palkitsen itseni, kun saavutan välitavoitteen.	I reward myself when I reach a milestone.
Voimaharjoittelu on uutta minulle.	Strength training is new to me.
Haluaisin oppia tekemään leuanvedon.	I would like to learn how to do a pull-up.
Keskityn nyt liikkuvuuden parantamiseen.	I'm focusing on improving my mobility now.
Jooga auttaa minua palautumaan ja rentoutumaan.	Yoga helps me to recover and relax.
Mikä on sinun suosikkilajisi?	What is your favorite type of sport?
Pidän ryhmäliikuntatunneista, koska ne ovat kannustavia.	I like group fitness classes because they are encouraging.
Treenikaverin kanssa on helpompi pysyä aikataulussa.	It's easier to stick to a schedule with a workout buddy.
Aion lisätä proteiinin määrää ruokavaliossani.	I'm going to increase the amount of protein in my diet.
Onko sinulla vinkkejä hyviin kotitreeneihin?	Do you have any tips for good home workouts?
Ensimmäiset viikot ovat aina vaikeimpia.	The first few weeks are always the hardest.
Huomaan jo eron jaksamisessani.	I can already feel a difference in my energy levels.
Kuinka pitkään olet treenannut tavoitteellisesti?	How long have you been training with a goal in mind?
Tärkeintä on säännöllisyys ja johdonmukaisuus.	The most important thing is regularity and consistency.
Nukun paremmin, kun olen liikkunut päivän aikana.	I sleep better when I've exercised during the day.
Tavoitteeni on oppia oikeat nostotekniikat.	My goal is to learn the correct lifting techniques.
Personal trainer auttoi minua pääsemään alkuun.	A personal trainer helped me to get started.
Miten yhdistät treenaamisen ja kiireisen arjen?	How do you combine training with a busy everyday life?
Valmistelen ateriat etukäteen viikkoa varten.	I prep my meals in advance for the week.
Venyttely harjoituksen jälkeen on todella tärkeää.	Stretching after a workout is really important.
Aion kokeilla uutta lajia piristykseksi.	I'm going to try a new sport for a change.
Pyöräily on hyvä kardioharjoitus.	Cycling is a good cardio exercise.
Olen asettanut tavoitteeksi 10 000 askelta päivässä.	I've set a goal of 10,000 steps a day.
Miten seuraat sykettäsi treenin aikana?	How do you monitor your heart rate during a workout?
Käytän sykevyötä tarkkojen tulosten saamiseksi.	I use a heart rate belt to get accurate results.
