Olen allerginen pähkinöille.	I am allergic to nuts.
Onko tämä ruoka gluteenitonta?	Is this food gluten-free?
Tarvitsen maidottoman vaihtoehdon.	I need a dairy-free option.
Sisältääkö tämä annos äyriäisiä?	Does this dish contain shellfish?
Minulla on laktoosi-intoleranssi.	I have lactose intolerance.
Voitteko valmistaa tämän ilman soijaa?	Can you prepare this without soy?
Olen vegaani.	I am a vegan.
Onko teillä kasvipohjaisia vaihtoehtoja?	Do you have any plant-based options?
Haluaisin varmistaa, ettei ruoassa ole kananmunaa.	I would like to make sure there is no egg in the food.
Onko keittiössä mahdollista välttää ristikontaminaatiota?	Is it possible to avoid cross-contamination in the kitchen?
Mikä on päivän keitto? Onko se vegaaninen?	What is the soup of the day? Is it vegan?
Sopiiko tämä ruoka henkilölle, jolla on keliakia?	Is this food suitable for a person with celiac disease?
Haluaisin tilata salaatin ilman juustoa.	I would like to order the salad without cheese.
Käytättekö ruoanlaitossa pähkinäöljyä?	Do you use nut oils in your cooking?
Tämä on erittäin tärkeää, olen vakavasti allerginen.	This is very important, I have a severe allergy.
Voinko nähdä ainesosaluettelon?	Can I see the list of ingredients?
Onko leipä tehty ilman vehnää?	Is the bread made without wheat?
Etsin jotain, mikä on sekä gluteeniton että maidoton.	I am looking for something that is both gluten-free and dairy-free.
Onko tämä jälkiruoka makeutettu hunajalla?	Is this dessert sweetened with honey?
Kiitos, että otatte ruokarajoitteeni huomioon.	Thank you for taking my dietary restrictions into account.
Ilmoitan vain, että olen allerginen kalalle.	I'm just letting you know that I am allergic to fish.
Onko teillä laktoosittomia maitotuotteita?	Do you have lactose-free dairy products?
Voiko tämän kastikkeen tehdä ilman kermaa?	Can this sauce be made without cream?
Vältän sokeria ruokavaliossani.	I avoid sugar in my diet.
Onko tässä piilossa mitään allergeeneja?	Are there any hidden allergens in this?
Syön vain vähähiilihydraattista ruokaa.	I only eat low-carb food.
Onko teillä vaihtoehtoja ilman punaista lihaa?	Do you have options without red meat?
Olisiko mahdollista saada tämä annos ilman sipulia?	Would it be possible to have this dish without onions?
