Löysimme vihdoin uuden asunnon.	We finally found a new apartment.
Milloin muutamme uuteen kotiin?	When are we moving to the new home?
Meidän täytyy aloittaa pakkaaminen pian.	We need to start packing soon.
Oletko hankkinut jo muuttolaatikoita?	Have you gotten moving boxes yet?
Vuokrasin muuttoauton ensi viikonlopuksi.	I rented a moving truck for next weekend.
Tarvitsemme apua painavien huonekalujen kanssa.	We need help with the heavy furniture.
Muuttoilmoitus täytyy tehdä maistraattiin.	The change of address notification must be filed with the magistrate.
Muistathan irtisanoa vanhan vuokrasopimuksen.	Remember to terminate the old lease agreement.
Uusi asuntomme on paljon valoisampi.	Our new apartment is much brighter.
Onneksi saimme asunnon, jossa on parveke.	Luckily we got an apartment with a balcony.
Mihin laatikkoon pakkasit keittiövälineet?	Which box did you pack the kitchen utensils in?
Voitko auttaa minua tämän laatikon kantamisessa?	Can you help me carry this box?
Sähkösopimus uuteen asuntoon on jo tehty.	The electricity contract for the new apartment is already done.
Internet-yhteys pitäisi kytkeä mahdollisimman pian.	The internet connection should be set up as soon as possible.
Olen niin innoissani tästä muutosta.	I'm so excited about this move.
Tämä on uuden elämämme alku.	This is the beginning of our new life.
Mihin tämä taulu ripustetaan?	Where should this painting be hung?
Kokoamme uuden sängyn ensimmäisenä.	We'll assemble the new bed first.
Loppusiivous vanhassa asunnossa on vielä tekemättä.	The final cleaning in the old apartment still needs to be done.
Avainten luovutus on huomenna iltapäivällä.	The key handover is tomorrow afternoon.
Tarkistin, että kaikki kaapit ovat tyhjiä.	I checked that all the cupboards are empty.
Onko sinulla teippiä ja saksia?	Do you have tape and scissors?
Merkitse laatikoihin, mitä ne sisältävät.	Mark the boxes with what they contain.
Keittiön laatikot ovat painavimpia.	The kitchen boxes are the heaviest.
Onneksi hissi on käytössämme.	Fortunately, we can use the elevator.
Tämä sohva ei mahdu ovesta sisään.	This sofa doesn't fit through the door.
Meidän täytyy ehkä purkaa se osiin.	We might have to disassemble it.
Uudessa asunnossa on onneksi enemmän säilytystilaa.	Luckily, the new apartment has more storage space.
Aion maalata olohuoneen seinän.	I'm going to paint one wall in the living room.
Minkä värisen maalin valitsemme?	What color paint shall we choose?
Kotivakuutus täytyy siirtää uuteen osoitteeseen.	The home insurance needs to be transferred to the new address.
Missä osoitteessa uusi asuntomme on?	What is the address of our new apartment?
Muutto on raskasta, mutta palkitsevaa.	Moving is hard work, but rewarding.
Tilaammeko pizzaa ensimmäisenä iltana?	Should we order pizza on the first night?
En löydä kahvinkeitintä mistään.	I can't find the coffee maker anywhere.
Se on luultavasti laatikossa, jossa lukee "keittiö".	It's probably in the box that says "kitchen".
Voitko viedä nämä roskat ulos?	Can you take this trash out?
Uusi naapurimme esittäytyi jo.	Our new neighbor already introduced himself.
Hän vaikutti todella mukavalta.	He seemed really nice.
Täällä on paljon hiljaisempaa kuin vanhassa paikassa.	It's much quieter here than in the old place.
Ikkunoista on upeat näkymät.	There are great views from the windows.
Asunnon pohjaratkaisu on todella toimiva.	The layout of the apartment is very functional.
Tulen kaipaamaan vanhaa naapurustoa.	I will miss the old neighborhood.
Mutta on jännittävää tutustua uuteen alueeseen.	But it's exciting to get to know a new area.
Missä lähin ruokakauppa on?	Where is the nearest grocery store?
Se on vain korttelin päässä.	It's just a block away.
Meidän pitää ostaa uusi matto olohuoneeseen.	We need to buy a new rug for the living room.
Tämä vanha ei sovi tänne lainkaan.	This old one doesn't fit in here at all.
Mittaatko seinän leveyden?	Could you measure the width of the wall?
Haluan varmistaa, että kirjahylly mahtuu siihen.	I want to make sure the bookshelf fits there.
Varaa pesutupa huomiseksi.	Book the laundry room for tomorrow.
Meillä on paljon pyykkiä pestävänä.	We have a lot of laundry to do.
Muuttofirma saapuu kello kahdeksalta aamulla.	The moving company will arrive at eight in the morning.
He hoitavat kaiken kantamisen.	They will handle all the carrying.
Se on hintansa väärti.	It's worth the price.
Säästymme paljolta vaivalta ja selkäkivulta.	We'll save ourselves a lot of trouble and back pain.
Olen pakannut tärkeimmät tavarat erilliseen laukkuun.	I've packed the most important things in a separate bag.
Lääkkeet, laturit ja hammasharjat ovat siinä.	Medicines, chargers, and toothbrushes are in it.
Muista ottaa kuvia vanhasta asunnosta ennen lähtöä.	Remember to take pictures of the old apartment before you leave.
Se on hyvä todisteena loppusiivouksen laadusta.	It's good proof of the quality of the final cleaning.
Voimmeko palauttaa vanhat avaimet huoltoyhtiölle?	Can we return the old keys to the maintenance company?
Kyllä, heidän toimistonsa on auki viiteen asti.	Yes, their office is open until five.
Tämä tuntuu vihdoin kodilta.	This is finally starting to feel like home.
Kunhan saamme verhot ikkunoihin.	As soon as we get the curtains on the windows.
Se lisää heti kodikkuutta.	That immediately adds a cozy feel.
Mihin laitoit työkalupakin?	Where did you put the toolbox?
Tarvitsen vasaraa ja nauloja.	I need a hammer and nails.
Se on eteisessä, oven vieressä.	It's in the hallway, next to the door.
Ole varovainen, ettet poraa sähköjohtoon.	Be careful not to drill into an electrical wire.
Käytän kaapelinetsintä varmuuden vuoksi.	I'll use a cable detector just in case.
Tilaa on juuri sopivasti meille kahdelle.	There's just the right amount of space for the two of us.
Ja koirallakin on tilaa juoksennella.	And the dog has room to run around too.
Lähin koirapuisto on vain muutaman sadan metrin päässä.	The nearest dog park is only a few hundred meters away.
Tämä oli ehdottomasti oikea päätös.	This was definitely the right decision.
Olen samaa mieltä, en voisi olla onnellisempi.	I agree, I couldn't be happier.
Malja uudelle kodillemme!	A toast to our new home!
Kippis!	Cheers!
Voisitko järjestää kirjat hyllyyn?	Could you arrange the books on the shelf?
Laitan ne aakkosjärjestykseen.	I'll put them in alphabetical order.
Purkaminen on melkein yhtä työlästä kuin pakkaaminen.	Unpacking is almost as much work as packing.
Mutta on mukavaa saada tavarat paikoilleen.	But it's nice to get things in their places.
Tästä tulee meidän yhteinen pesämme.	This will be our shared nest.
Voisimme kutsua ystäviä tupareihin parin viikon päästä.	We could invite friends to a housewarming party in a couple of weeks.
Se on loistava idea!	That's a great idea!
Annetaan itsellemme aikaa asettua ensin.	Let's give ourselves time to settle in first.
Totta kai, ei mitään kiirettä.	Of course, no rush.
Muistitko ilmoittaa uuden osoitteen Postille?	Did you remember to report the new address to the Posti?
Kyllä, tein sen netissä eilen.	Yes, I did it online yesterday.
Hyvä, sitten postimme ohjautuu oikeaan paikkaan.	Good, then our mail will be directed to the right place.
Tarkista palovaroittimien paristot.	Check the batteries in the smoke detectors.
Turvallisuus ennen kaikkea.	Safety first.
Uudessa taloyhtiössä on sauna.	The new housing company has a sauna.
Varasin meille saunavuoron lauantaiksi.	I booked a sauna turn for us on Saturday.
Mahtavaa, sitä odotan innolla.	Great, I'm looking forward to that.
Muuttopäivän jälkeen sauna tekee hyvää.	After a moving day, a sauna will do good.
Vielä on muutama laatikko autossa.	There are still a few boxes in the car.
Hoidetaan ne pois alta.	Let's get them out of the way.
Sitten voimme levätä hetken.	Then we can rest for a moment.
Tämä on ollut pitkä päivä.	This has been a long day.
Mutta olemme saaneet paljon aikaan.	But we have accomplished a lot.
Olen todella ylpeä meistä.	I'm really proud of us.
