Tietokoneeni ei käynnisty.	My computer won't start.
Näyttö pysyy pimeänä.	The screen stays dark.
Mikään ei tapahdu, kun painan virtanappia.	Nothing happens when I press the power button.
Tietokone on todella hidas tänään.	The computer is really slow today.
Ohjelmat latautuvat todella hitaasti.	The programs are loading very slowly.
Hiiren kursori on jumissa.	The mouse cursor is stuck.
Internet-yhteys katkesi yllättäen.	The internet connection suddenly dropped.
En pääse kirjautumaan Wi-Fi-verkkoon.	I can't log into the Wi-Fi network.
Selain ei suostu lataamaan mitään verkkosivuja.	The browser refuses to load any web pages.
Tämä ohjelma kaatuilee jatkuvasti.	This program keeps crashing.
Saan jatkuvasti saman virheilmoituksen.	I keep getting the same error message.
Tiedosto on vioittunut eikä aukea.	The file is corrupted and won't open.
Koko järjestelmä on aivan jäässä.	The whole system is completely frozen.
Olen yrittänyt käynnistää konetta uudelleen monta kertaa.	I've tried restarting the computer many times.
Voitko auttaa minua tämän tietokoneongelman kanssa?	Can you help me with this computer problem?
Pitäisikö minun ottaa yhteyttä IT-tukeen?	Should I contact IT support?
Mikä tässä voisi olla vikana?	What could be wrong with this?
Näppäimistö ei rekisteröi joitakin kirjaimia.	The keyboard isn't registering some letters.
Ulkoinen kovalevyni ei näy tiedostonhallinnassa.	My external hard drive isn't showing up in the file manager.
Tulostin ei tulosta, vaikka se on päällä.	The printer isn't printing even though it's on.
Äänet eivät toimi ollenkaan.	The sound isn't working at all.
Yritän päivittää ajurit, jos se auttaisi.	I'll try to update the drivers to see if that helps.
Tietokone pitää outoa, surisevaa ääntä.	The computer is making a strange, buzzing noise.
Pelkään, että olen saanut viruksen.	I'm afraid I've gotten a virus.
Miten voin ajaa virustarkistuksen?	How can I run a virus scan?
Salasanani ei kelpaa, vaikka olen varma että se on oikein.	My password isn't being accepted even though I'm sure it's correct.
Unohdin salasanani, miten voin nollata sen?	I forgot my password, how can I reset it?
Tämä on niin turhauttavaa, minulla on kiire.	This is so frustrating, I'm in a hurry.
Menetinkö kaikki tallentamattomat tiedot?	Did I lose all my unsaved data?
Näyttöön ilmestyi sininen ruutu ja paljon tekstiä.	A blue screen with a lot of text appeared.
Selainikkuna sulkeutui itsestään.	The browser window closed by itself.
Akku ei lataudu, vaikka laturi on kiinni.	The battery isn't charging even though the charger is plugged in.
Läppärini ylikuumenee todella nopeasti.	My laptop is overheating really quickly.
Tuuletin pitää kovaa meteliä.	The fan is making a loud noise.
Webkamera ei toimi videopuhelun aikana.	The webcam isn't working during the video call.
Mikrofoni on mykistetty, enkä saa sitä päälle.	The microphone is muted, and I can't turn it on.
Tarvitsen uuden virtajohdon.	I need a new power cord.
Voisitko katsoa tätä hetken?	Could you take a look at this for a moment?
Järjestelmän palauttaminen saattaisi auttaa.	Restoring the system might help.
Mistä löydän uusimmat päivitykset?	Where can I find the latest updates?
Ohjelma pyytää minua päivittämään, pitäisikö minun tehdä se?	The program is asking me to update, should I do it?
Tiedosto on liian suuri lähetettäväksi sähköpostitse.	The file is too large to be sent via email.
Yritän vapauttaa levytilaa.	I'm trying to free up some disk space.
Roskakori on täynnä, pitäisi varmaan tyhjentää se.	The recycle bin is full, I should probably empty it.
Miten otan kuvakaappauksen?	How do I take a screenshot?
Yhteys on epävakaa ja pätkii.	The connection is unstable and keeps cutting out.
Tietokone sammui yllättäen itsestään.	The computer suddenly turned itself off.
Hiiren paristo on varmaankin lopussa.	The mouse battery is probably dead.
Tämä sovellus ei ole yhteensopiva käyttöjärjestelmäni kanssa.	This application is not compatible with my operating system.
Grafiikkakortin kanssa on jotain ongelmia.	There are some problems with the graphics card.
Kuva välkkyy näytöllä.	The image is flickering on the screen.
En saa yhteyttä etätyöpöytään.	I can't connect to the remote desktop.
VPN-yhteys ei muodostu.	The VPN connection is not being established.
Palomuuri saattaa estää yhteyden.	The firewall might be blocking the connection.
Olen jumissa kirjautumisruudussa.	I'm stuck on the login screen.
Olen yrittänyt kaikkea, mutta mikään ei auta.	I've tried everything, but nothing helps.
Tiedätkö ketään, joka osaisi korjata tämän?	Do you know anyone who could fix this?
Kuinka paljon uusi kiintolevy maksaisi?	How much would a new hard drive cost?
Onko tiedostojeni palauttaminen mahdollista?	Is it possible to recover my files?
Joudun viemään tämän huoltoon.	I'll have to take this in for service.
Käyttöjärjestelmä pitää asentaa uudelleen.	The operating system needs to be reinstalled.
En muista, milloin viimeksi varmuuskopioin tiedostoni.	I don't remember when I last backed up my files.
Sain sähköpostin, joka näyttää epäilyttävältä.	I received an email that looks suspicious.
Klikkasin linkkiä, jota minun ei olisi pitänyt.	I clicked a link I shouldn't have.
Koneeni on hidastunut merkittävästi viime aikoina.	My machine has slowed down significantly lately.
Selain on täynnä mainoksia ja ponnahdusikkunoita.	The browser is full of ads and pop-up windows.
Miten voin poistaa tämän haittaohjelman?	How can I remove this malware?
Kovalevy on melkein täynnä.	The hard drive is almost full.
Pitäisikö minun hankkia lisää keskusmuistia?	Should I get more RAM?
Tämä sovellus vie paljon resursseja.	This application is using a lot of resources.
Tehtävienhallinta näyttää, että suoritin on 100% käytössä.	The task manager shows that the CPU is at 100% usage.
En pysty asentamaan tätä ohjelmaa.	I can't install this program.
Asennus epäonnistui ja antoi virhekoodin.	The installation failed and gave an error code.
Käyttäjätilini on jotenkin lukittu.	My user account is locked somehow.
Langaton näppäimistö ei yhdistä koneeseen.	The wireless keyboard won't connect to the computer.
Bluetooth ei löydä laitteita.	Bluetooth can't find any devices.
Näytön resoluutio on väärä.	The screen resolution is wrong.
En osaa muuttaa asetuksia takaisin.	I don't know how to change the settings back.
Tietokone ei tunnista USB-laitetta.	The computer doesn't recognize the USB device.
Voinko vain irrottaa sen vai pitääkö se poistaa turvallisesti?	Can I just unplug it or do I have to eject it safely?
Sähkökatko saattoi aiheuttaa tämän.	A power outage might have caused this.
Ohjelma vaatii järjestelmänvalvojan oikeuksia.	The program requires administrator rights.
Olen menettänyt kaikki selaimen kirjanmerkkini.	I've lost all my browser bookmarks.
Sähköpostini eivät synkronoidu.	My emails are not syncing.
Pilvitallennustila on täynnä.	The cloud storage is full.
Tiedoston lataus epäonnistui.	The file download failed.
Tämä vaatii niin paljon kärsivällisyyttä.	This requires so much patience.
Ehkä on aika ostaa uusi tietokone.	Maybe it's time to buy a new computer.
Tämä vanha kone on palvellut aikansa.	This old machine has served its time.
Yritän etsiä ratkaisua netistä puhelimellani.	I'm trying to search for a solution online with my phone.
Monitori meni virransäästötilaan eikä herää.	The monitor went into power-saving mode and won't wake up.
Kaadoin vahingossa vettä näppäimistölle.	I accidentally spilled water on the keyboard.
Nyt se on täysin käyttökelvoton.	Now it's completely useless.
Onneksi minulla on varmuuskopio tärkeimmistä tiedostoista.	Luckily, I have a backup of the most important files.
Voinko käynnistää vikasietotilassa?	Can I boot in safe mode?
Komponentti on saattanut ylikuumentua ja vaurioitua.	A component might have overheated and been damaged.
Onko emolevy rikki?	Is the motherboard broken?
En saa ääntä ulos kaiuttimista.	I can't get any sound out of the speakers.
Kuulokeliitäntä taitaa olla rikki.	I think the headphone jack is broken.
Päivitys taisi rikkoa jotain.	The update seems to have broken something.
Ohjelma ei vastaa.	The program is not responding.
