Täyteen, kiitos.	Full tank, please.
Haluaisin tankata 95-oktaanista.	I would like to fill up with 95 octane.
Onko tämä dieselpumppu?	Is this a diesel pump?
Voinko maksaa kortilla mittarilla?	Can I pay by card at the pump?
Mitä bensa maksaa litralta?	How much is the petrol per litre?
Tarvitsen apua, pumppu ei toimi.	I need help, the pump isn't working.
Laitatko 30 litraa, kiitos.	Could you put in 30 litres, please.
Mistä saan kuitin?	Where can I get a receipt?
Polttoainesäiliöni on melkein tyhjä.	My fuel tank is almost empty.
Myyttekö tuulilasinpesunestettä?	Do you sell windshield washer fluid?
Anteeksi, kumpi näistä on 98-oktaanista?	Excuse me, which of these is 98 octane?
Tankkaan yleensä V-Poweria.	I usually fill up with V-Power.
Miten tämä automaattiasema toimii?	How does this automated station work?
Hyväksyykö tämä automaatti käteistä?	Does this machine accept cash?
Laitan tankin täyteen dieseliä.	I'll fill the tank with diesel.
Bensiinin hinta on taas noussut.	The price of gasoline has gone up again.
Löytyykö teiltä ilmanpainemittaria renkaille?	Do you have an air pressure gauge for the tires?
Unohdin, kummalla puolella bensatankin luukku on.	I forgot which side the fuel cap is on.
Voinko saada apua tankkaamisessa?	Can I get some help with refueling?
Laitetaan viidelläkympillä bensaa.	Let's put in fifty euros worth of gas.
Tämä on itsepalveluasema.	This is a self-service station.
Syötä ensin kortti ja sitten PIN-koodi.	First, insert the card and then the PIN code.
Valitse pumpun numero.	Choose the pump number.
Nosta pistooli ja aseta se tankkiin.	Lift the nozzle and place it in the tank.
Paina vihreää nappia aloittaaksesi tankkauksen.	Press the green button to start fueling.
Tankkaus pysähtyy automaattisesti, kun tankki on täysi.	The fueling will stop automatically when the tank is full.
Muista laittaa korkki takaisin kiinni.	Remember to put the cap back on.
Ajan aina melkein viimeisillä höyryillä asemalle.	I always drive to the station on the last fumes.
Onko teillä kanta-asiakaskorttia?	Do you have a loyalty card?
Haluan maksaa kassalle sisälle.	I want to pay at the cashier inside.
Voinko tarkistaa öljyt samalla?	Can I check the oil at the same time?
Mittatikku näyttää, että öljyä on vähän.	The dipstick shows that the oil is low.
Lisään hieman öljyä.	I'll add a little oil.
Missä teillä on jäteöljyn keräyspiste?	Where is your collection point for waste oil?
Autoni kuluttaa yllättävän vähän.	My car consumes surprisingly little fuel.
Paljonko sinun autosi kuluttaa sadalla kilometrillä?	How much does your car consume per hundred kilometers?
Tarkista rengaspaineet samalla kun tankkaat.	Check the tire pressures while you're refueling.
Oikea rengaspaine säästää polttoainetta.	The correct tire pressure saves fuel.
