Tänään on täydellinen päivä puutarhanhoitoon.	Today is a perfect day for gardening.
Aion viettää koko iltapäivän takapihalla.	I'm going to spend the whole afternoon in the backyard.
Maa on vielä vähän kosteaa sateen jäljiltä.	The soil is still a bit damp from the rain.
Minun täytyy kitkeä rikkaruohot kasvimaalta.	I need to pull the weeds from the vegetable patch.
Istutan tänään porkkanan siemeniä.	I'm planting carrot seeds today.
Kaivan ensin istutusvaon.	First, I'll dig a planting furrow.
Tomaatin taimet näyttävät jo vahvoilta.	The tomato seedlings already look strong.
Muista kastella kukkia säännöllisesti.	Remember to water the flowers regularly.
Missä lapio on?	Where is the shovel?
Tarvitsen kottikärryjä mullan siirtämiseen.	I need a wheelbarrow to move the soil.
Lannoitan yrttejä tänään.	I'm fertilizing the herbs today.
Salaatti kasvaa todella nopeasti.	The lettuce is growing really fast.
Milloin perunat voi nostaa?	When can the potatoes be harvested?
Mansikat alkavat jo punoittaa.	The strawberries are starting to turn red.
Pitäisikö meidän leikata nurmikko?	Should we mow the lawn?
Omenapuu kukkii kauniisti.	The apple tree is blooming beautifully.
Rakastan tuoreen tillin tuoksua.	I love the smell of fresh dill.
Linnut syövät herneitä, joten tarvitsemme verkon.	The birds are eating the peas, so we need a net.
Nämä hanskat ovat jo ihan likaiset.	These gloves are already really dirty.
Puutarhanhoito on niin rentouttavaa.	Gardening is so relaxing.
Istutetaan lisää kehäkukkia houkuttelemaan pölyttäjiä.	Let's plant more marigolds to attract pollinators.
Komposti on täynnä, se pitää kääntää.	The compost is full, it needs to be turned.
Onko sinulla ylimääräisiä kukkasipuleita?	Do you have any extra flower bulbs?
Pionit ovat suosikkejani.	Peonies are my favorite.
Tämä uusi harava on todella kevyt.	This new rake is very light.
Vesiletku ei yletä pihan perälle.	The water hose doesn't reach the back of the yard.
Käytän kastelukannua taimille.	I'll use a watering can for the seedlings.
Etanoita on tänä vuonna todella paljon.	There are so many snails this year.
Voitko ojentaa minulle istutuslapion?	Can you hand me the trowel?
Tämä multasäkki on painava.	This bag of soil is heavy.
Siemenet pitää kylvää harvaan.	The seeds need to be sown sparsely.
Olen kasvattanut nämä kurkut siemenestä asti.	I've grown these cucumbers from seed.
Sadonkorjuun aika on pian.	Harvest time is soon.
Mikään ei voita oman maan perunoita.	Nothing beats potatoes from your own garden.
Rakennan pienen kasvihuoneen ensi vuonna.	I'm going to build a small greenhouse next year.
Raparperipiirakka on kesän merkki.	Rhubarb pie is a sign of summer.
Aurinko paistaa, muista laittaa hattu päähän.	The sun is shining, remember to wear a hat.
