Haluaisin varata ajan hiustenleikkuuseen.	I would like to book an appointment for a haircut.
Onko teillä vapaita aikoja tällä viikolla?	Do you have any available times this week?
Mikä olisi ensimmäinen vapaa aika?	What would be the first available time?
Sopiiko teille huomenna iltapäivällä?	Does tomorrow afternoon work for you?
Haluaisin leikata ja värjätä hiukseni.	I would like to have my hair cut and colored.
Kuinka paljon latvoista pitäisi leikata?	How much should be trimmed from the ends?
Haluan vain siistiä mallia, ei mitään suurta muutosta.	I just want to tidy up the style, nothing drastic.
Voitko suositella minulle jotain uutta tyyliä?	Could you recommend a new style for me?
Olen ajatellut leikata lyhyen polkkatukan.	I've been thinking about getting a short bob.
Haluaisin otsatukan.	I would like to get bangs.
Pestäänkö hiukset ensin?	Are we washing the hair first?
Onko vesi sopivan lämpöistä?	Is the water a comfortable temperature?
Käytätkö hoitoainetta?	Do you use conditioner?
Haluan kerroksia hiuksiini tuomaan volyymia.	I want layers in my hair to add volume.
Leikataan vain kuivat ja haaroittuneet latvat pois.	Let's just cut off the dry and split ends.
Tämä pituus näyttää hyvältä.	This length looks good.
Voitko ohentaa hiuksiani hieman?	Can you thin my hair out a bit?
Mitä mieltä olet tästä mallikuvasta?	What do you think of this reference picture?
Luotanko sinun ammattitaitoosi.	I trust your professional judgment.
Föönataanko hiukset lopuksi?	Should we blow-dry the hair at the end?
Haluan, että muotoilet sen suoraksi.	I want you to style it straight.
Laitetaanko hieman hiuslakkaa?	Should we put in a little hairspray?
Mitä tuotteita suosittelisit tämän kampauksen ylläpitoon?	What products would you recommend for maintaining this hairstyle?
Paljonko tämä maksaa?	How much does this cost?
Voinko maksaa kortilla?	Can I pay by card?
Olen todella tyytyväinen lopputulokseen!	I am really happy with the result!
Kiitos paljon, nähdään taas!	Thank you very much, see you again!
Haluaisin varata seuraavan ajan noin kahdeksan viikon päähän.	I'd like to book the next appointment for about eight weeks from now.
Onko minulla aika tänään kello kolmelta?	Do I have an appointment today at three o'clock?
Nimeni on Matti Virtanen, minulla on varaus.	My name is Matti Virtanen, I have a reservation.
Haluan vain miesten hiustenleikkuun.	I just want a men's haircut.
Ajellaanko sivut koneella lyhyeksi?	Should we shave the sides short with a clipper?
Päältä voi jättää vähän pidemmäksi.	You can leave it a bit longer on top.
Miten haluaisit, että muotoilen tämän?	How would you like me to style this?
Voisitko siistiä myös partani?	Could you tidy up my beard as well?
Käytetäänkö vahaa vai geeliä?	Should we use wax or gel?
Tämä on ensimmäinen kertani tässä salongissa.	This is my first time at this salon.
Ystäväni suositteli tätä paikkaa.	My friend recommended this place.
Onko teillä tarjolla kahvia odotellessa?	Do you offer coffee while waiting?
Anteeksi, että olen hieman myöhässä.	Sorry I'm a little late.
Ei tarvitse föönata, pyyhekuivaus riittää.	No need to blow-dry, towel-drying is enough.
Haluan säilyttää hiusteni pituuden.	I want to keep the length of my hair.
Leikataan niin vähän kuin mahdollista.	Let's cut as little as possible.
Haluaisin kirkkaita raitoja.	I would like to get bright highlights.
Värjätäänkö vain tyvikasvu?	Should we only color the root growth?
Mikä värisävy sopisi minulle parhaiten?	Which hair color shade would suit me best?
Varo, ettei väriä mene vaatteilleni.	Be careful not to get color on my clothes.
Miten pitkään värin täytyy vaikuttaa?	How long does the color need to set?
Tuntuu hyvältä, kun joku pesee hiukset.	It feels good when someone else washes your hair.
Päänahan hieronta oli rentouttava.	The scalp massage was relaxing.
Voitko leikata sen niin, että se on helppohoitoinen?	Can you cut it so that it's easy to manage?
Minulla on aamuisin vähän aikaa laittaa hiuksia.	I have little time in the mornings to do my hair.
Näyttääkö tämä tasaiselta takaa?	Does this look even from the back?
Uskallanko leikata lyhyemmäksi?	Do I dare to cut it shorter?
Jätetäänkö niska puhtaaksi?	Should we clean up the neckline?
Siistitäänkö pulisongit?	Should we trim the sideburns?
Haluan jakaani sivulle.	I'd like my part on the side.
Keski-jakaus, kiitos.	A middle part, please.
Voitko näyttää peilillä, miltä se näyttää takaa?	Can you show me in the mirror what it looks like from the back?
Se on juuri sellainen kuin toivoin.	It's exactly as I had hoped.
Kuinka usein minun pitäisi leikkauttaa tätä mallia?	How often should I get this style cut?
