Taas on se aika päivästä, kun aletaan valmistautua nukkumaan.	It's that time of day again to start getting ready for bed.
Olen todella väsynyt tänään.	I am really tired today.
Voisin nukahtaa seisaalleni.	I could fall asleep on my feet.
Alan olla valmis sänkyyn.	I'm getting ready for bed.
Vaihdan yöpukuun.	I'm changing into my pajamas.
Menen pesemään hampaani.	I'm going to brush my teeth.
On aika pestä hampaat.	It's time to brush my teeth.
Käyn vielä suihkussa ennen nukkumaanmenoa.	I'll take a shower before going to bed.
Laitan yöpaidan päälleni.	I'll put on my nightgown.
Harjaan hiukseni.	I'm brushing my hair.
Rasvaan kasvoni yövoiteella.	I'm putting on my night cream.
Pesen meikit pois.	I'm washing off my makeup.
Mistä löydän hammastahnani?	Where can I find my toothpaste?
Onko sinulla puhdas pyyhe?	Do you have a clean towel?
Muista laittaa herätyskello soimaan.	Remember to set the alarm clock.
Moneltako herätys on huomenna?	What time is the alarm for tomorrow?
Laitan herätyksen seitsemäksi.	I'll set the alarm for seven.
Luen vielä hetken ennen kuin sammutan valot.	I'll read for a little while before turning off the lights.
Mikä kirja sinulla on kesken?	What book are you reading?
Luen tätä kirjaa sängyssä.	I'm reading this book in bed.
Sammutatko sinä valon?	Will you turn off the light?
Voitko sammuttaa yöpöydän lampun?	Can you turn off the bedside lamp?
Onpa mukava päästä peiton alle.	It feels so nice to get under the covers.
Tämä tyyny on todella pehmeä.	This pillow is really soft.
Peittelen sinut.	I'll tuck you in.
Kauniita unia.	Sweet dreams.
Hyvää yötä, nuku hyvin.	Good night, sleep well.
Nähdään aamulla.	See you in the morning.
Lasken lampaita, jos en saa unta.	I'll count sheep if I can't sleep.
Ovi pitäisi kai sulkea.	I guess the door should be closed.
Jätetäänkö ovi raolleen?	Should we leave the door ajar?
Onko ikkuna kiinni?	Is the window closed?
Minulla on tapana tuulettaa makuuhuone ennen nukkumaanmenoa.	I usually air out the bedroom before going to sleep.
Laitatko verhot kiinni?	Will you close the curtains?
Otan unilääkkeen, jotta nukun paremmin.	I'll take a sleeping pill so I can sleep better.
Juo kupillinen iltateetä.	Have a cup of evening tea.
Kofeiiniton tee auttaa rentoutumaan.	Decaffeinated tea helps to relax.
Vältän puhelimen käyttöä ennen nukkumaanmenoa.	I avoid using my phone before going to bed.
Sininen valo häiritsee unta.	Blue light disturbs sleep.
Laitan puhelimen äänettömälle yöksi.	I'll put my phone on silent for the night.
Huomiseen!	Until tomorrow!
Öitä!	Night!
Toivottavasti näen kauniita unia.	I hope I'll have sweet dreams.
On jo myöhä, pitäisi mennä nukkumaan.	It's already late, I should go to sleep.
Silmäni lupsuvat väsymyksestä.	My eyes are drooping from tiredness.
Haukottelen jatkuvasti.	I'm yawning constantly.
Voisin nukkua kellon ympäri.	I could sleep around the clock.
Tarkistan vielä, että kaikki ovet ovat lukossa.	I'll just check that all the doors are locked.
Onko hälytysjärjestelmä päällä?	Is the alarm system on?
Laitan yövalon päälle lapsille.	I'll turn on the night light for the kids.
Luin lapsille iltasadun.	I read the children a bedtime story.
Nyt on aika rauhoittua.	Now it's time to calm down.
Kuunnellaan hiljaista musiikkia.	Let's listen to some quiet music.
Meditointi auttaa minua nukahtamaan.	Meditation helps me fall asleep.
Olen ihan poikki pitkän päivän jälkeen.	I'm exhausted after a long day.
Venyttelen kevyesti ennen sänkyyn menoa.	I do some light stretching before going to bed.
Missä unileluni on?	Where is my sleep toy?
Haluan halata pehmoleluani.	I want to hug my stuffed animal.
Tarvitsen toisen peiton, minulla on kylmä.	I need another blanket, I'm cold.
Onko sinulla kuuma?	Are you hot?
Voin avata ikkunaa hetkeksi.	I can open the window for a moment.
Muista juoda lasi vettä.	Remember to drink a glass of water.
Käyn vielä vessassa.	I'll go to the bathroom one more time.
Onko sinulla kaikki hyvin?	Are you alright?
Älä valvota liian myöhään.	Don't stay up too late.
Yritän mennä nukkumaan aikaisemmin.	I'll try to go to sleep earlier.
Säännöllinen unirytmi on tärkeä.	A regular sleep schedule is important.
Nukun yleensä kahdeksan tuntia yössä.	I usually sleep eight hours a night.
Herään virkeänä huomenna.	I'll wake up refreshed tomorrow.
Uni on paras lääke.	Sleep is the best medicine.
Suljen silmäni ja yritän rentoutua.	I'll close my eyes and try to relax.
Mietin mukavia asioita.	I'll think about pleasant things.
Päivän huolet saavat jäädä.	The worries of the day can be left behind.
On aika ladata akkuja.	It's time to recharge the batteries.
Unta palloon!	(Idiomatic) Time to hit the hay!
Olen jo unten mailla.	I'm already in dreamland.
Nukahdan heti, kun pääni osuu tyynyyn.	I'll fall asleep as soon as my head hits the pillow.
Tarvitsen unimaskin.	I need a sleep mask.
Korvatulpat auttavat, jos on meluisaa.	Earplugs help if it's noisy.
Onko lämmitys sopivalla?	Is the heating at a suitable level?
Makuuhuoneen lämpötila on täydellinen.	The bedroom temperature is perfect.
Vaihdan lakanat huomenna.	I'll change the sheets tomorrow.
Puhtaat lakanat tuntuvat ihanilta.	Clean sheets feel lovely.
Olen niin uninen.	I'm so sleepy.
En jaksa enää valvoa.	I can't stay awake any longer.
Nukkumatti taitaa tulla pian.	The sandman will probably come soon.
Pitäisikö minun laittaa pyykit kuivumaan yöksi?	Should I put the laundry to dry for the night?
Tarkistan vielä sähköpostit nopeasti.	I'll just check my emails quickly.
Ei, nyt riittää ruutuaika.	No, that's enough screen time.
On tärkeää antaa aivojen levätä.	It's important to let the brain rest.
Lasken hengitystäni.	I'm counting my breaths.
Syvä hengitys rauhoittaa.	Deep breathing is calming.
Valmistaudun uneen.	I'm preparing for sleep.
Kehoni on rento.	My body is relaxed.
Mieleni on tyyni.	My mind is calm.
Odotan jo huomisaamua.	I'm already looking forward to tomorrow morning.
Hyvää yötä, rakas.	Good night, my love.
Toivottavasti et näe painajaisia.	I hope you don't have any nightmares.
Nuku sikeästi.	Sleep tight.
Olen valmis nukkumaan.	I am ready to sleep.
