Lähdetäänkö kalaan huomenna?	Shall we go fishing tomorrow?
Onko sinulla kalastuslupa kunnossa?	Do you have a valid fishing license?
Mistä voisimme vuokrata veneen?	Where could we rent a boat?
Tarvitsemme lisää matoja ja uistimia.	We need more worms and lures.
Pakkaa mukaan pelastusliivit kaikille.	Pack life jackets for everyone.
Mihin aikaan meidän pitäisi lähteä?	What time should we leave?
Toivottavasti sää on hyvä.	I hope the weather is good.
Muista ottaa aurinkorasvaa mukaan.	Remember to bring sunscreen.
Onko veneessä kaikuluotain?	Does the boat have a fishfinder?
Tarkista moottorin polttoaine.	Check the engine's fuel level.
Minulla on uusi vapa, jota haluan kokeilla.	I have a new rod I want to try.
Minkälaista kalaa täältä voi saada?	What kind of fish can you get here?
Yleisimmät saaliit ovat ahven ja hauki.	The most common catches are perch and pike.
Lasketaan vene vesille nyt.	Let's launch the boat now.
Kuka ajaa venettä?	Who's driving the boat?
Heitä ankkuri tuohon kohtaan.	Drop the anchor at that spot.
Nyt vain odotellaan syömistä.	Now we just wait for a bite.
Tuntuu, että jotain nappasi.	I think I got a bite.
Minulla on kala kiinni!	I have a fish on!
Se on iso!	It's a big one!
Auta minua haavin kanssa.	Help me with the landing net.
Saimme kauniin kuhan.	We caught a beautiful zander.
Tämä on liian pieni, päästetään se takaisin.	This one is too small, let's release it.
Ota kuva saaliistani.	Take a picture of my catch.
Käytetäänkö perhoja vai lusikkauistimia?	Should we use flies or spoon lures?
Vesi on tänään melko tyyntä.	The water is quite calm today.
Tuuli yltyy hieman.	The wind is picking up a bit.
Soudetaan tuonne lahden poukamaan.	Let's row over to that cove.
Näyttääkö tutka mitään?	Is the radar showing anything?
Aja hitaammin, tässä on kiviä.	Drive slower, there are rocks here.
On aika lähteä takaisin rantaan.	It's time to head back to the shore.
Nosta ankkuri ylös.	Pull up the anchor.
Siivotaan vene ennen kuin lähdemme.	Let's clean the boat before we leave.
Perataan kalat valmiiksi.	Let's gut the fish.
Tästä tulee herkullinen illallinen.	This will make a delicious dinner.
Olipa rentouttava päivä järvellä.	What a relaxing day on the lake.
Ensi kerralla mennään merelle.	Next time, let's go to the sea.
Onko kaikilla pelastusliivit päällä?	Does everyone have their life jacket on?
Irrota köydet laiturista.	Untie the ropes from the dock.
Käynnistä moottori.	Start the engine.
Navigoidaan tuon saaren ympäri.	Let's navigate around that island.
Pidä kiinni, aallokko on vähän kovaa.	Hold on, the waves are a bit rough.
Lasketaan verkko veteen.	Let's put the net in the water.
Kokekaamme verkot aamulla.	Let's check the nets in the morning.
Onko sinulla virveliä lainaksi?	Do you have a spinning rod I could borrow?
Syötti on lopussa.	We're out of bait.
Voisitko ojentaa pihdit?	Could you pass me the pliers?
Tämä hauki painaa ainakin viisi kiloa.	This pike weighs at least five kilos.
Auringonlasku on upea.	The sunset is gorgeous.
Pidän enemmän heittokalastuksesta kuin uistelusta.	I prefer casting to trolling.
Laitetaan vene kiinni poijuun.	Let's moor the boat to the buoy.
Varo kareja.	Watch out for the shallows.
Tarkista syvyyskartta.	Check the depth chart.
Laituripaikka on varattu.	The berth is reserved.
Tankataan vene huoltoasemalla.	Let's refuel the boat at the service station.
Kalastus vaatii kärsivällisyyttä.	Fishing requires patience.
Sää muuttui nopeasti.	The weather changed quickly.
Pilvet kerääntyvät taivaalle.	Clouds are gathering in the sky.
Kuuluuko ukkosen jyrinää?	Can you hear thunder?
On turvallisempaa palata maihin.	It's safer to return to shore.
Minulla on merisairautta.	I get seasick.
Vene keinuu aika paljon.	The boat is rocking quite a lot.
Missä on lähin satama?	Where is the nearest harbor?
