Laita käsimatkatavarasi tähän laatikkoon.	Put your carry-on luggage in this tray.
Ota kaikki elektroniset laitteet pois laukusta.	Take all electronic devices out of your bag.
Kannettava tietokone on otettava pois suojapussistaan.	Laptops must be removed from their cases.
Nesteet tulee esittää erikseen turvatarkastuksessa.	Liquids must be presented separately at the security check.
Riisu takkisi, vyösi ja isot korusi.	Please take off your coat, belt, and large jewelry.
Laita kaikki metalliesineet laatikkoon.	Put all metal objects in the tray.
Tyhjennä taskusi kolikoista ja avaimista.	Empty your pockets of coins and keys.
Kengät on joskus riisuttava.	Sometimes you have to take off your shoes.
Aseta laatikko hihnalle.	Place the tray on the conveyor belt.
Kävele metallinpaljastimen läpi.	Walk through the metal detector.
Odota vuoroasi.	Wait for your turn.
Seuraa henkilökunnan ohjeita.	Follow the instructions of the staff.
Onko sinulla nesteitä mukanasi?	Do you have any liquids with you?
Kaikki yli 100 ml nesteet ovat kiellettyjä.	All liquids over 100 ml are forbidden.
Nesteet tulee olla läpinäkyvässä, uudelleensuljettavassa pussissa.	Liquids must be in a transparent, resealable bag.
Voinko pitää kellon ranteessani?	Can I keep my watch on?
Laukussani on lääkkeitä, onko se sallittua?	I have medication in my bag, is that allowed?
Minulla on lääketieteellinen implantti.	I have a medical implant.
Tämä laukku valittiin lisätarkastukseen.	This bag was selected for an additional check.
Voisitteko avata laukkunne?	Could you open your bag, please?
Mikä tämä esine on?	What is this item?
Valitettavasti et voi viedä tätä mukanasi.	Unfortunately, you cannot take this with you.
Kerää tavarasi hihnan päästä.	Collect your belongings from the end of the belt.
Muista ottaa kannettava tietokoneesi.	Remember to take your laptop.
Älä unohda puhelintasi.	Don't forget your phone.
Turvatarkastus on nyt suoritettu.	The security check is now complete.
Voit pukea takkisi takaisin päällesi.	You can put your coat back on.
Mihin portille minun pitää mennä?	Which gate do I need to go to?
Kiirehdi, koneesi on jo lähtöselvityksessä.	Hurry, your flight is already boarding.
Onko tämä oikea jono Priority-matkustajille?	Is this the correct queue for Priority passengers?
Näytä tarkastuskorttisi.	Show your boarding pass.
Aseta käsimatkatavarat läpivalaisuun.	Place your hand luggage for X-ray screening.
Onko teillä mitään terävää laukussanne?	Do you have anything sharp in your bag?
Sakset eivät ole sallittuja käsimatkatavaroissa.	Scissors are not allowed in carry-on luggage.
Virtapankit on kuljetettava käsimatkatavaroissa.	Power banks must be carried in hand luggage.
Seis, odota hetki.	Stop, wait a moment.
Levitä kätesi sivuille.	Spread your arms to the sides.
Turvatarkastaja saattaa koskea sinuun tarkastuksen aikana.	The security officer may touch you during the search.
Tämä on satunnainen pyyhkäisytesti räjähteiden varalta.	This is a random swab test for explosives.
Oletko pakannut laukkusi itse?	Did you pack your bags yourself?
Onko kukaan antanut sinulle mitään vietäväksi?	Has anyone given you anything to carry?
Lastenruoat ja -juomat ovat sallittuja.	Baby food and drinks are allowed.
Sinun täytyy maistaa vauvanruokaa turvallisuussyistä.	You need to taste the baby food for security reasons.
Työnnä laatikkoa eteenpäin.	Push the tray forward.
Hihna on pysähtynyt.	The belt has stopped.
Miksi laukkuni piippasi?	Why did my bag beep?
Sallitaanko sateenvarjot käsimatkatavaroissa?	Are umbrellas allowed in carry-on?
