Oletko innoissasi illan keikasta?	Are you excited about the gig tonight?
Minulla on liput huomiseen konserttiin.	I have tickets for tomorrow's concert.
Milloin keikka alkaa?	When does the gig start?
Mikä yhtye soittaa lämppärinä?	Which band is playing as the support act?
Toivottavasti he soittavat suosikkikappaleeni.	I hope they play my favorite song.
En malta odottaa, että näen heidät livenä.	I can't wait to see them live.
Tapaammeko keikkapaikalla vai sitä ennen?	Shall we meet at the venue or before?
Liput myytiin loppuun todella nopeasti.	The tickets sold out really fast.
Pitäisikö meidän syödä jotain ennen konserttia?	Should we eat something before the concert?
Mitä aiot laittaa päällesi keikalle?	What are you going to wear to the gig?
Lähdetäänkö eturiviin?	Should we go to the front row?
Missä narikka on?	Where is the cloakroom?
Onpa täällä paljon ihmisiä.	Wow, there are a lot of people here.
Mennäänkö lähemmäs lavaa?	Should we go closer to the stage?
Täältä on hyvä näkyvyys.	The view is good from here.
Haen meille jotain juotavaa baarista.	I'll get us something to drink from the bar.
Myydäänkö täällä bändin paitoja?	Do they sell the band's t-shirts here?
Tunnelma on aivan mahtava!	The atmosphere is absolutely amazing!
Lämppäribändi on todella hyvä.	The opening act is really good.
Koska pääesiintyjä aloittaa?	When does the headliner start?
Nyt se alkaa!	It's starting now!
He ovat uskomattomia livenä!	They are incredible live!
Tämä on se biisi, jota odotin!	This is the song I was waiting for!
Kaikki laulavat mukana.	Everyone is singing along.
Kitarasoolo on aivan mieletön.	The guitar solo is absolutely insane.
Valoshow on vaikuttava.	The light show is impressive.
Yleisö on täysin liekeissä.	The crowd is completely on fire.
Tämä kappale antaa minulle aina kylmiä väreitä.	This song always gives me goosebumps.
Nostakaa kädet ilmaan!	Put your hands in the air!
He soittavat encore-kappaleen!	They are playing an encore!
Huudetaan lisää!	Let's shout for more!
Tämä on paras keikka, jolla olen koskaan ollut.	This is the best gig I've ever been to.
Rumpali on niin energinen.	The drummer is so energetic.
Laulajan ääni on upea livenä.	The singer's voice is amazing live.
Tanssitaan kunnolla!	Let's really dance!
Aion kuvata tämän seuraavan kappaleen.	I'm going to record this next song.
Se oli aivan mahtava esitys.	That was an absolutely fantastic performance.
Korvani soivat vieläkin.	My ears are still ringing.
Olen aivan sanaton, se oli niin hyvä.	I'm speechless, it was so good.
Toivottavasti he tulevat pian uudestaan Suomeen.	I hope they come to Finland again soon.
Miten pääsemme täältä kotiin?	How do we get home from here?
Tilaanko meille taksin?	Should I order us a taxi?
Olen aivan hiessä tanssimisesta.	I'm all sweaty from dancing.
Laitatko keikkakuvia nettiin?	Are you going to post concert pictures online?
Ostin heidän kiertuepaitansa.	I bought their tour t-shirt.
Keikkapaikka on todella hieno.	The venue is really cool.
Akustiikka tässä salissa on loistava.	The acoustics in this hall are excellent.
Äänenvoimakkuus on todella kovalla.	The volume is really loud.
