Lämmitetäänkö sauna?	Shall we heat up the sauna?
Sauna on jo lämmin.	The sauna is already warm.
Mennäänkö saunaan?	Should we go to the sauna?
Heitän ensimmäiset löylyt.	I'll throw the first steam.
Onpa hyvät löylyt!	What great steam!
Voitko heittää vähän lisää löylyä?	Can you throw a little more steam?
Tämä on täydellinen lämpötila.	This is the perfect temperature.
Istun mieluiten ylälauteilla.	I prefer to sit on the top bench.
Alalauteilla on viileämpää.	It's cooler on the lower bench.
Onko sinulla vihta mukana?	Do you have a birch whisk with you?
Vihdotaan kunnolla!	Let's whisk properly!
Tämä tuoksuu niin hyvältä.	This smells so good.
Koivun tuoksu on rentouttava.	The scent of birch is relaxing.
Käyn välillä vilvoittelemassa.	I'll go cool off for a bit.
Uskallatko pulahtaa järveen?	Do you dare to dip in the lake?
Vesi on todella virkistävää.	The water is really refreshing.
Talvella avanto on paras.	In the winter, an ice hole is the best.
Kieritäänkö lumessa?	Should we roll in the snow?
Saunassa ollaan alasti.	You are naked in the sauna.
Onko tämä sekasauna?	Is this a mixed-gender sauna?
Ota oma pyyhe mukaan.	Bring your own towel.
Muista juoda tarpeeksi vettä.	Remember to drink enough water.
Saunakalja maistuu aina hyvältä.	A sauna beer always tastes good.
Saunan jälkeen on puhdas olo.	You feel clean after the sauna.
Kiuas on saunan sydän.	The stove is the heart of the sauna.
Tämä on puulämmitteinen sauna.	This is a wood-fired sauna.
Sähkösauna lämpenee nopeasti.	An electric sauna heats up quickly.
Savusauna on monien mielestä paras.	Many think the smoke sauna is the best.
Löylykauha on tuossa kiulun vieressä.	The steam ladle is there next to the bucket.
Älä heitä liikaa vettä kerralla.	Don't throw too much water at once.
Kivet ovat tulikuumia.	The stones are piping hot.
Annan selkäsi vihtoa.	Let me whisk your back.
Laudeliina on hyvä olla olemassa.	It's good to have a seat cover.
Kuinka kauan yleensä saunot?	How long do you usually stay in the sauna?
Noin viisitoista minuuttia kerrallaan.	About fifteen minutes at a time.
Käyn yleensä kolme kertaa löylyissä.	I usually go in for steam three times.
Sauna auttaa rentoutumaan.	The sauna helps to relax.
Lihakset rentoutuvat lämmössä.	Muscles relax in the heat.
Saunassa sielu lepää.	In the sauna, the soul rests.
Tämä on perinteinen suomalainen tapa.	This is a traditional Finnish custom.
Lapsena opin saunomaan.	I learned to go to the sauna as a child.
Joka lauantai on saunapäivä.	Every Saturday is sauna day.
Joulusauna on erityinen perinne.	The Christmas sauna is a special tradition.
Juhannussauna kuuluu asiaan.	The Midsummer sauna is a must.
Saunassa ei saa kiroilla.	You shouldn't swear in the sauna.
Saunassa käyttäydytään kuin kirkossa.	In the sauna, you behave as you would in church.
Saunatonttu vahtii saunaa.	The sauna elf watches over the sauna.
Kuivataanpa itsemme kunnolla.	Let's dry ourselves off properly.
Puen päälleni saunatakin.	I'll put on a bathrobe.
Olo on kuin uudesti syntynyt.	I feel like I've been born again.
Saunan jälkeen uni maistuu.	Sleep is sweet after the sauna.
Onko sinulla saunahattu?	Do you have a sauna hat?
Se suojaa päätä kuumuudelta.	It protects your head from the heat.
Lisäänpä muutaman puun pesään.	I'll add a few more logs to the fire.
Pitää vahtia, ettei sauna kuumene liikaa.	You have to watch that the sauna doesn't get too hot.
Ovi pitää sulkea nopeasti.	The door must be closed quickly.
Lämpö karkaa muuten harakoille.	Otherwise, the heat will escape for nothing.
Tässä saunassa on pehmeät löylyt.	This sauna has soft steam.
Jotkut saunat ovat liian kuivia.	Some saunas are too dry.
Ilmanvaihto on tärkeä osa saunaa.	Ventilation is an important part of the sauna.
Tuntuupa iho pehmeältä.	My skin feels so soft.
Vilvoittelu terassilla on mukavaa.	Cooling down on the terrace is nice.
Kuunnellaan luonnon ääniä.	Let's listen to the sounds of nature.
Makkaran paistaminen saunan jälkeen on perinne.	Grilling sausages after the sauna is a tradition.
Tämä on elämänlaatua.	This is quality of life.
Suomalaisille sauna on pyhä paikka.	For Finns, the sauna is a sacred place.
Montako saunaa Suomessa on?	How many saunas are there in Finland?
Yli kolme miljoonaa, sanotaan.	Over three million, they say.
Melkein joka kodissa on oma sauna.	Almost every home has its own sauna.
Myös kerrostaloissa on taloyhtiön saunoja.	Apartment buildings also have resident saunas.
Varaamme saunavuoron kerran viikossa.	We book a sauna turn once a week.
Otan löylyveteen mukaan eteerisiä öljyjä.	I'll bring essential oils for the steam water.
Eukalyptus avaa hengitysteitä.	Eucalyptus opens up the airways.
Hunajaa voi levittää iholle saunassa.	You can spread honey on your skin in the sauna.
Se tekee ihosta sileän.	It makes the skin smooth.
Mennään vielä kerran.	Let's go one more time.
Tämä taisi olla viimeinen kerta minulle.	I think this was the last time for me.
Riittääkö vesi kiulussa?	Is there enough water in the bucket?
Haen lisää vettä kaivosta.	I'll get more water from the well.
Löyly ei saa loppua kesken.	The steam must not run out.
Täällä on tunnelmallinen valaistus.	There's atmospheric lighting in here.
Kynttilät luovat rauhoittavaa tunnelmaa.	Candles create a calming atmosphere.
