Pidetäänkö viikonloppuna grillijuhlat?	Shall we have a barbecue party on the weekend?
Kutsun teidät grillaamaan lauantaina.	I'm inviting you over for a barbecue on Saturday.
Mitä haluaisitte että tuon mukanani?	What would you like me to bring?
Voin tuoda salaatin ja jotain juotavaa.	I can bring a salad and something to drink.
Grilli on jo kuumana.	The grill is already hot.
Kuka on tämän illan grillimestari?	Who is the grill master tonight?
Nämä marinoidut kanavartaat tuoksuvat upeilta.	These marinated chicken skewers smell amazing.
Ojennatko minulle sinapin ja ketsupin?	Could you pass me the mustard and ketchup?
Haluatko pihvisi raakana, mediumina vai kypsänä?	Do you want your steak rare, medium, or well-done?
Onko meillä kasvispihvejä?	Do we have any veggie burgers?
Tein perunasalaattia lisukkeeksi.	I made potato salad as a side dish.
Tämä maissi on niin makeaa ja mehukasta.	This corn is so sweet and juicy.
Tarvitsemme lisää hiiliä grilliin.	We need more charcoal for the grill.
Malja isännälle ja emännälle!	A toast to the host and hostess!
Ota kylmä olut jääkaapista.	Grab a cold beer from the fridge.
Onko meillä jäitä juomia varten?	Do we have ice for the drinks?
Tämä on täydellinen sää grillata.	This is perfect weather for a barbecue.
Toivottavasti illemmalla ei tule itikoita.	I hope the mosquitoes don't come out later.
Pelataan erä mölkkyä syömisen jälkeen.	Let's play a game of Mölkky after we eat.
Istutaan alas ja nautitaan ruoasta.	Let's sit down and enjoy the food.
Kiitos kutsusta, oli todella mukavaa.	Thanks for the invitation, it was really nice.
Ruoka oli aivan erinomaista.	The food was absolutely excellent.
Voinko auttaa siivoamisessa?	Can I help with the cleaning up?
Laitetaan loput ruoat jääkaappiin.	Let's put the rest of the food in the fridge.
Mikä ihana kesäilta ystävien kanssa.	What a lovely summer evening with friends.
Kenen vuoro on tiskata?	Whose turn is it to do the dishes?
Nämä makkarat ovat lasten suosikkeja.	These sausages are the kids' favorite.
Muistithan ottaa lihat marinoitumaan ajoissa.	Did you remember to marinate the meat in time?
Täällä on niin rento tunnelma.	There's such a relaxed atmosphere here.
Soitetaan vähän musiikkia.	Let's play some music.
Haluaisiko joku jälkiruokaa?	Would anyone like some dessert?
Toin mukanani mansikkakakkua.	I brought a strawberry cake with me.
Grillattu ananas on yllättävän hyvää.	Grilled pineapple is surprisingly good.
Varo, grilli on todella kuuma.	Be careful, the grill is really hot.
Käännätkö pihvejä välillä?	Will you turn the steaks every now and then?
Halloumijuusto sopii hyvin grillattavaksi.	Halloumi cheese is great for grilling.
Ota lautanen ja aterimet tuosta pöydästä.	Get a plate and cutlery from that table.
Missä on servetit?	Where are the napkins?
Tämä kotitekoinen grillikastike on herkullista.	This homemade barbecue sauce is delicious.
Onko tämä gluteenitonta?	Is this gluten-free?
Meidän pitäisi tehdä tätä useammin.	We should do this more often.
Aurinko alkaa laskea.	The sun is starting to set.
Sytytetäänkö ulkotulet?	Should we light the garden torches?
Onko kaikilla kaikki hyvin?	Is everyone doing okay?
Tarvitseeko kukaan lisää juotavaa?	Does anyone need another drink?
Täytyy myöntää, että olet loistava kokki.	I have to admit, you are a great cook.
Nautin todella tästä illasta.	I'm really enjoying this evening.
Jutellaan hetki ennen kuin jälkiruoka tarjoillaan.	Let's chat for a moment before dessert is served.
Onko teillä jotain alkoholitonta vaihtoehtoa?	Do you have any non-alcoholic options?
Voin grillata seuraavaksi kasvikset.	I can grill the vegetables next.
Nämä foliopaketit sisältävät perunoita ja sipulia.	These foil packets contain potatoes and onions.
Älä unohda sivellä öljyä grilliin.	Don't forget to brush oil on the grill.
Onko grilli kaasu- vai hiilikäyttöinen?	Is the grill gas or charcoal?
Kaasugrilli on paljon nopeampi.	A gas grill is much faster.
Hiiligrillistä tulee parempi maku.	A charcoal grill gives a better flavor.
Onko sinulla foliota?	Do you have any foil?
Lihan pitäisi antaa levätä hetki grillaamisen jälkeen.	The meat should be allowed to rest for a moment after grilling.
Leikataan liha siivuiksi.	Let's cut the meat into slices.
Kuka haluaa ensimmäisen palan?	Who wants the first piece?
Lapset leikkivät pihalla.	The children are playing in the yard.
Pidetään silmällä lapsia grillin lähellä.	Let's keep an eye on the children near the grill.
Voitko ojentaa suolan?	Can you pass the salt?
Lisää salaattiin vähän kastiketta.	Add a little dressing to the salad.
Tämä patonki on tuoretta ja rapeaa.	This baguette is fresh and crispy.
Haluatko valkosipulivoita leivän päälle?	Do you want garlic butter on your bread?
Tunnelma on katossa.	The atmosphere is great.
Kiitos, että järjestitte nämä juhlat.	Thank you for organizing this party.
Otetaan yhteiskuva!	Let's take a group photo!
Kuka haluaa kahvia jälkiruoan kanssa?	Who wants coffee with dessert?
Voin keittää kahvit.	I can make the coffee.
Täytyy lähteä kotiin ennen kuin tulee liian myöhä.	I have to go home before it gets too late.
