Mihin kansallispuistoon menemme vaeltamaan?	Which national park are we going to hike in?
Tämä reitti on merkitty sinisillä täplillä puihin.	This trail is marked with blue spots on the trees.
Pakkaathan mukaan tarpeeksi vettä ja eväitä.	Remember to pack enough water and snacks.
Kuinka pitkä tämä luontopolku on?	How long is this nature trail?
Pidämme tauon seuraavalla laavulla.	We'll take a break at the next lean-to shelter.
Katso, tuolla on peura!	Look, there's a deer over there!
Maasto on paikoitellen melko vaikeakulkuista.	The terrain is quite difficult to walk in some places.
Voiko täällä yöpyä teltassa?	Is it possible to camp in a tent here?
Sytytetään nuotio ja paistetaan makkarat.	Let's light a campfire and grill some sausages.
Muistakaa noudattaa roskattoman retkeilyn periaatteita.	Remember to follow the principles of litter-free hiking.
Nämä maisemat ovat henkeäsalpaavat.	These landscapes are breathtaking.
Tarvitsen paremmat vaelluskengät.	I need better hiking boots.
Ota kartta ja kompassi mukaan varmuuden vuoksi.	Take a map and compass with you just in case.
Onko tämä reitti ympyräreitti?	Is this trail a loop trail?
Polku nousee jyrkästi ylös tunturin rinnettä.	The path climbs steeply up the side of the fell.
Ylitämme suon pitkospuita pitkin.	We will cross the bog along the duckboards.
Kuuntele, käki kukkuu.	Listen, a cuckoo is calling.
Toivottavasti sää pysyy hyvänä.	I hope the weather stays good.
Täällä on paljon hyttysiä.	There are a lot of mosquitoes here.
Älä unohda hyttysmyrkkyä.	Don't forget mosquito repellent.
Kunnioitathan luonnonrauhaa.	Please respect the peace of nature.
Mikä on tämän kansallispuiston symboli?	What is the symbol of this national park?
Kävelimme tänään jo kymmenen kilometriä.	We already walked ten kilometers today.
Jalkani ovat todella väsyneet.	My feet are really tired.
Seuraava taukopaikka on viiden kilometrin päässä.	The next rest area is five kilometers away.
Onko täällä juomakelpoista lähdevettä?	Is there drinkable spring water here?
Kerätään mustikoita ja puolukoita.	Let's pick some blueberries and lingonberries.
On kiehtovaa nähdä näin vanhoja metsiä.	It's fascinating to see such old forests.
Varo liukkaita kiviä puron varrella.	Watch out for slippery rocks by the stream.
Tulenteko on sallittu vain merkityillä nuotiopaikoilla.	Making a fire is only allowed at designated campfire sites.
Näitkö tuon kotkan, joka liiteli taivaalla?	Did you see that eagle soaring in the sky?
Täytetään vesipullot tuosta lähteestä.	Let's fill our water bottles from that spring.
On ihanaa hengittää tätä raikasta ilmaa.	It's wonderful to breathe this fresh air.
Opasteet ovat erittäin selkeitä.	The signposts are very clear.
Eksyimme polulta hetkeksi.	We lost the trail for a moment.
Onneksi meillä on GPS.	Luckily, we have a GPS.
Pystytetään leiri ennen pimeän tuloa.	Let's set up camp before it gets dark.
Makuupussini on todella lämmin.	My sleeping bag is very warm.
Aamulla on varmasti kaunista herätä täällä.	It will surely be beautiful to wake up here in the morning.
Onko sinulla tulentekovälineitä?	Do you have anything to start a fire with?
Unohdin ottaa mukaan istuinalustan.	I forgot to bring a sitting pad.
Tämä riippusilta näyttää jännittävältä.	This suspension bridge looks exciting.
Käydään näköalatornissa ihailemassa maisemia.	Let's go to the observation tower to admire the scenery.
On parasta pukeutua kerroksittain.	It's best to dress in layers.
Sää voi muuttua nopeasti tunturissa.	The weather can change quickly on the fells.
Metsä on täynnä kauniita sieniä.	The forest is full of beautiful mushrooms.
Tunnistatko tuon linnun laulun?	Do you recognize that bird's song?
Taukopaikalla on kuivakäymälä.	There is a dry toilet at the rest area.
Polttopuut ovat valmiina liiterissä.	The firewood is ready in the woodshed.
Muista jättää laavu siistiin kuntoon.	Remember to leave the lean-to shelter tidy.
Kansallispuistossa on omat sääntönsä.	The national park has its own rules.
Lemmikit on pidettävä kytkettyinä.	Pets must be kept on a leash.
Tämä on suojeltua aluetta.	This is a protected area.
Älä taita oksia tai revi kasveja.	Do not break branches or tear up plants.
Täällä sielu lepää.	The soul can rest here.
Otetaan valokuva tästä upeasta paikasta.	Let's take a picture of this amazing place.
Järven vesi on kristallinkirkasta.	The lake water is crystal clear.
Uskallatko pulahtaa uimaan?	Do you dare to take a dip for a swim?
Vesi on todella kylmää.	The water is really cold.
Reppu painaa yllättävän paljon.	The backpack weighs a surprising amount.
Mitä sinulla on eväänä?	What do you have for snacks?
Minulla on voileipiä ja termospullossa teetä.	I have sandwiches and tea in a thermos.
Auringonlasku on varmasti upea täällä.	The sunset must be gorgeous here.
Yöllä voi nähdä paljon tähtiä.	You can see a lot of stars at night.
Toivottavasti näemme revontulia.	I hope we get to see the Northern Lights.
Seuraa polkua, älä oikaise.	Follow the path, don't take shortcuts.
Täällä on hiljaista ja rauhallista.	It is quiet and peaceful here.
Kännykässä ei ole kenttää.	There is no cell service on my phone.
On vapauttavaa olla tavoittamattomissa.	It's liberating to be unreachable.
Pidä silmällä sääennustetta.	Keep an eye on the weather forecast.
Ukkonen lähestyy.	A thunderstorm is approaching.
Meidän pitäisi etsiä suojaa.	We should look for shelter.
Onneksi sadekuuro meni ohi nopeasti.	Luckily, the rain shower passed quickly.
Sumu voi tulla yllättäen.	Fog can appear suddenly.
Tässä puistossa on paljon soita.	There are many bogs in this park.
Pitkospuut ovat hyvässä kunnossa.	The duckboards are in good condition.
Joki virtaa voimakkaasti.	The river is flowing strongly.
Onko ylityspaikkaa?	Is there a place to cross?
Voimme ylittää joen kahlaamalla.	We can cross the river by wading.
Ole varovainen, virta on vuolas.	Be careful, the current is strong.
Kivet ovat sammaleen peitossa.	The rocks are covered in moss.
Tämä on ikimetsää.	This is an old-growth forest.
Jotkut puut ovat satoja vuosia vanhoja.	Some of the trees are hundreds of years old.
