Haluaisitko tulla kahville joskus?	Would you like to come over for coffee sometime?
Mitä jos tulisit huomenna kahville?	How about coming over for coffee tomorrow?
Sopiiko sinulle, jos poikkeaisit iltapäivällä kahville?	Would it suit you to stop by for coffee in the afternoon?
Minulla on uutta kahvia, tulisiko maistamaan?	I have some new coffee, would you like to come and taste it?
Keitän kahvit, tuletko käymään?	I'll put the coffee on, will you come over?
Olisiko sinulla hetki aikaa tulla kahville?	Would you have a moment to come for coffee?
Tervetuloa kahville meille!	Welcome to our place for coffee!
Mihin aikaan pääsisit tulemaan kahville?	What time could you make it for coffee?
Sopiiko viikonloppuna? Ajattelin kutsua sinut kahville.	Does the weekend work? I was thinking of inviting you for coffee.
Tein pullaa, tuletko kahville?	I baked some pulla, will you come for coffee?
Oletko vapaa iltapäivällä? Voisin keittää kahvit.	Are you free in the afternoon? I could make some coffee.
Kutsuisin sinut mielelläni kahville.	I'd love to invite you for coffee.
Juodaanko kahvit minun luonani?	Shall we have coffee at my place?
Miltä kuulostaisi kahvihetki meillä?	How would a coffee moment at our place sound?
Nähdäänkö kahvin merkeissä?	Shall we see each other over coffee?
Olen kotona koko päivän, poikkea kahville kun ehdit.	I'm home all day, stop by for coffee when you have time.
Ajattelin, että voisimme juoda kahvit ja vaihtaa kuulumisia.	I thought we could have coffee and catch up.
Pistäydy kahville, jos olet lähistöllä.	Drop by for coffee if you're nearby.
Olet lämpimästi tervetullut kahville.	You are warmly welcome for coffee.
Sano vain, mikä päivä sopii sinulle kahvittelua varten.	Just tell me which day suits you for a coffee visit.
Haluatko mieluummin kahvia vai teetä?	Do you prefer coffee or tea?
Juotko kahvisi maidolla vai ilman?	Do you take your coffee with or without milk?
Entä sokeri, laitatko sitä kahviin?	What about sugar, do you put it in your coffee?
Meillä on myös kauramaitoa.	We also have oat milk.
Leivoin korvapuusteja, maistuisiko kahvin kanssa?	I baked cinnamon rolls, would you like one with your coffee?
Onko sinulla allergioita, joista minun pitäisi tietää?	Do you have any allergies I should know about?
Voin tehdä myös kofeiinitonta, jos haluat.	I can also make decaf if you'd like.
Minkälaista teetä juot mieluiten?	What kind of tea do you prefer to drink?
Sopiiko, jos tarjoan kahvin kanssa pientä suolaista?	Is it okay if I offer something savory with the coffee?
Toivottavasti pidät tummapaahtoisesta kahvista.	I hope you like dark roast coffee.
No niin, kahvi on valmista!	Alright, the coffee is ready!
Istu alas, teen meille kahvit.	Sit down, I'll make us coffee.
Tervetuloa! Riisu vain takki ja tule peremmälle.	Welcome! Just take off your coat and come on in.
Hienoa, että pääsit tulemaan!	It's great that you could make it!
Onpa mukava nähdä pitkästä aikaa.	It's so nice to see you after a long time.
Miten matka tänne sujui?	How was your journey here?
Laitan veden kiehumaan teetä varten.	I'll put the water on to boil for tea.
Käy istumaan olohuoneeseen, tuon kahvit sinne.	Go ahead and sit in the living room, I'll bring the coffee there.
Ota ihan rennosti vain.	Just make yourself comfortable.
Kiva kun soitit, nähdään siis huomenna!	Glad you called, see you tomorrow then!
Laitan sinulle osoitteen viestillä.	I'll send you the address in a message.
Soita, jos et löydä perille.	Call me if you can't find your way.
Meidän ovikoodi on 1234.	Our door code is 1234.
Asumme kolmannessa kerroksessa.	We live on the third floor.
Mahtavaa, nähdään lauantaina kolmelta!	Awesome, see you on Saturday at three!
Selvä juttu, merkkasin sen kalenteriin.	Alright, I've marked it in my calendar.
Odotan innolla näkemistä!	I'm looking forward to seeing you!
Tule sellaisena kuin olet.	Come as you are.
Ei tarvitse tuoda mitään tullessasi.	You don't need to bring anything with you.
Nähdään pian!	See you soon!
Moi, sopisiko sulle tulla iltapäiväkahville ensi viikolla?	Hi, would you be up for an afternoon coffee next week?
Olisiko tiistai hyvä päivä kahvittelulle?	Would Tuesday be a good day for a coffee get-together?
Ajattelin, että voisit tulla käymään kahvilla ja katsomaan uutta asuntoani.	I thought you could come over for coffee and see my new apartment.
Keitetäänkö pannullinen kahvia ja parannetaan maailmaa?	Shall we brew a pot of coffee and solve the world's problems?
Miltä kuulostaisi kahvi ja pulla meidän parvekkeella?	How would coffee and pulla on our balcony sound?
Olen lomalla, joten minulle sopii melkein mikä päivä vain kahville.	I'm on vacation, so almost any day works for me for coffee.
Tulehan kahville, kun palaat reissusta.	Do come for coffee when you get back from your trip.
Oletko huomennä vapaalla? Voisimme juoda aamukahvit yhdessä.	Are you free tomorrow? We could have morning coffee together.
Sopiiko, jos kutsun itseni teille kahville joskus?	Is it okay if I invite myself over to your place for coffee sometime? (Jokingly)
Meillä on uusi espressokone, tule testaamaan!	We have a new espresso machine, come and test it!
Juotko suodatinkahvia vai haluatko cappuccinon?	Do you drink filter coffee or would you like a cappuccino?
Haluatko hunajaa teehesi?	Would you like honey in your tea?
Leivoin eilen sämpylöitä, maistuisiko sellainen kahvin kanssa?	I baked some rolls yesterday, would you like one with your coffee?
Onko ok, jos kahvi on vähän vahvempaa?	Is it okay if the coffee is a bit strong?
Voin laittaa sinulle myös jääkahvia, jos haluat.	I can also make you an iced coffee if you'd like.
Syötkö mitään makeaa kahvin kanssa?	Do you eat anything sweet with your coffee?
Ota keksi, ole hyvä.	Have a cookie, please.
Laitanko sinulle lisää kahvia?	Shall I get you more coffee?
Santsikuppi?	A refill? (Literally: a second cup)
Tervetuloa sisään, älä välitä sotkusta.	Welcome in, don't mind the mess.
Oli kiva, kun ehdotit. Nähdään perjantaina!	It was nice of you to suggest it. See you on Friday!
Sopii hyvin! Tulen suoraan töistä.	Sounds good! I'll come straight from work.
Osoite on Keskuskatu 10 B 25.	The address is Keskuskatu 10 B 25.
Painat vain summeria, jossa on nimeni.	Just press the buzzer with my name on it.
Parkkipaikkoja löytyy yleensä kadun varrelta.	There are usually parking spots along the street.
Nähdään parin tunnin päästä!	See you in a couple of hours!
En malta odottaa, että kuulen kaikki uutisesi.	I can't wait to hear all your news.
Tulethan, jos vain suinkin pääset.	Do come, if you possibly can.
Älä stressaa myöhästymisestä, tule kun ehdit.	Don't stress about being late, come when you can.
Ilmoita, jos et pääsekään tulemaan.	Let me know if you can't make it after all.
Poikkea, kun liikut nurkilla.	Drop in when you're in the neighbourhood.
Olisiko sulla aikaa yhdelle kahvikupilliselle?	Would you have time for a cup of coffee?
Pidetäänkö pieni kahvitauko yhdessä?	Shall we have a little coffee break together?
Olen kaivannut juttuseuraa, tuletko kahville?	I've been missing someone to talk to, will you come for coffee?
Kahvi porisee jo, missä viivyt?	The coffee is already brewing, where are you? (Playful)
Tule nauttimaan kupillinen kuumaa.	Come and enjoy a hot cup.
Mites olisi kahvit ja kortinpeluuta?	How about coffee and playing cards?
Voisin leipoa jotain hyvää, jos tulet kahville viikonloppuna.	I could bake something good if you come for coffee on the weekend.
Kutsun sinut virallisesti kahville ja pullalle.	I officially invite you for coffee and pulla.
Oletko huomenna liikkeellä keskustan suunnalla? Voisit poiketa kahvilla.	Will you be around the city center tomorrow? You could stop by for coffee.
Mietin vain, että olisipa kiva juoda kahvit yhdessä pian.	I was just thinking that it would be nice to have coffee together soon.
Sopiiko, jos tulen hakemaan sinut autolla kahville?	Is it okay if I pick you up with the car for coffee?
Kahvia, teetä vai jotain muuta?	Coffee, tea or something else?
