Teen terveellisen smoothien.	I'm making a healthy smoothie.
Mitä ainesosia tarvitsemme?	What ingredients do we need?
Käytetään pakastettuja marjoja pohjana.	Let's use frozen berries as a base.
Lisään joukkoon yhden banaanin makeutta tuomaan.	I'll add one banana for sweetness.
Pinaatti on hyvä tapa lisätä vihreitä huomaamatta.	Spinach is a good way to add greens unnoticed.
Tarvitsemme nestettä, käytetäänkö mantelimaitoa?	We need some liquid, shall we use almond milk?
Loraus appelsiinimehua antaa C-vitamiinia.	A splash of orange juice gives some vitamin C.
Proteiinijauhe tekee smoothiesta täyttävämmän.	Protein powder makes the smoothie more filling.
Chian siemenet ovat hyvä kuidun lähde.	Chia seeds are a good source of fiber.
Avokado tekee koostumuksesta kermaisen.	Avocado makes the texture creamy.
Huuhtele kaikki hedelmät ja vihannekset huolellisesti.	Rinse all the fruits and vegetables carefully.
Pilko suuremmat hedelmät pienemmiksi paloiksi.	Chop the larger fruits into smaller pieces.
Laita kaikki ainekset tehosekoittimeen.	Put all the ingredients into the blender.
Sekoita, kunnes seos on tasaista.	Blend until the mixture is smooth.
Jos smoothie on liian paksua, lisää nestettä.	If the smoothie is too thick, add more liquid.
Maista ja lisää makeutusta tarvittaessa.	Taste it and add sweetener if needed.
Hunaja tai vaahterasiirappi ovat luonnollisia makeuttajia.	Honey or maple syrup are natural sweeteners.
Kaada smoothie laseihin ja nauti heti.	Pour the smoothie into glasses and enjoy immediately.
Tämä on täydellinen aamiainen tai välipala.	This is a perfect breakfast or snack.
Se on täynnä vitamiineja ja kivennäisaineita.	It is full of vitamins and minerals.
Voitko ojentaa minulle tehosekoittimen kannen?	Can you pass me the blender lid?
Kreikkalainen jogurtti lisää proteiinia ja täyteläisyyttä.	Greek yogurt adds protein and richness.
Kaurahiutaleet tuovat smoothieen kuitua ja rakennetta.	Oats add fiber and texture to the smoothie.
Lehtikaali on toinen hyvä vihreä vaihtoehto.	Kale is another great green option.
Ananas antaa trooppisen vivahteen.	Pineapple gives it a tropical twist.
Mangopalat sopivat hyvin tähän smoothieen.	Mango chunks work well in this smoothie.
Laitetaanko joukkoon inkivääriä? Se antaa potkua.	Should we add some ginger? It gives it a kick.
Ripaus kanelia sopii hyvin moniin smoothieihin.	A pinch of cinnamon goes well in many smoothies.
Pähkinävoi on hyvä terveellisten rasvojen lähde.	Nut butter is a good source of healthy fats.
Muista laittaa kansi tiukasti kiinni ennen sekoittamista.	Remember to close the lid tightly before blending.
Aloita sekoittaminen matalalla nopeudella.	Start blending at a low speed.
Nosta nopeutta vähitellen.	Increase the speed gradually.
Tarkista koostumus ja sekoita lisää tarvittaessa.	Check the consistency and blend more if needed.
Tämä väri on upea!	This color is gorgeous!
Miten raikas ja hedelmäinen maku!	What a fresh and fruity taste!
Tämä antaa energiaa koko aamupäiväksi.	This will give energy for the whole morning.
Voit valmistaa ainekset etukäteen pusseihin pakkaseen.	You can prepare the ingredients beforehand in bags in the freezer.
Pakastettu banaani tekee smoothiesta kylmän ja paksun.	Frozen banana makes the smoothie cold and thick.
