Haluaisin yhden ison latten, kiitos.	I would like one large latte, please.
Saisinko kupin mustaa kahvia?	Could I have a cup of black coffee?
Otetaan kaksi cappuccinoa mukaan.	We'll have two cappuccinos to go.
Onko teillä kauramaitoa?	Do you have oat milk?
Minulle tuplaespresso, kiitos.	A double espresso for me, please.
Myyttekö jääkahvia?	Do you sell iced coffee?
Voitko laittaa siihen vähemmän sokeria?	Can you put less sugar in it?
Mikä on päivän erikoiskahvi?	What is the specialty coffee of the day?
Haluaisin tilata myös palan kakkua.	I would also like to order a piece of cake.
Voiko tämän maksaa kortilla?	Can I pay for this with a card?
