Haluaisin tilata pizzan kotiinkuljetuksella.	I would like to order a pizza for delivery.
Voinko tehdä tilauksen?	Can I place an order?
Mitä pizzoja teillä on tarjouksessa?	What pizzas do you have on offer?
Otetaan yksi iso Americana.	I'll take one large Americana.
Voisinko saada toiseen puoleen ananasta ja toiseen kinkkua?	Could I get pineapple on one half and ham on the other?
Ilman sipulia, kiitos.	Without onions, please.
Haluaisin lisätä tilaukseeni valkosipulia.	I would like to add garlic to my order.
Otamme myös puolentoista litran pullon Coca-Colaa.	We'll also take a 1.5-liter bottle of Coca-Cola.
Onko teillä kanansiipiä?	Do you have chicken wings?
Toimitusosoite on Esimerkkikatu 1 A 2.	The delivery address is Example Street 1 A 2.
Puhelinnumeroni on 040 123 4567.	My phone number is 040 123 4567.
Kauanko toimituksessa suunnilleen kestää?	How long will the delivery approximately take?
Mikä on arvioitu toimitusaika?	What is the estimated delivery time?
Mitä kaiken kaikkiaan maksaa?	How much will that be in total?
Voinko maksaa kortilla, kun kuljettaja saapuu?	Can I pay by card when the driver arrives?
Maksan käteisellä.	I'll pay with cash.
Löytyykö teiltä gluteenitonta pohjaa?	Do you have a gluten-free crust?
Onko kasvispizza vegaaninen?	Is the vegetarian pizza vegan?
Eli yksi Opera-pizza ja iso limu.	So, that's one Opera pizza and a large soda.
Kiitos paljon!	Thank you very much!
Voit pitää loput.	You can keep the change.
Tässä, olkaa hyvä.	Here you go.
Kiitos nopeasta toimituksesta.	Thanks for the fast delivery.
Haluaisin tilata Kebab-pizzan.	I would like to order a Kebab pizza.
Yksi Berlusconi Special, kiitos.	One Berlusconi Special, please.
Mitä täytteitä Frutti di Maressa on?	What toppings are on the Frutti di Mare?
Voisitteko paistaa sen hyvin kypsäksi?	Could you please cook it well done?
Soittaisitko kun saavut, ovikello ei toimi.	Could you call when you arrive, the doorbell doesn't work.
Onko teillä mitään tarjousta kahdesta pizzasta?	Do you have any deal for two pizzas?
Haluaisin tilata kaksi pizzaa.	I would like to order two pizzas.
Mikä on päivän erikoistarjous?	What is the special offer of the day?
Saisinko pizzaani tuplajuuston?	Could I get double cheese on my pizza?
Voisiko pekoni jättää pois?	Could the bacon be left out?
Lisätään tilaukseen vielä dippi.	Let's add a dip to the order, too.
Otetaan aurajuustodippi, kiitos.	I'll take the blue cheese dip, please.
Mikä on toimitusmaksu?	What is the delivery fee?
Toimitatteko postinumeroalueelle 33100?	Do you deliver to the postal code area 33100?
Kuinka myöhään otatte tilauksia vastaan?	How late do you take orders?
Selvä, odotan noin 45 minuuttia.	Okay, I'll wait for about 45 minutes.
Vahvistatko tilauksen?	Could you confirm the order?
Eli yksi Quattro Stagioni ja valkosipulileipä.	So that's one Quattro Stagioni and a garlic bread.
Maksutavaksi käy siis lähimaksu.	So contactless payment is an acceptable payment method.
Tarvitsen kuitin tilauksesta.	I need a receipt for the order.
Voiko kuljettaja jättää tilauksen oven taakse?	Can the driver leave the order behind the door?
Soitan, jos tilaus ei ole saapunut tunnissa.	I will call if the order hasn't arrived in an hour.
Onko teillä tulista kastiketta?	Do you have hot sauce?
Haluaisin pizzaani reilusti jalapenoja.	I'd like plenty of jalapeños on my pizza.
Ei oliiveja minun pizzaani, kiitos.	No olives on my pizza, please.
Saisinko mukaan myös muoviset aterimet?	Could I also get plastic cutlery to go?
Tilaisin pizzan noudettavaksi.	I would like to order a pizza for pickup.
Milloin voin tulla noutamaan sen?	When can I come and pick it up?
Mikä on teidän osoitteenne?	What is your address?
Tilaukseni oli väärä.	My order was wrong.
Tästä puuttuu juoma.	The drink is missing from this.
Sain väärän pizzan.	I received the wrong pizza.
Voitteko lähettää uuden tilauksen?	Can you send a new order?
Kuinka kauan hyvityksessä kestää?	How long will the refund take?
Kiitos hyvästä palvelusta.	Thank you for the good service.
Tilaan teiltä toistekin.	I will order from you again.
Pizza oli todella herkullinen.	The pizza was really delicious.
Pohja oli täydellisen rapea.	The crust was perfectly crispy.
Täytteitä oli runsaasti.	There were plenty of toppings.
Haluaisin antaa palautetta tilauksestani.	I would like to give feedback on my order.
Voinko lisätä vielä yhden asian tilaukseen?	Can I add one more thing to the order?
Unohdin tilata juomat.	I forgot to order the drinks.
Otetaan sittenkin kaksi cokista.	Let's get two Cokes after all.
Perutaan se edellinen tilaus.	Let's cancel that previous order.
Haluan tehdä uuden tilauksen.	I want to make a new order.
Saisinko listan ainesosista?	Could I get a list of the ingredients?
Onko teillä pähkinättömiä vaihtoehtoja?	Do you have nut-free options?
Käytättekö samaa leikkuria kaikkiin pizzoihin?	Do you use the same cutter for all pizzas?
Tärkeää allergian takia.	It's important because of an allergy.
Voiko pizzan leikata valmiiksi siivuihin?	Can the pizza be pre-cut into slices?
Kuinka moneen osaan haluatte sen leikattavan?	Into how many pieces would you like it cut?
Leikatkaa se kahdeksaan osaan, kiitos.	Cut it into eight pieces, please.
