Huomenta kaikille.	Good morning, everyone.
Tervetuloa tiimipalaveriin.	Welcome to the team meeting.
Aloitetaan kokous.	Let's start the meeting.
Ovatko kaikki läsnä?	Is everyone present?
Käydään läpi osallistujalista.	Let's go through the list of attendees.
Pahoittelut myöhästymisestäni, olin toisessa puhelussa.	Sorry for being late, I was on another call.
Käydään läpi tämän päivän esityslista.	Let's go over today's agenda.
Onko kenelläkään lisättävää esityslistaan?	Does anyone have anything to add to the agenda?
Tämän kokouksen päätavoite on keskustella projektin edistymisestä.	The main objective of this meeting is to discuss the project's progress.
Kuka tekee tänään muistiinpanoja?	Who is taking notes today?
Voin kirjata muistion.	I can take the minutes.
Aloitetaan ensimmäisestä kohdasta.	Let's begin with the first item.
Annan puheenvuoron nyt projektipäällikölle.	I'll now give the floor to the project manager.
Haluan antaa nopean päivityksen viime viikon tuloksista.	I want to give a quick update on last week's results.
Edistymme suunnitelman mukaisesti.	We are progressing according to the plan.
Olemme kohdanneet odottamattoman haasteen.	We have encountered an unexpected challenge.
Meidän on löydettävä ratkaisu tähän ongelmaan.	We need to find a solution to this problem.
Onko teillä kysyttävää tästä?	Do you have any questions about this?
Mitä mieltä olette tästä ehdotuksesta?	What are your thoughts on this proposal?
Minulla olisi idea, jota voisimme harkita.	I have an idea that we could consider.
Olen samaa mieltä kanssasi.	I agree with you.
En ole täysin vakuuttunut tästä lähestymistavasta.	I'm not entirely convinced by this approach.
Voisitko selventää, mitä tarkoitat?	Could you clarify what you mean?
Ymmärsinkö oikein, että ehdotat...?	Did I understand correctly that you are suggesting...?
Ehdotan, että äänestämme asiasta.	I suggest we vote on the matter.
Okei, tehdään päätös.	Okay, let's make a decision.
Kuka kannattaa tätä ehdotusta?	Who is in favor of this proposal?
Päätös on yksimielinen.	The decision is unanimous.
Määritellään seuraavat askeleet.	Let's define the next steps.
Kuka ottaa vastuun tästä tehtävästä?	Who will take responsibility for this task?
Minä voin hoitaa sen.	I can take care of it.
Mikä on tämän tehtävän määräaika?	What is the deadline for this task?
Asetetaan määräajaksi ensi viikon perjantai.	Let's set the deadline for next Friday.
Kuuletteko minua kunnolla?	Can you hear me properly?
Yhteytesi pätkii vähän.	Your connection is a bit choppy.
