Hei, tulin noutamaan reseptilääkettä.	Hello, I've come to pick up a prescription medication.
Minulla on sähköinen resepti.	I have an electronic prescription.
Voinko näyttää Kela-kortin?	Can I show my Kela card?
Tässä on henkilötunnukseni.	Here is my personal identity code.
Löytyykö tällä nimellä reseptejä?	Are there any prescriptions under this name?
Haluaisin uusia tämän reseptin.	I would like to renew this prescription.
Onko tämä lääke korvattava?	Is this medication reimbursable?
Paljonko tämä maksaa Kela-korvauksen jälkeen?	How much does this cost after the Kela reimbursement?
Miten tätä lääkettä käytetään?	How is this medication used?
Kuinka monta kertaa päivässä tämä otetaan?	How many times a day should this be taken?
Otetaanko tämä ruoan kanssa vai tyhjään vatsaan?	Should this be taken with food or on an empty stomach?
Mitkä ovat yleisimmät haittavaikutukset?	What are the most common side effects?
Voiko tämä aiheuttaa uneliaisuutta?	Can this cause drowsiness?
Onko tästä saatavilla rinnakkaisvalmistetta?	Is there a generic version of this available?
Haluaisin halvimman vaihdettavissa olevan tuotteen.	I would like the cheapest interchangeable product.
Mihin vaivaan tämä lääke on tarkoitettu?	What condition is this medication for?
Voinko ottaa tätä alkoholin kanssa?	Can I take this with alcohol?
Säilytetäänkö tämä huoneenlämmössä vai jääkaapissa?	Should this be stored at room temperature or in the refrigerator?
Kuinka kauan minun pitää käyttää tätä kuuria?	How long do I need to take this course of medication?
Mitä teen, jos unohdan ottaa annoksen?	What should I do if I forget to take a dose?
Voinko saada lääkkeestä potilasohjeen?	Can I get the patient information leaflet for the medicine?
Tarkistaisitko, onko minulla muita noutamattomia reseptejä.	Could you check if I have any other prescriptions to pick up?
Tämä resepti on vanhentunut, voitteko pyytää uusimista?	This prescription has expired, can you request a renewal?
Lääkärini sanoi, että resepti on jo valmiina.	My doctor said the prescription would be ready.
Tarvitsen tämän lääkkeen matkaa varten.	I need this medication for a trip.
Voinko maksaa lähimaksulla?	Can I pay with contactless payment?
Kiitos paljon avusta.	Thank you very much for your help.
Otan samalla särkylääkettä.	I'll take some painkillers at the same time.
Onko teillä D-vitamiinia?	Do you have vitamin D?
Haluaisin myös laastareita.	I would also like some plasters.
Voiko tätä lääkettä murskata?	Can this pill be crushed?
Tämä on lapselleni.	This is for my child.
Miten annostus lasketaan lapsen painon mukaan?	How is the dosage calculated according to the child's weight?
Pakkauskoko on kuukauden annos, eikö niin?	This package size is a one-month supply, correct?
Onko tällä lääkkeellä yhteisvaikutuksia muiden lääkkeideni kanssa?	Does this medication have interactions with my other medicines?
Voitko tulostaa yhteenvedon resepteistäni?	Can you print a summary of my prescriptions?
Lääke on loppu, saanko uuden pakkauksen?	The medicine has run out, may I have a new package?
Tämä on jatkuva lääkitys.	This is a long-term medication.
Lääkäri määräsi tämän puhelimitse.	The doctor prescribed this over the phone.
Haluaisin puhua farmaseutin kanssa.	I would like to speak with a pharmacist.
Onko tämä antibioottikuuri?	Is this a course of antibiotics?
Tämä kuuri pitää syödä loppuun.	This course of treatment must be finished.
Voinko ajaa autoa otettuani tämän lääkkeen?	Can I drive a car after taking this medication?
Mistä tiedän, onko reseptini uusittu?	How do I know if my prescription has been renewed?
Sain tekstiviestin, että lääke on noudettavissa.	I received a text message that the medication is ready for pickup.
Tässä on puolisoni Kela-kortti, voinko noutaa hänen lääkkeensä?	Here is my spouse's Kela card, can I pick up their medication?
Tarvitsenko valtakirjan noutaakseni toisen henkilön lääkkeet?	Do I need a power of attorney to pick up someone else's medication?
Lääkkeen nimi on [Lääkkeen nimi].	The name of the medicine is [Medicine Name].
Resepti on määrätty eilen.	The prescription was issued yesterday.
Onko tämä sama lääke, jota sain viimeksi?	Is this the same medicine I received last time?
Voisitko kertoa, miten tätä inhalaattoria käytetään?	Could you tell me how to use this inhaler?
Nämä silmätipat kirvelevät hieman. Onko se normaalia?	These eye drops sting a little. Is that normal?
Tarvitsen myös kuumemittarin.	I also need a thermometer.
Myydäänkö täällä käsidesiä?	Do you sell hand sanitizer here?
Haluaisin ostaa vitamiineja.	I would like to buy some vitamins.
Tämä on yskänlääkettä varten.	This is for cough medicine.
Onko tämä itsehoitolääke vai reseptilääke?	Is this an over-the-counter medicine or a prescription medicine?
Voinko saada tämän pienemmässä pakkauksessa?	Can I get this in a smaller package?
Onko tämä lääke vakuutukseni piirissä?	Is this medicine covered by my insurance?
Unohdin Kela-korttini kotiin, voinko silti saada korvauksen?	I forgot my Kela card at home, can I still get the reimbursement?
Voitteko tarkistaa tiedot henkilötunnuksellani?	Can you check the information with my personal identity code?
Kuinka nopeasti tämä lääke alkaa vaikuttaa?	How quickly does this medicine start to work?
Tämä lääke aiheutti minulle ihottumaa.	This medication gave me a rash.
Pitäisikö minun lopettaa lääkkeen käyttö, jos ilmenee haittavaikutuksia?	Should I stop using the medicine if side effects appear?
Soitan lääkärille tästä.	I will call the doctor about this.
Onko teillä kanta-asiakasohjelmaa?	Do you have a loyalty program?
Voinko saada apua tämän tuotteen valinnassa?	Can I get help choosing this product?
Etsin aurinkovoidetta herkälle iholle.	I am looking for sunscreen for sensitive skin.
Voinko palauttaa tämän avaamattoman pakkauksen?	Can I return this unopened package?
Lääke näyttää erilaiselta kuin ennen.	The medicine looks different than before.
Valmistaja on varmaan vaihtunut.	The manufacturer has probably changed.
Vaikuttava aine on kuitenkin sama.	The active ingredient is the same, however.
Tämä on voide ulkoiseen käyttöön.	This is an ointment for external use.
Ei saa niellä.	Do not swallow.
Pidä poissa lasten ulottuvilta.	Keep out of reach of children.
Onko reseptissä vielä lääkettä jäljellä?	Is there still medication left on the prescription?
Tämä on viimeinen erä tällä reseptillä.	This is the last batch on this prescription.
Muistathan uusia reseptin ajoissa.	Remember to renew the prescription in time.
Voiko apteekki uusia reseptin puolestani?	Can the pharmacy renew the prescription on my behalf?
Reseptin uusimispyyntö on lähetetty lääkärille.	The prescription renewal request has been sent to the doctor.
Saat tekstiviestin, kun uusittu resepti on valmis.	You will receive a text message when the renewed prescription is ready.
Kokonaisumma on kaksikymmentä euroa ja viisikymmentä senttiä.	The total sum is twenty euros and fifty cents.
Maksatko käteisellä vai kortilla?	Are you paying with cash or card?
Haluatko kuitin?	Do you want a receipt?
Tässä, ole hyvä.	Here you go.
Kiitos ja hyvää päivänjatkoa.	Thank you and have a good day.
Pikaista paranemista.	Get well soon.
Voinko saada tämän lääkkeen ilman reseptiä?	Can I get this medicine without a prescription?
Tähän tarvitaan lääkärin resepti.	A doctor's prescription is needed for this.
Voitko suositella jotain närästykseen?	Can you recommend something for heartburn?
Tämä on annosjauhe, joka sekoitetaan veteen.	This is a powder dose that is mixed with water.
Ravista pulloa hyvin ennen käyttöä.	Shake the bottle well before use.
Riittääkö tämä lääkemäärä koko kuuriksi?	Is this amount of medicine enough for the whole course?
Tarvitsen apua lääkeannostelijan kanssa.	I need help with a pill organizer.
Myydäänkö täällä tukisukkia?	Do you sell compression stockings here?
Minulla on resepti kipugeeliin.	I have a prescription for a pain relief gel.
Farmaseutti tulee neuvomaan teitä hetken kuluttua.	The pharmacist will come to advise you in a moment.
Näytä henkilöllisyystodistus, kiitos.	Please show your ID.
Tämä lääke kuuluu huumausaineluokkaan.	This medication is classified as a narcotic.
Resepti on voimassa vuoden.	The prescription is valid for one year.
Onko teillä tätä nestemäisessä muodossa?	Do you have this in a liquid form?
Tämä lääke voi lisätä herkkyyttä auringonvalolle.	This medication can increase sensitivity to sunlight.
Vältä auringonottoa kuurin aikana.	Avoid sunbathing during the course of treatment.
