Pidetäänkö tupaantuliaiset?	Shall we have a housewarming party?
Olen suunnitellut tupareita ensi kuulle.	I've been planning a housewarming party for next month.
Kutsun kaikki ystävämme uuden kotimme juhliin.	I'm inviting all our friends to our new home's party.
Mikä päivä sopisi sinulle parhaiten?	What day would suit you best?
Lähetän kutsut sähköpostitse viikonloppuna.	I'll send the invitations by email over the weekend.
Muistakaa ilmoittaa tulostanne ensi perjantaihin mennessä.	Please remember to RSVP by next Friday.
Voitteko tuoda jotain pientä naposteltavaa mukananne?	Could you bring some small snacks with you?
Me hoidamme juomat.	We'll take care of the drinks.
Onko teillä mitään allergioita, jotka meidän pitäisi tietää?	Do you have any allergies we should know about?
Juhlat alkavat lauantaina kello 18.	The party starts on Saturday at 6 PM.
Uusi osoitteemme on mainittu kutsussa.	Our new address is mentioned in the invitation.
Toivottavasti pääsette kaikki tulemaan!	I hope you all can make it!
Mitä luulet, pitäisikö meidän tehdä nyyttikestit?	What do you think, should we make it a potluck?
Tarvitsemme lisää tuoleja ja laseja.	We need more chairs and glasses.
Siivotaan asunto perusteellisesti ennen juhlia.	Let's clean the apartment thoroughly before the party.
Voitko auttaa minua koristelemaan?	Can you help me decorate?
Ripustetaan ilmapalloja ja valosarjoja.	Let's hang up balloons and string lights.
Teen ison kulhon boolia.	I'm making a big bowl of punch.
Musiikki luo tunnelmaa, teen soittolistan.	Music creates the atmosphere, I'll make a playlist.
Onnea uuteen kotiin!	Congratulations on your new home!
Tässä pieni tupaantuliaislahja.	Here is a small housewarming gift.
Toivottavasti pidätte tästä.	I hope you like this.
Tervetuloa! Käykää peremmälle.	Welcome! Come on in.
Takit voi jättää tänne naulakkoon.	You can leave your coats here on the rack.
Saanko esitellä teille uuden kotimme?	May I show you our new home?
Tämä on olohuone, viettäkää täällä aikaa.	This is the living room, spend time here.
Keittiö on tuolla, olkaa hyvä ja ottakaa juotavaa.	The kitchen is over there, please help yourselves to drinks.
Naposteltavat ovat pöydällä.	The snacks are on the table.
Teillä on todella viihtyisä koti.	You have a very cozy home.
Rakastan näitä suuria ikkunoita.	I love these big windows.
Mistä ostitte tämän sohvan?	Where did you buy this sofa?
Onko parveke käytössä?	Is the balcony in use?
Onpa teillä upea näköala täältä.	Wow, you have a great view from here.
Kuka haluaisi pelata lautapeliä?	Who would like to play a board game?
Laitetaanko musiikkia vähän kovemmalle?	Should we turn the music up a bit?
Onko kaikilla kaikki hyvin?	Is everyone doing okay?
Tarvitsetteko apua keittiössä?	Do you need any help in the kitchen?
Tämä piirakka on herkullista, kuka sen teki?	This pie is delicious, who made it?
Voinko saada reseptin?	Can I have the recipe?
Juhlat ovat täydessä vauhdissa.	The party is in full swing.
Kiitos paljon kutsusta!	Thank you so much for the invitation!
