Kuka lukee säännöt ääneen?	Who is going to read the rules out loud?
Levitetään pelilauta pöydälle.	Let's spread the game board on the table.
Kuka haluaa olla mikäkin väri?	Who wants to be which color?
Jokainen valitsee yhden pelinappulan.	Everyone chooses one game piece.
Sekoita korttipakka kunnolla, kiitos.	Shuffle the deck of cards properly, please.
Ymmärsivätkö kaikki miten pisteitä lasketaan?	Did everyone understand how the points are calculated?
Selitä se osa säännöistä uudelleen.	Explain that part of the rules again.
Tavoitteena on kerätä eniten kultakolikoita.	The objective is to collect the most gold coins.
Jaetaan seitsemän korttia jokaiselle.	Let's deal seven cards to each.
Kuka aloittaa pelin?	Who starts the game?
Heitetään noppaa, suurin pisteluku aloittaa.	Let's roll the dice, the highest score starts.
Se on sinun vuorosi.	It's your turn.
Mitä aiot tehdä seuraavaksi?	What are you going to do next?
Heitän kahta noppaa.	I'm rolling two dice.
Sain yhteensä kahdeksan.	I got a total of eight.
Siirrän nappulaani tämän verran eteenpäin.	I'm moving my piece this many steps forward.
Nostan yhden tapahtumakortin.	I'll draw one event card.
Pelaan tämän kortin ja käytän sen kyvyn.	I'll play this card and use its ability.
Päätän vuoroni tähän.	I'm ending my turn here.
Hetkinen, minun täytyy miettiä strategiaani.	Wait, I need to think about my strategy.
Voitko siirtää tuota, en näe kunnolla pelilautaa.	Can you move that, I can't see the game board properly.
Mitä tämä symboli nappulassasi tarkoittaa?	What does this symbol on your piece mean?
Tarkistetaan se sääntökirjasta varmuuden vuoksi.	Let's check it from the rulebook just to be sure.
Oletko varma, että voit tehdä tuon siirron?	Are you sure you can make that move?
Hyvä siirto, en odottanut tuota.	Good move, I didn't expect that.
Tämä on todella strateginen peli.	This is a very strategic game.
Yritän estää sinua saamasta lisää resursseja.	I'm trying to block you from getting more resources.
Tehdäänkö liitto häntä vastaan?	Should we form an alliance against him/her?
Älä luota hänen lupauksiinsa!	Don't trust his/her promises!
Kuka on johdossa tällä hetkellä?	Who is in the lead right now?
Minulla on todella huono tuuri tänään.	I have really bad luck today.
Sinulla kävi taas uskomaton tuuri!	You got incredibly lucky again!
Tämä peli kestää odotettua kauemmin.	This game is taking longer than expected.
Pidetäänkö pieni tauko?	Should we take a short break?
Onko meillä lisää sipsejä?	Do we have any more crisps?
Tämä on yhteistyöpeli, meidän täytyy auttaa toisiamme.	This is a cooperative game, we have to help each other.
Hän on selvästi voittamassa, ellemme tee jotain.	He/she is clearly winning unless we do something.
Minulla ei ole aavistustakaan, mitä minun kannattaisi tehdä.	I have no idea what I should do.
Otan riskin ja toivon parasta.	I'll take a risk and hope for the best.
Se oli ansa, ja astuin suoraan siihen.	That was a trap, and I walked right into it.
Luulen, että voin voittaa seuraavalla vuorollani.	I think I can win on my next turn.
Onneksi olkoon voitosta!	Congratulations on the win!
Hyvin pelattu, olit taitava.	Well played, you were skillful.
Hävisin, mutta oli todella hauskaa.	I lost, but it was really fun.
Otetaanko uusintaottelu heti perään?	Shall we have a rematch right away?
Lasketaan kaikkien pisteet huolellisesti.	Let's count everyone's points carefully.
Voitin vain yhdellä pisteellä! Mikä jännitys!	I won by only one point! What a thriller!
Se oli todella tiukka ja tasainen peli.	That was a really close and even game.
Kerätään kaikki osat takaisin laatikkoon.	Let's gather all the components back into the box.
Pelataanko seuraavaksi jotain vähän yksinkertaisempaa?	Shall we play something a bit simpler next?
Ensi kerralla minä voitan.	Next time, I will win.
Kiitos pelistä kaikille!	Thanks for the game, everyone!
Mistä ostit tämän pelin?	Where did you buy this game?
Tämä on yksi suosikkipeleistäni.	This is one of my favorite games.
En ole koskaan pelannut tätä aiemmin.	I have never played this before.
Säännöt vaikuttavat monimutkaisilta aluksi.	The rules seem complicated at first.
Opit sen nopeasti pelatessa.	You'll learn it quickly as you play.
Kuinka monta pelaajaa tähän peliin tarvitaan?	How many players are needed for this game?
Tämä peli sopii parhaiten neljälle.	This game is best for four people.
Älä unohda nostaa korttia.	Don't forget to draw a card.
Kenen vuoro on minun jälkeeni?	Whose turn is it after me?
Oho, unohdin siirtää tätä merkkiä.	Oops, I forgot to move this token.
Voinko perua siirtoni?	Can I take back my move?
Ei, siirto on lopullinen.	No, a move is final.
Pelaatko rehellisesti?	Are you playing fair?
Tietenkin pelaan!	Of course I am!
Tämä vaatii paljon keskittymistä.	This requires a lot of concentration.
Älä anna hänen häiritä sinua.	Don't let him/her distract you.
Keskityn vain omaan peliini.	I'm just focusing on my own game.
Kaupankäynti on sallittua tässä pelissä.	Trading is allowed in this game.
Vaihtaako kukaan puuta villaan?	Will anyone trade wood for wool?
Tarjoan kaksi kiveä yhdestä savesta.	I'll offer two stone for one clay.
Se on hyvä tarjous. Hyväksyn.	That's a good offer. I accept.
Ei kiitos, tarvitsen omat resurssini.	No thank you, I need my own resources.
Peli päättyy, kun joku saavuttaa kymmenen pistettä.	The game ends when someone reaches ten points.
Viimeinen kierros alkaa nyt.	The final round starts now.
Tämä oli pelin käännekohta.	This was the turning point of the game.
Onnetar ei ole puolellani.	Lady Luck is not on my side.
Laitetaan vähän musiikkia taustalle.	Let's put on some music in the background.
Tämä oli täydellinen peli-ilta.	This was a perfect game night.
Minun täytyy ostaa tämä peli itsellenikin.	I need to buy this game for myself.
Oletko koskaan voittanut tätä peliä?	Have you ever won this game?
Häviän aina samalla tavalla.	I always lose in the same way.
Tällä kertaa kokeilen eri taktiikkaa.	This time I'm trying a different tactic.
Se näyttää toimivan.	It seems to be working.
Kuka sekoitti kortit viimeksi?	Who shuffled the cards last?
Ne eivät ole kovin hyvin sekoitetut.	They are not shuffled very well.
Anna, minä sekoitan ne.	Here, I'll shuffle them.
Pelin kesto on noin 60 minuuttia.	The duration of the game is about 60 minutes.
Olemme pelanneet jo kaksi tuntia.	We've already been playing for two hours.
Aika rientää, kun on hauskaa.	Time flies when you're having fun.
Lue kortin teksti ääneen.	Read the text on the card out loud.
Se vaikuttaa kaikkiin pelaajiin.	It affects all players.
Vain sinä saat bonuksen.	Only you get the bonus.
Joudun jättämään yhden vuoron väliin.	I have to miss one turn.
Se on epäreilua!	That's unfair!
Kaikki on osa peliä.	It's all part of the game.
Lopeta valittaminen ja heitä noppaa.	Stop complaining and roll the dice.
Jännitys tiivistyy.	The tension is building.
