Haluaisin vuokrata auton.	I would like to rent a car.
Onko teillä autoja vapaana?	Do you have any cars available?
Minulla on varaus nimellä Matti Virtanen.	I have a reservation under the name Matti Virtanen.
Minkälaisia autoja teillä on saatavilla?	What kind of cars do you have available?
Haluaisin pienen ja taloudellisen auton.	I would like a small and economical car.
Tarvitsen tila-auton perheelleni.	I need a minivan for my family.
Onko teillä automaattivaihteisia autoja?	Do you have cars with automatic transmission?
Kuinka paljon vuokra on päivässä?	How much is the rent per day?
Mitä vuokrahintaan sisältyy?	What is included in the rental price?
Sisältyykö vakuutus hintaan?	Is insurance included in the price?
Mikä on omavastuun suuruus?	What is the amount of the deductible?
Onko ajokilometreillä rajoitusta?	Is there a mileage limit?
Tarvitsen auton kolmeksi päiväksi.	I need the car for three days.
Noutaisin auton huomenna aamulla.	I would pick up the car tomorrow morning.
Mihin aikaan teidän toimistonne sulkeutuu?	What time does your office close?
Voinko palauttaa auton toiseen kaupunkiin?	Can I return the car to another city?
Tarvitsen lastenistuimen viisivuotiaalle.	I need a child seat for a five-year-old.
Onko autossa navigaattori?	Does the car have a GPS navigator?
Saanko lisätä toisen kuljettajan?	Can I add a second driver?
Tässä on ajokorttini ja luottokorttini.	Here is my driver's license and credit card.
Hyväksyttekö tämän luottokortin?	Do you accept this credit card?
Mistä voin noutaa auton?	Where can I pick up the car?
Pitäisikö minun tarkistaa auto naarmujen varalta?	Should I inspect the car for scratches?
Tankki on täynnä, eikö niin?	The tank is full, right?
Miten saan auton käyntiin?	How do I start the car?
Onko tämä diesel- vai bensa-auto?	Is this a diesel or a gasoline car?
Minne minun pitäisi palauttaa avaimet?	Where should I return the keys?
Pitääkö minun tankata auto ennen palautusta?	Do I need to refuel the car before returning it?
Auto pitää palauttaa samaan paikkaan.	The car must be returned to the same location.
Olin erittäin tyytyväinen autoon.	I was very satisfied with the car.
Voinko pidentää vuokra-aikaa yhdellä päivällä?	Can I extend the rental period by one day?
Soitan tiepalveluun.	I will call roadside assistance.
Autoon tuli rengasrikko.	The car has a flat tire.
Kojelautaan syttyi varoitusvalo.	A warning light came on on the dashboard.
Jouduin pieneen kolariin.	I was in a small accident.
Tarvitsen apuanne.	I need your help.
Missä on lähin huoltoasema?	Where is the nearest gas station?
Unohtin jotain autoon.	I forgot something in the car.
Voitteko lähettää laskun sähköpostiini?	Can you send the invoice to my email?
Kiitos paljon avusta.	Thank you very much for your help.
Haluaisin vuokrata farmariauton.	I would like to rent a station wagon.
Onko mahdollista saada nelivetoautoa?	Is it possible to get a four-wheel-drive car?
Paljonko lisäkuljettaja maksaa?	How much does an additional driver cost?
Mikä on nuoren kuljettajan lisämaksu?	What is the young driver surcharge?
Tarvitsen auton viikoksi.	I need the car for a week.
Mistä löydän vuokraehdot?	Where can I find the rental terms and conditions?
Allekkirjoittakaa tämä sopimus.	Please sign this agreement.
Säilyttäkää tämä kopio itsellänne.	Keep this copy for yourself.
Tässä ovat auton paperit.	Here are the car's papers.
