Haluaisin pyytää vapaata ensi viikolla.	I would like to request time off next week.
Onko mahdollista pitää vapaapäivä tulevana perjantaina?	Is it possible to take a day off this coming Friday?
Jätän nyt lomahakemukseni.	I am submitting my leave request now.
Haluaisin käyttää kaksi lomapäivääni.	I would like to use two of my vacation days.
Tarvitsen vapaata henkilökohtaisista syistä.	I need time off for personal reasons.
Olen suunnitellut pitäväni lomaa kesäkuussa.	I have been planning to take a vacation in June.
Voisinko pitää lomaa 1. heinäkuuta alkaen 14. heinäkuuta asti?	Could I take vacation from July 1st to July 14th?
Pyytäisin vapaata perhesyistä.	I would like to request time off for family reasons.
Minulla on lääkäriaika, enkä pääse silloin töihin.	I have a doctor's appointment and cannot come to work then.
Onko loma-anomukseni hyväksytty?	Has my leave request been approved?
Montako lomapäivää minulla on jäljellä?	How many vacation days do I have left?
Voimmeko keskustella tulevista lomatoiveistani?	Can we discuss my upcoming vacation wishes?
Olen syöttänyt poissaolopyynnön järjestelmään.	I have entered the absence request into the system.
Kuka hoitaa tehtäviäni poissaoloni aikana?	Who will handle my duties during my absence?
Olen sopinut kollegani kanssa töiden jaosta lomani ajaksi.	I have arranged with my colleague to cover my work during my vacation.
Tulen tekemään kiireelliset tehtävät valmiiksi ennen lomaani.	I will complete the urgent tasks before my leave.
Haluaisin anoa palkatonta vapaata.	I would like to apply for unpaid leave.
Onko mahdollista pitää pidempi loma ensi vuonna?	Is it possible to take a longer vacation next year?
Kiitos, että hyväksyit pyyntöni.	Thank you for approving my request.
Toivon, että tämä ajankohta sopii tiimin aikatauluihin.	I hope this timing works with the team's schedule.
Tarvitsen vapaata muuton vuoksi.	I need time off for moving house.
Haluaisin pitää isyysvapaani elokuussa.	I would like to take my paternity leave in August.
Jään lomalle huomisesta alkaen.	I will be on vacation starting tomorrow.
Lomani alkaa kahden viikon kuluttua.	My vacation starts in two weeks.
Varmistan, että kaikki työni on delegoitu ennen lähtöäni.	I will ensure all my work is delegated before I leave.
Olen tavoitettavissa sähköpostitse kiireellisissä asioissa.	I will be reachable by email for urgent matters.
Asetan poissaoloviestin sähköpostiini.	I will set an out-of-office message on my email.
Palaan töihin maanantaina 28. päivä.	I will return to work on Monday the 28th.
Haluaisin tiedustella mahdollisuutta etätyöhön lomaa ennen.	I would like to inquire about the possibility of remote work before my vacation.
Onko meillä käytäntöä lyhennetyistä työpäivistä ennen lomaa?	Do we have a policy for shortened workdays before a holiday?
Haluaisin pitää yhden päivän opintovapaata.	I would like to take one day of study leave.
Voinko siirtää lomapäiviäni ensi vuodelle?	Can I carry over my vacation days to next year?
Tämä pyyntö koskee tulevaa talvilomaa.	This request concerns the upcoming winter vacation.
Olen pahoillani lyhyestä varoitusajasta.	I apologize for the short notice.
Pyydän vapaata lapsen sairastumisen vuoksi.	I am requesting time off due to my child's illness.
Onko minun täytettävä virallinen lomake?	Do I need to fill out an official form?
Lähetin pyynnön HR-järjestelmän kautta.	I sent the request through the HR system.
Voitko vahvistaa, että sait pyyntöni?	Can you confirm that you received my request?
Tämä loma on minulle erittäin tärkeä.	This vacation is very important to me.
Olen joustava päivämäärien suhteen.	I am flexible regarding the dates.
Jos tämä ajankohta ei sovi, voimme etsiä toisen.	If this time is not suitable, we can find another.
Haluaisin pitää pekkasvapaani.	I would like to take my banked leave day.
Tulen päivittämään projektin tilanteen ennen kuin jään vapaalle.	I will update the project status before I go on leave.
Voinko pitää puoli päivää vapaata?	Can I take half a day off?
Ymmärrän, jos tämä ajankohta on haastava.	I understand if this timing is challenging.
Tarvitsen vahvistuksen mahdollisimman pian.	I need confirmation as soon as possible.
