Haluan lähettää tämän paketin.	I want to send this package.
Päivää, tulisin lähettämään pakettia.	Hello, I've come to send a package.
Mitä maksaa paketin lähettäminen Ruotsiin?	How much does it cost to send a package to Sweden?
Voitteko punnita tämän minulle?	Can you weigh this for me?
Tarvitsen laatikon tätä varten.	I need a box for this.
Onko teillä sopivan kokoista laatikkoa?	Do you have a suitably sized box?
Myyttekö pehmustettuja kirjekuoria?	Do you sell padded envelopes?
Haluaisin lähettää tämän Economy-luokassa.	I would like to send this as Economy class.
Mikä on nopein tapa lähettää tämä?	What is the fastest way to send this?
Haluaisin lähettää tämän pikana.	I would like to send this as an express package.
Sisältyykö hintaan lähetysten seuranta?	Does the price include shipment tracking?
Voiko tähän lähetykseen lisätä seurannan?	Can tracking be added to this shipment?
Tarvitsen tähän lähetykseen vakuutuksen.	I need insurance for this shipment.
Mihin minun tulee kirjoittaa vastaanottajan osoite?	Where should I write the recipient's address?
Täytyykö minun täyttää tullilomake?	Do I need to fill out a customs form?
Tämä paketti on menossa Yhdysvaltoihin.	This package is going to the United States.
Mitä tämä paketti painaa?	What does this package weigh?
Onko pakkaus tarpeeksi kestävä?	Is the packaging sturdy enough?
Voinko ostaa teiltä myös postimerkkejä?	Can I also buy stamps from you?
Haluan kymmenen kotimaan postimerkkiä.	I want ten domestic stamps.
Voinko maksaa kortilla?	Can I pay by card?
Lähimaksu käy, eikö niin?	Contactless payment is fine, right?
Saisinko kuitin, kiitos.	Could I get a receipt, please?
Milloin tämä paketti on arviolta perillä?	When is this package estimated to arrive?
Voinko saada seurantatunnuksen?	Can I get the tracking number?
Kiitos paljon avusta.	Thank you very much for your help.
Onko tämä särkyvää?	Is this fragile?
Kyllä, se sisältää lasia.	Yes, it contains glass.
Onko teillä "Särkyvää"-tarroja?	Do you have "Fragile" stickers?
Lähettäjän osoite on tässä, eikö?	The sender's address is here, right?
Kirjoitinko postinumeron oikein?	Did I write the postal code correctly?
Paketti on osoitettu ystävälleni Helsinkiin.	The package is addressed to my friend in Helsinki.
Onko teillä teippiä, jolla voin sulkea laatikon?	Do you have tape I can use to seal the box?
Voinko jättää paketin tähän tiskille?	Can I leave the package here on the counter?
