Valitse kieli.	Select a language.
Yhdistä Wi-Fi-verkkoon.	Connect to a Wi-Fi network.
Onko sinulla SIM-kortti valmiina?	Do you have a SIM card ready?
Aseta SIM-kortti puhelimeen.	Insert the SIM card into the phone.
Kopioidaan tietoja vanhasta puhelimestasi.	Copying data from your old phone.
Kirjaudu sisään Google-tililläsi.	Sign in with your Google account.
Luo uusi tili.	Create a new account.
Unohditko salasanasi?	Forgot your password?
Hyväksy käyttöehdot.	Accept the terms and conditions.
Aseta näytön lukitus.	Set a screen lock.
Haluatko käyttää sormenjälkitunnistusta?	Do you want to use fingerprint recognition?
Aseta sormenjälkesi.	Set up your fingerprint.
Kasvojentunnistus on nyt määritetty.	Face recognition is now configured.
Paina virtapainiketta käynnistääksesi puhelimen.	Press the power button to turn on the phone.
Tervetuloa uuteen puhelimeesi.	Welcome to your new phone.
Päivitetään ohjelmistoa.	Updating the software.
Tämä saattaa kestää muutaman minuutin.	This might take a few minutes.
Älä sammuta laitetta.	Do not turn off the device.
Valitse kotimaasi tai alueesi.	Select your country or region.
Määritä sähköpostitilisi.	Set up your email account.
Haluatko palauttaa varmuuskopion?	Do you want to restore a backup?
Palauta tiedot iCloudista.	Restore data from iCloud.
Siirrä tiedot Android-laitteesta.	Transfer data from an Android device.
Kaikki sovelluksesi asennetaan taustalla.	All your apps will be installed in the background.
Valitse oletushakukone.	Choose your default search engine.
Määritä ääniavustaja.	Set up the voice assistant.
Sano "Hei Google" kolme kertaa.	Say "Hey Google" three times.
Navigointipalkin tyylin valitseminen.	Choosing the navigation bar style.
Käytetäänkö eleitä vai painikkeita?	Use gestures or buttons?
Ladataan suositeltuja sovelluksia.	Downloading recommended apps.
Voit ohittaa tämän vaiheen.	You can skip this step.
Puhelimesi on melkein valmis.	Your phone is almost ready.
Viimeistellään asennusta.	Finalizing the setup.
Opetusohjelma näyttää sinulle perustoiminnot.	The tutorial will show you the basic functions.
Miten siirrän yhteystietoni?	How do I transfer my contacts?
Yhdistä laturiin, jos akku on vähissä.	Connect to the charger if the battery is low.
Tarkistetaan päivityksiä.	Checking for updates.
Sovellusten ja tietojen kopiointi.	Copying apps and data.
Odota hetki.	Please wait a moment.
Kirjautuminen Applen tunnuksella.	Signing in with your Apple ID.
Kaksivaiheinen todennus vaaditaan.	Two-factor authentication is required.
Syötä vanhan puhelimesi salasana.	Enter the password of your old phone.
Anna kuusinumeroinen koodi.	Enter the six-digit code.
Haluatko ottaa sijaintipalvelut käyttöön?	Do you want to enable location services?
Paranna sijaintitarkkuutta.	Improve location accuracy.
Lähetä diagnostiikkatietoja automaattisesti.	Send diagnostic data automatically.
Lue tietosuojakäytäntö.	Read the privacy policy.
Asennetaan SIM-korttia...	Installing the SIM card...
Verkkoyhteys muodostettu.	Network connection established.
Mobiilidata on päällä.	Mobile data is on.
Valitaan paras saatavilla oleva verkko.	Selecting the best available network.
Tietojen siirto on valmis.	Data transfer is complete.
Järjestellään aloitusnäyttöäsi.	Organizing your home screen.
Lisää widgettejä aloitusnäytölle.	Add widgets to the home screen.
Vaihda taustakuva.	Change the wallpaper.
Aseta soittoääni.	Set the ringtone.
Säädä näytön kirkkautta.	Adjust the screen brightness.
Ota automaattinen kirkkaus käyttöön.	Enable automatic brightness.
Aseta uniajastin.	Set the sleep timer.
Älä häiritse -tila on aktivoitu.	Do Not Disturb mode is activated.
Mukauta ilmoitusasetuksia.	Customize notification settings.
Mistä sovelluksista haluat ilmoituksia?	From which apps do you want notifications?
Tarkista sovellusten käyttöoikeudet.	Review app permissions.
Anna sovellukselle pääsy kameraan.	Allow the app to access the camera.
Anna sovellukselle pääsy mikrofoniin.	Allow the app to access the microphone.
Päivitä kaikki sovellukset Google Play -kaupasta.	Update all apps from the Google Play Store.
Asennus on nyt valmis.	The setup is now complete.
Tutustu uuteen puhelimeesi.	Explore your new phone.
Tässä on muutamia hyödyllisiä vinkkejä.	Here are a few useful tips.
Akun säästötila on päällä.	Battery saver mode is on.
Lataa akku täyteen ennen ensimmäistä käyttöä.	Charge the battery fully before first use.
Kuinka yhdistän Bluetooth-laitteeseen?	How do I connect to a Bluetooth device?
Etsitään laitteita...	Searching for devices...
Muodostetaan laiteparia...	Pairing...
Laitepari on muodostettu onnistuneesti.	Paired successfully.
Nimeä puhelimesi.	Name your phone.
Varmuuskopioidaan Google Driveen.	Backing up to Google Drive.
Varmuuskopiointi on käytössä.	Backup is enabled.
Tilaa uutiskirje.	Subscribe to the newsletter.
Rekisteröi tuotteesi takuuta varten.	Register your product for the warranty.
Puhelimen käynnistäminen uudelleen voi ratkaista ongelmia.	Restarting the phone can solve problems.
Asennusohjelma opastaa sinua.	The setup wizard will guide you.
Valitse näytön zoomaus.	Select display zoom.
Säädä fonttikokoa.	Adjust the font size.
Tämä laite on suojattu.	This device is protected.
Kirjaudu sisään aiemmin synkronoidulla Google-tilillä.	Sign in with a Google account that was previously synced on this device.
Tarvitsen apua asennuksessa.	I need help with the setup.
Aloitusnäytön asettelu on valittu.	The home screen layout has been selected.
Lisätään viimeiset silaukset.	Adding the finishing touches.
Kaikki on valmista.	All set.
Aloita käyttö.	Get started.
Siirretään tietoja langattomasti.	Transferring data wirelessly.
Käytä kaapelia siirtääksesi tiedot nopeammin.	Use a cable to transfer data faster.
Varmista, että molemmat puhelimet ovat ladattuja ja lähellä toisiaan.	Make sure both phones are charged and near each other.
Sovellusten ja tietojen siirtäminen voi viedä aikaa.	Transferring apps and data can take a while.
Jotkin tiedot eivät siirtyneet.	Some data didn't transfer.
Voit määrittää loput asetukset myöhemmin.	You can finish setting up the rest later.
Tervetuloa Androidiin.	Welcome to Android.
Tervetuloa iOS:ään.	Welcome to iOS.
