Paljonko nämä mansikat maksavat?	How much are these strawberries?
Litra mansikoita, kiitos.	A liter of strawberries, please.
Ovatko nämä perunat kotimaisia?	Are these potatoes domestic?
Haluaisin kaksi nippua tilliä.	I would like two bunches of dill.
Voinko maksaa kortilla?	Can I pay by card?
Mistä nämä vihannekset tulevat?	Where do these vegetables come from?
Onko teillä luomutuotteita?	Do you have organic products?
Nämä herneet ovat todella makeita.	These peas are very sweet.
Saako maistaa yhtä hernettä?	May I taste one pea?
Kiitos, otan tämän kukkakaalin.	Thanks, I'll take this cauliflower.
Myyttekö tuoreita yrttejä?	Do you sell fresh herbs?
Onko tämä hunaja paikallista?	Is this honey local?
Haluaisin ostaa purkin hunajaa.	I would like to buy a jar of honey.
Milloin nämä marjat on poimittu?	When were these berries picked?
Tämä leipä näyttää herkulliselta. Onko se tänään leivottu?	This bread looks delicious. Was it baked today?
Paljonko kilo uusia perunoita maksaa?	How much does a kilo of new potatoes cost?
Otetaan kilo siikli-perunoita.	We'll take a kilo of Siikli potatoes.
Onko teillä kantarelleja?	Do you have chanterelles?
Nämä tomaatit ovat niin kypsiä ja punaisia.	These tomatoes are so ripe and red.
Tarvitsen ainekset vihanneskeittoon.	I need ingredients for a vegetable soup.
Voitko suositella jotain hyvää?	Can you recommend something good?
Täällä torilla on aina niin hyvä tunnelma.	The atmosphere at the market is always so good here.
Rakastan tuoreiden tuotteiden tuoksua.	I love the smell of fresh produce.
Onko tämä kala savustettu?	Is this fish smoked?
Haluaisin palan tuota savulohta.	I would like a piece of that smoked salmon.
Punnitaanko nämä itse?	Do we weigh these ourselves?
Saisinko muovipussin näille, kiitos.	Could I have a plastic bag for these, please.
Yritän tukea paikallisia tuottajia.	I try to support local producers.
Käyn torilla joka lauantai.	I visit the farmer's market every Saturday.
Mikä on päivän tarjous?	What is the offer of the day?
Nämä kirsikat ovat täydellisiä.	These cherries are perfect.
Onko teillä vadelmia?	Do you have raspberries?
Kaksi rasiaa vadelmia, kiitos.	Two boxes of raspberries, please.
Tämä kaali on valtava!	This cabbage is huge!
Voinko saada pienemmän kurkun?	Can I have a smaller cucumber?
Nämä porkkanat ovat niin rapeita.	These carrots are so crunchy.
Onko teillä myynnissä kukkia?	Do you sell flowers?
Haluaisin tuon kauniin kukkakimpun.	I would like that beautiful bouquet of flowers.
Tämä on parasta aikaa vuodesta ostaa tuoreita vihanneksia.	This is the best time of year to buy fresh vegetables.
Maksan käteisellä.	I'll pay with cash.
Onko teillä antaa takaisin kahdestakymmenestä eurosta?	Do you have change for twenty euros?
Kiitos paljon ja hyvää päivänjatkoa!	Thank you very much and have a good day!
Tulen ehdottomasti uudelleen.	I will definitely come again.
Anteeksi, paljonko sipulinippu maksaa?	Excuse me, how much is a bunch of onions?
Otetaan kaksi nippua kevätsipulia.	We'll take two bunches of spring onions.
Tämä tilli tuoksuu voimakkaalta.	This dill smells strong.
Tarvitsen perunoita keitettäväksi.	I need potatoes for boiling.
Nämä marjat ovat suoraan pellolta.	These berries are straight from the field.
Voiko näitä syödä heti?	Can these be eaten right away?
Suosittelen pesemään ne ensin.	I recommend washing them first.
Miten säilytän nämä parhaiten?	What is the best way to store these?
Säilytä ne jääkaapissa.	Store them in the refrigerator.
Onpa edullista!	How affordable!
Tämä on hieman kalliimpaa, mutta laatu on parempi.	This is a bit more expensive, but the quality is better.
Luotan teidän laatuunne.	I trust your quality.
Olen ollut asiakkaanne jo vuosia.	I have been your customer for years.
Onko teillä pensasmustikoita?	Do you have blueberries?
Litrahinta on kaksitoista euroa.	The price per liter is twelve euros.
Se sopii, otan yhden litran.	That works, I'll take one liter.
Täällä on niin paljon valinnanvaraa.	There is so much choice here.
Onko tämä maissi makeaa?	Is this corn sweet?
Kyllä, se on erittäin makeaa lajiketta.	Yes, it is a very sweet variety.
Grillaamme tänään, joten otan neljä maissia.	We are grilling today, so I'll take four cobs of corn.
Voinko saada myös pienen pussin herneitä?	Can I also get a small bag of peas?
Tottakai, tässä olkaa hyvä.	Of course, here you go.
Kiitos, tämä riittää tältä erää.	Thanks, this is enough for now.
Nähdään taas ensi viikolla!	See you again next week!
Onko tämä leipä gluteeniton?	Is this bread gluten-free?
Valitettavasti ei, mutta meillä on kauraleipää.	Unfortunately not, but we have oat bread.
Hyvä, otan yhden kauraleivän.	Good, I'll take one oat bread.
Nämä omenat ovat omasta puutarhastanne?	Are these apples from your own garden?
Kyllä, ne ovat omppuja omalta pihalta.	Yes, they are apples from our own yard.
Ne näyttävät herkullisilta. Otan kilon.	They look delicious. I'll take a kilo.
Tarvitsetko kuittia?	Do you need a receipt?
Ei kiitos, en tarvitse kuittia.	No thank you, I don't need a receipt.
Torikahvit kuuluvat asiaan.	Coffee at the market square is a must.
Käydäänkö vielä kahvilla?	Should we go for coffee?
Torilla myydään myös käsitöitä.	Handicrafts are also sold at the market.
Nämä villasukat ovat ihania.	These wool socks are lovely.
Onko teillä juustoa?	Do you have cheese?
Haluaisin maistaa tuota cheddaria.	I would like to taste that cheddar.
Se on todella täyteläistä. Otan pienen palan.	It's very rich. I'll take a small piece.
Onko teillä kananmunia?	Do you have eggs?
Vapaan kanan munia, kiitos.	Free-range eggs, please.
Kenno munia maksaa kuusi euroa.	A carton of eggs costs six euros.
Tässä, ole hyvä.	Here you go.
Kiitoksia!	Thank you!
Onko tämä tyrnimehu sokeritonta?	Is this sea buckthorn juice sugar-free?
Kyllä, se on täysin sokeroimaton.	Yes, it is completely unsweetened.
Hienoa, otan yhden pullon.	Great, I'll take one bottle.
Tuen mielelläni pienyrittäjiä.	I gladly support small entrepreneurs.
Satokausi on nyt parhaimmillaan.	The harvest season is at its best right now.
Nämä ovat viimeiset raparperit tältä kesältä.	These are the last rhubarbs of this summer.
Teen niistä piirakkaa.	I'll make a pie with them.
Kuinka paljon tarvitset?	How much do you need?
Noin kilo riittää.	About a kilo is enough.
Selvä, punnitsen tämän sinulle.	Okay, I'll weigh this for you.
Tämä tekee yhteensä kaksikymmentäviisi euroa.	This makes a total of twenty-five euros.
Päivää, onko teillä tuoretta kalaa?	Good day, do you have fresh fish?
Tänään tuli ahventa ja kuhaa.	Today we got perch and pike-perch.
Haluaisin kaksi kuhafileetä, kiitos.	I would like two pike-perch fillets, please.
