Muista ruokkia kissa.	Remember to feed the cat.
Onko kissalla tarpeeksi vettä?	Does the cat have enough water?
Puhdista kissanhiekkalaatikko.	Clean the cat's litter box.
Leikitäänkö kissan kanssa?	Shall we play with the cat?
Silitä sitä, se tykkää siitä.	Pet it, it likes that.
Kissa kehrää tyytyväisenä.	The cat is purring contently.
Mikä on kissan lempilelu?	What is the cat's favorite toy?
Harjaan kissan turkin kerran viikossa.	I brush the cat's fur once a week.
On aika leikata kissan kynnet.	It's time to cut the cat's claws.
Varaa aika eläinlääkärille.	Book an appointment at the vet.
Kissa nukkuu auringonpaisteessa.	The cat is sleeping in the sunshine.
Älä anna kissan mennä pöydälle.	Don't let the cat go on the table.
Meidän täytyy ostaa lisää kissanruokaa.	We need to buy more cat food.
Annan kissalle märkäruokaa aamulla ja illalla.	I give the cat wet food in the morning and evening.
Kuivaruokaa on aina saatavilla.	Dry food is always available.
Missä kissa on?	Where is the cat?
Se piileskelee sängyn alla.	It is hiding under the bed.
Kissa on hyvin utelias.	The cat is very curious.
Hän jahtaa leluhiirtä.	He is chasing a toy mouse.
Oletko nähnyt kissaa tänään?	Have you seen the cat today?
Kissan hiekkalaatikko pitää siivota joka päivä.	The cat's litter box needs to be cleaned every day.
Vaihdetaan vesi tuoreeseen.	Let's change the water to fresh water.
Hän on hyvin hellä kissa.	She is a very affectionate cat.
Se tykkää nukkua sylissä.	It likes to sleep on a lap.
Kissa on perheenjäsen.	The cat is a member of the family.
Tämä kissa on pelastettu eläinsuojasta.	This cat was rescued from an animal shelter.
Onko kissasi rokotettu?	Is your cat vaccinated?
Kissa pitää itseään hyvin siistinä.	The cat keeps itself very clean.
Se pesee kasvojaan tassuillaan.	It's washing its face with its paws.
Älä unohda madottaa kissaa säännöllisesti.	Don't forget to deworm the cat regularly.
Kissa rakastaa raapimispuutaan.	The cat loves its scratching post.
Tämä estää sitä raapimasta huonekaluja.	This prevents it from scratching the furniture.
Kissa maukuu oven edessä.	The cat is meowing in front of the door.
Se haluaa mennä ulos.	It wants to go outside.
Pidä silmällä, ettei se syö mitään sopimatonta.	Keep an eye on it so it doesn't eat anything inappropriate.
Jotkut kasvit ovat myrkyllisiä kissoille.	Some plants are poisonous to cats.
Haluatko herkkupalan?	Do you want a treat?
Älä anna sille liikaa herkkuja.	Don't give it too many treats.
Vanha kissa nukkuu suurimman osan päivästä.	The old cat sleeps for most of the day.
Kissanpentu on täynnä energiaa.	The kitten is full of energy.
Se leikkii verhonarujen kanssa.	It is playing with the curtain cords.
Kissa on niin hassu, kun se jahtaa omaa häntäänsä.	The cat is so funny when it chases its own tail.
Se on hyvin itsenäinen eläin.	It is a very independent animal.
Kissa tulee toimeen koiramme kanssa.	The cat gets along with our dog.
Se on arka vieraita kohtaan.	It is shy towards strangers.
Anna sille aikaa tottua sinuun.	Give it time to get used to you.
Kissa siristää silmiään, kun se on onnellinen.	The cat squints its eyes when it is happy.
Sen turkki on niin pehmeä.	Its fur is so soft.
Kissa venyttelee pitkään herättyään.	The cat stretches for a long time after waking up.
Tule tänne, kisu.	Come here, kitty.
Hyvä kissa.	Good cat.
Mikä sinulla on, pienokainen?	What's wrong, little one?
Oletko nälkäinen?	Are you hungry?
Ruokakuppi on tyhjä.	The food bowl is empty.
Täytän sen heti.	I'll fill it right away.
Kissa tykkää katsella lintuja ikkunasta.	The cat likes to watch birds from the window.
Se on sisäkissa.	It's an indoor cat.
Emme päästä sitä ulos ilman valvontaa.	We don't let it outside without supervision.
Käytämme sille valjaita ulkoillessa.	We use a harness for it when we go out.
Kissa on kadonnut!	The cat is missing!
Etsitään sitä yhdessä.	Let's look for it together.
Toivottavasti se löytyy pian.	I hope it's found soon.
Kissanpentu opettelee käyttämään hiekkalaatikkoa.	The kitten is learning to use the litter box.
Joskus sattuu vahinkoja.	Sometimes accidents happen.
Älä toru sitä, jos se tekee tarpeensa väärään paikkaan.	Don't scold it if it relieves itself in the wrong place.
Näytä sille, missä oikea paikka on.	Show it where the right place is.
Kissat eivät pidä kovista äänistä.	Cats don't like loud noises.
Hän pelkää imuria.	He is afraid of the vacuum cleaner.
Piilota johdot, ettei se pureskele niitä.	Hide the cables so it doesn't chew on them.
Tarkista kissan hampaat säännöllisesti.	Check the cat's teeth regularly.
On tärkeää huolehtia sen terveydestä.	It is important to take care of its health.
Kissa on loistava seuralainen.	A cat is a wonderful companion.
Se odottaa minua ovella, kun tulen kotiin.	It waits for me at the door when I come home.
Se puskee päätään jalkaani vasten.	It pushes its head against my leg.
Tuo on sen tapa tervehtiä.	That is its way of greeting.
Kissa nukkuu usein pahvilaatikossa.	The cat often sleeps in a cardboard box.
Ne rakastavat ahtaita paikkoja.	They love tight spaces.
Ostan kissalle uuden lelun.	I will buy the cat a new toy.
Ehkä höyhenillä varustetun onkivavan.	Maybe a fishing rod toy with feathers.
Kissa tarvitsee virikkeitä pysyäkseen onnellisena.	A cat needs stimulation to stay happy.
Oletko allerginen kissoille?	Are you allergic to cats?
Minun täytyy ottaa allergialääke.	I need to take an allergy pill.
Kissankarvoja on kaikkialla.	There's cat hair everywhere.
Tarvitsemme tehokkaan nukanpoistorullan.	We need an effective lint roller.
Kissan hoitaminen on iso vastuu.	Taking care of a cat is a big responsibility.
Se elää toivottavasti pitkän ja onnellisen elämän.	Hopefully, it will live a long and happy life.
Kissa makaa läppärini päällä.	The cat is lying on my laptop.
Se haluaa huomiota.	It wants attention.
Nyt ei ole leikin aika.	Now is not the time to play.
Kissa juo vettä hanasta.	The cat is drinking water from the tap.
Se on sen hassu tapa.	That is its funny habit.
Kuka vahtii kissaa, kun olemme lomalla?	Who will look after the cat when we are on vacation?
Kysyn naapurilta, voisiko hän auttaa.	I will ask the neighbor if he could help.
Jätämme hänelle yksityiskohtaiset ohjeet.	We will leave him detailed instructions.
Kissa on sirutettu.	The cat is microchipped.
Jos se katoaa, se voidaan tunnistaa.	If it gets lost, it can be identified.
Pidä kuljetuskoppaa esillä, jotta kissa tottuu siihen.	Keep the carrier out so the cat gets used to it.
Se tekee eläinlääkärikäynneistä helpompia.	It makes vet visits easier.
Tämä kissa puhuu paljon.	This cat talks a lot.
Se on erittäin älykäs.	It is very intelligent.
Se osaa avata ovia.	It knows how to open doors.
