On aika ruokkia koira.	It's time to feed the dog.
Muistitko antaa koiralle vettä?	Did you remember to give the dog water?
Käytetäänkö koira ulkona?	Shall we take the dog out?
Hae hihna, mennään kävelylle.	Get the leash, let's go for a walk.
Koira tarvitsee paljon liikuntaa.	The dog needs a lot of exercise.
Muista kerätä koirankakat.	Remember to pick up the dog's poop.
Mistä löydän kakkapussit?	Where can I find the poop bags?
Hyvä poika! Istu.	Good boy! Sit.
Anna tassu.	Give a paw.
Mennään koirapuistoon leikkimään.	Let's go to the dog park to play.
Heitä palloa sille.	Throw the ball for him/her.
Koira rakastaa vinkulelujaan.	The dog loves his/her squeaky toys.
On aika harjata turkki.	It's time to brush the fur.
Milloin koira viimeksi madotettiin?	When was the dog last dewormed?
Varaa aika eläinlääkärille rokotuksia varten.	Book an appointment with the vet for vaccinations.
Koira näyttää väsyneeltä.	The dog looks tired.
Se nukkuu omassa pedissään.	It sleeps in its own bed.
Älä anna koiralle suklaata, se on myrkyllistä.	Don't give the dog chocolate, it's toxic.
Onko meillä tarpeeksi koiranruokaa?	Do we have enough dog food?
Ostan lisää puruluita kaupasta.	I'll buy more chew bones from the store.
Raapsuta sitä korvan takaa.	Scratch him/her behind the ear.
Se on niin kiltti koira.	He/she is such a good dog.
Koira haukkuu ovella.	The dog is barking at the door.
Kuka siellä on? Katso.	Who's there? Go see.
Pitäisikö koira pestä?	Should we wash the dog?
Kynsien leikkuu on edessä.	A nail clipping is ahead.
Koira jahtaa häntäänsä.	The dog is chasing its tail.
Opetetaan sille uusi temppu.	Let's teach it a new trick.
Mene maahan.	Go lie down.
Se on hyvin uskollinen ystävä.	He/she is a very loyal friend.
Voisitko täyttää vesikupin?	Could you fill the water bowl?
Annan sille herkun, kun se on ollut kiltisti.	I'll give him/her a treat for being good.
Kävelytetään se ennen nukkumaanmenoa.	Let's walk it before bedtime.
Se odottaa sinua ikkunassa.	It's waiting for you at the window.
Pidä koira hihnassa tiellä.	Keep the dog on the leash on the road.
Voiko sen päästää vapaaksi puistossa?	Can it be let off the leash in the park?
Se tulee toimeen muiden koirien kanssa.	It gets along with other dogs.
Se on vähän arka vieraita kohtaan.	It's a little shy with strangers.
Älä hypi vasten!	Don't jump up!
Koira tarvitsee oman paikan, missä rauhoittua.	The dog needs its own place to calm down.
Oletko antanut sille iltaruoan?	Have you given it its evening meal?
Se syö kuivaruokaa ja märkäruokaa sekaisin.	It eats a mix of dry food and wet food.
Älä unohda päivittäistä kävelylenkkiä.	Don't forget the daily walk.
Koira nuolee kasvojani.	The dog is licking my face.
Se haluaa leikkiä, hae sen lempilelu.	It wants to play, get its favorite toy.
Onko sillä kaikki rokotukset voimassa?	Are all its vaccinations up to date?
Eläinlääkäri sanoi, että sen hampaat ovat hyvässä kunnossa.	The vet said its teeth are in good condition.
Se on jo vanha koira.	It's an old dog already.
Tämä on vielä pentu, se oppii koko ajan.	This is still a puppy, it's learning all the time.
Se pureskelee kenkiäni.	It's chewing my shoes.
Sano sille "ei".	Tell it "no".
Kehu koiraa, kun se tekee oikein.	Praise the dog when it does something right.
Positiivinen vahvistaminen on tehokasta.	Positive reinforcement is effective.
Se seuraa minua kaikkialle.	It follows me everywhere.
Nyt on lepohetken aika.	Now it's time for a rest.
Koira kuorsaa hiljaa.	The dog is snoring softly.
Sen turkki on niin pehmeä.	Its fur is so soft.
Vatsan rapsutus on parasta.	A belly rub is the best.
Mennään uimaan järveen!	Let's go swimming in the lake!
Monet koirat rakastavat vettä.	Many dogs love water.
Kuivaa se hyvin uimisen jälkeen.	Dry it well after swimming.
Älä jätä koiraa yksin autoon kuumalla säällä.	Don't leave the dog alone in the car in hot weather.
Varmista, että sillä on aina raikasta vettä saatavilla.	Make sure it always has fresh water available.
Oletko varma, ettei se ole allerginen tälle ruoalle?	Are you sure it's not allergic to this food?
Sen maha on mennyt sekaisin.	Its stomach is upset.
Annetaan sille vain riisiä ja kanaa hetken aikaa.	Let's just give it rice and chicken for a while.
Ota koira mukaan mökille.	Take the dog with you to the cottage.
Se nauttii luonnossa juoksemisesta.	It enjoys running in nature.
Muista tarkistaa punkkien varalta joka ilta.	Remember to check for ticks every evening.
Punkkipinsetit ovat laatikossa.	The tick tweezers are in the drawer.
Koira on perheenjäsen.	The dog is a member of the family.
Se tuo niin paljon iloa elämään.	It brings so much joy to life.
Anna koiralle aamuruoka.	Give the dog its morning food.
Rapsutetaan sitä vielä ennen kuin lähden töihin.	Let's give it another scratch before I leave for work.
Se tietää, milloin on ruoka-aika.	It knows when it's mealtime.
Koira heiluttaa häntäänsä iloisesti.	The dog is wagging its tail happily.
Se on oppinut odottamaan lupaa ennen syömistä.	It has learned to wait for permission before eating.
Onko koiralla jano?	Is the dog thirsty?
Vesikuppi on tyhjä.	The water bowl is empty.
Pidetään pieni leikkituokio pihalla.	Let's have a little play session in the yard.
Vedetäänkö köyttä?	Shall we play tug-of-war?
Ole varovainen sen hampaiden kanssa.	Be careful with its teeth.
Tarkistetaan korvat ja silmät.	Let's check the ears and eyes.
Kaikki näyttää puhtaalta.	Everything looks clean.
Koira on hieman ylipainoinen.	The dog is a bit overweight.
Meidän täytyy vähentää herkkujen antamista.	We need to cut back on the treats.
Pidemmät kävelylenkit auttaisivat.	Longer walks would help.
Mitä mieltä olet koirakoulusta?	What do you think about dog school?
Se voisi oppia hyviä tapoja siellä.	It could learn good manners there.
Koira nukkui jalkojeni juuressa koko yön.	The dog slept at my feet all night.
Se on niin söpö kun se nukkuu.	It's so cute when it's sleeping.
Älä herätä nukkuvaa koiraa.	Don't wake a sleeping dog.
Se pelkää ukkosta.	It's afraid of thunderstorms.
Rauhoitellaan sitä, kun se pelkää.	Let's calm it down when it's scared.
Oletko siivonnut sen karvat sohvalta?	Have you cleaned its hair off the sofa?
Karvanlähtöaika on taas alkanut.	The shedding season has started again.
Harjaaminen auttaa vähentämään irtokarvoja.	Brushing helps to reduce loose hair.
Se on paras ystäväni.	It's my best friend.
Koira kuuntelee aina, kun puhun sille.	The dog always listens when I talk to it.
Se ansaitsee parasta mahdollista hoitoa.	It deserves the best possible care.
