Menetkö naimisiin kanssani?	Will you marry me?
Hän sanoi kyllä!	She said yes!
Olemme kihloissa!	We're engaged!
Katso tätä kaunista sormusta.	Look at this beautiful ring.
Olin niin yllättynyt.	I was so surprised.
Kosinta oli täydellinen yllätys.	The proposal was a complete surprise.
Olen niin onnellinen, että saan viettää loppuelämäni kanssasi.	I'm so happy I get to spend the rest of my life with you.
Meillä on jännittäviä uutisia kerrottavana.	We have some exciting news to share.
Äiti, isä, me menemme naimisiin.	Mom, dad, we're getting married.
Olemme päättäneet mennä naimisiin.	We have decided to get married.
Milloin aiotte mennä naimisiin?	When are you planning to get married?
Oletteko jo päättäneet hääpäivän?	Have you set a wedding date yet?
Ajattelimme kesähäitä.	We're thinking of a summer wedding.
Meidän täytyy löytää juhlapaikka.	We need to find a venue.
Kuinka monta vierasta meidän pitäisi kutsua?	How many guests should we invite?
Olen alkanut etsiä hääpukua.	I've started looking for a wedding dress.
Haluamme pienet ja intiimit häät.	We want a small and intimate wedding.
Lähetimme kutsut viime viikolla.	We sent the invitations last week.
Meidän pitää varata valokuvaaja.	We need to book a photographer.
Millaisen kakun haluaisimme?	What kind of cake should we have?
Kuka on bestmanisi?	Who is your best man?
Pyysin siskoani kaasoni.	I asked my sister to be my maid of honor.
Hääsuunnittelu voi olla stressaavaa.	Wedding planning can be stressful.
Tahdotko sinä, Pekka, ottaa tämän Maijan vaimoksesi?	Do you, Pekka, take this Maija to be your wife?
Tahdon.	I do.
Julistan teidät mieheksi ja vaimoksi.	I now pronounce you husband and wife.
Voit suudella morsianta.	You may kiss the bride.
Tänään on hääpäivämme.	Today is our wedding day.
Seremonia oli todella kaunis.	The ceremony was really beautiful.
Näytät upealta tuossa puvussa.	You look stunning in that dress.
Onnea hääparille!	Congratulations to the newlyweds!
Juhlitaan!	Let's celebrate!
Häätanssimme on "Can't Help Falling in Love".	Our wedding dance is "Can't Help Falling in Love".
Kiitos, että jaoitte tämän päivän kanssamme.	Thank you for sharing this day with us.
En malta odottaa, että näen sinut alttarilla.	I can't wait to see you at the altar.
En ole koskaan ollut onnellisempi.	I've never been happier.
Olen vähän hermostunut.	I'm a little nervous.
Tämä on elämäni paras päivä.	This is the best day of my life.
Mihin menette häämatkalle?	Where are you going for your honeymoon?
Odotamme innolla yhteistä tulevaisuuttamme.	We are looking forward to our future together.
Haluaisin vanheta kanssasi.	I would like to grow old with you.
Olet elämäni rakkaus.	You are the love of my life.
Sormus sopii täydellisesti.	The ring fits perfectly.
Järjestämme kihlajaisjuhlat.	We are throwing an engagement party.
Kerroimme juuri perheillemme.	We just told our families.
