Minulla on huono olo.	I'm feeling unwell.
Voin pahoin.	I feel sick.
Pääni on kipeä.	My head hurts.
Kurkkuni on todella kipeä.	My throat is very sore.
Minulla on kuumetta.	I have a fever.
Nenäni on ihan tukossa.	My nose is completely blocked.
Yskittää koko ajan.	I'm coughing all the time.
Vatsaani koskee.	My stomach hurts.
Minua heikottaa.	I feel weak.
Lihaksiani särkee.	My muscles are aching.
Olen vilustunut.	I have a cold.
Taidan olla tulossa kipeäksi.	I think I'm getting sick.
Minulla on flunssa.	I have the flu.
Olen sairas.	I am sick.
Tarvitsen särkylääkettä.	I need a painkiller.
Pitääkö minun mennä lääkäriin?	Should I go to the doctor?
Varasin ajan lääkärille.	I booked a doctor's appointment.
Minulla on migreeni.	I have a migraine.
Kaikkia paikkoja kolottaa.	Every part of me is aching.
Silmäni ovat arat.	My eyes are sensitive.
Minulla on nuha.	I have a runny nose.
Palelen koko ajan.	I'm feeling cold all the time.
Minulla on lämpöä.	I have a slight fever.
Aivastan jatkuvasti.	I'm sneezing constantly.
Ääneni on käheä.	My voice is hoarse.
Ruokahalu on mennyt.	I've lost my appetite.
Lepään vain tänään.	I'm just going to rest today.
Juon paljon teetä ja hunajaa.	I'm drinking lots of tea and honey.
Olo on todella kurja.	I feel really miserable.
Sain sairauslomaa töistä.	I got sick leave from work.
Toivottavasti tämä menee pian ohi.	I hope this passes soon.
Korvani on lukossa.	My ear is blocked.
Sain tartunnan jostakin.	I caught something.
Poskionteloni ovat tulehtuneet.	My sinuses are inflamed.
Minulla on paha olo.	I feel nauseous.
Oksensin aamulla.	I vomited in the morning.
Pyörryttää, kun nousen ylös.	I feel dizzy when I stand up.
Tämä tauti kiertää nyt.	This illness is going around now.
Lääkäri määräsi antibiootteja.	The doctor prescribed antibiotics.
Nukun huonosti, kun on niin tukkoinen olo.	I sleep poorly because I'm so congested.
Otan kuumaa suihkua helpottaakseni oloa.	I'm taking a hot shower to feel better.
Mistä saisin kuumemittarin?	Where could I get a thermometer?
Onko sinulla jotain lääkettä tähän?	Do you have any medicine for this?
Kipu on sykkivää.	The pain is throbbing.
En jaksa tehdä mitään.	I don't have the energy to do anything.
Pysyn tänään sängyssä.	I'm staying in bed today.
Vatsani on sekaisin.	My stomach is upset.
Minulla on ripuli.	I have diarrhea.
Tuntuu, että kuume nousee.	I feel like my fever is rising.
Olen ihan poikki.	I'm completely exhausted.
En ole nukkunut silmällistäkään.	I haven't slept a wink.
Hikoilen todella paljon.	I'm sweating a lot.
Onko tämä tarttuvaa?	Is this contagious?
Pitäisikö minun tehdä koronavirustesti?	Should I take a coronavirus test?
Koko keho tärisee.	My whole body is shaking.
Tuntuu kuin joku hakkaisi päätäni.	It feels like someone is hammering my head.
Niskani on aivan jumissa.	My neck is completely stiff.
Lapsi on kipeänä kotona.	The child is sick at home.
Hänellä on korvatulehdus.	He/she has an ear infection.
Tarvitsen nenäsumutetta.	I need nasal spray.
Yritän vain levätä ja juoda paljon nesteitä.	I'll just try to rest and drink plenty of fluids.
Olo on vetämätön.	I feel listless.
Särky ei hellitä.	The ache isn't letting up.
Pää on täynnä räkää.	My head is full of snot.
Milloin viimeksi tunsit itsesi terveeksi?	When did you last feel healthy?
Oireet alkoivat eilen.	The symptoms started yesterday.
Tämä yskä on kuivaa.	This is a dry cough.
Keuhkoihin sattuu yskiessä.	My lungs hurt when I cough.
Maku- ja hajuaisti ovat poissa.	My sense of taste and smell are gone.
Tunnen oloni heikoksi ja väsyneeksi.	I feel weak and tired.
Olen ollut sängyn pohjalla kaksi päivää.	I've been bedridden for two days.
Sain lääkereseptin.	I got a prescription for medicine.
Apteekki on tuossa kulman takana.	The pharmacy is just around the corner.
Kuinka kauan tämä yleensä kestää?	How long does this usually last?
Parane pian!	Get well soon!
Toivottavasti voit pian paremmin.	I hope you feel better soon.
Olen huolissani sinusta.	I'm worried about you.
Tarvitsetko jotain kaupasta?	Do you need anything from the store?
Voin tuoda sinulle ruokaa.	I can bring you some food.
Lepää rauhassa.	Rest peacefully.
Älä rasita itseäsi.	Don't strain yourself.
Kuulostat kamalalta.	You sound awful.
Olet kalpea.	You are pale.
Sinulla on tummat silmänaluset.	You have dark circles under your eyes.
Onko sinulla vielä kuumetta?	Do you still have a fever?
Kuumetta on 38,5 astetta.	The fever is 38.5 degrees.
Mittasin juuri kuumeen.	I just took my temperature.
Tämä on varmasti vain tavallinen vilustuminen.	This is probably just a common cold.
Vatsatauti on kamala.	A stomach bug is horrible.
En pysty syömään mitään.	I can't eat anything.
Pysyn kaukana muista, etten tartuta.	I'm staying away from others so I don't infect them.
Käsien pesu on tärkeää.	Washing hands is important.
Tuntuu, että tauti pahenee.	I feel like the illness is getting worse.
Olo on jo hieman parempi.	I'm already feeling a bit better.
Kävin lääkärin vastaanotolla.	I visited the doctor's office.
Onneksi se ei ollut mitään vakavaa.	Luckily, it wasn't anything serious.
Lääkäri sanoi, että minun pitää levätä.	The doctor said I need to rest.
Sairausloma kestää viikon.	The sick leave lasts for a week.
Olen toipilas.	I am recovering.
