Kävin viime kesänä Espanjassa.	I visited Spain last summer.
Muistatko sen kerran, kun matkustimme Italiaan?	Do you remember that time we traveled to Italy?
Olemme matkustelleet paljon Aasiassa.	We have traveled a lot in Asia.
Paras matkakokemukseni oli vaellus Perussa.	My best travel experience was a hike in Peru.
Lensimme New Yorkiin viisi vuotta sitten.	We flew to New York five years ago.
Reppureissasimme Kaakkois-Aasiassa kuukauden ajan.	We backpacked in Southeast Asia for a month.
Vietimme viikon Pariisissa ja kiertelimme museoita.	We spent a week in Paris and visited museums.
Oletko koskaan käynyt Afrikassa?	Have you ever been to Africa?
Lapsena matkustimme perheeni kanssa aina autolla Euroopassa.	As a child, we always traveled by car in Europe with my family.
Viime vuonna teimme kiertomatkan Japanissa.	Last year we did a tour in Japan.
Kävimme katsomassa pyramideja Egyptissä.	We went to see the pyramids in Egypt.
Uin upeissa vesiputouksissa Costa Ricassa.	I swam in amazing waterfalls in Costa Rica.
Ajoimme autolla rannikolta rannikolle Yhdysvalloissa.	We drove from coast to coast in the United States.
Ensimmäinen ulkomaanmatkani oli Ruotsiin.	My first trip abroad was to Sweden.
Olemme nähneet revontulet Lapissa.	We have seen the Northern Lights in Lapland.
Muistan sen ihanan pienen hotellin Roomassa.	I remember that lovely little hotel in Rome.
Söimme elämämme parasta pastaa Sisiliassa.	We ate the best pasta of our lives in Sicily.
Eksyimme usein Tokion suurilla metroasemilla.	We often got lost in Tokyo's large metro stations.
Paikalliset olivat uskomattoman ystävällisiä Vietnamissa.	The locals were incredibly friendly in Vietnam.
Opin muutaman sanan espanjaa matkallani.	I learned a few words of Spanish on my trip.
Rannat Thaimaassa olivat henkeäsalpaavia.	The beaches in Thailand were breathtaking.
Oli kiehtovaa tutustua Rooman raunioihin.	It was fascinating to explore the ruins of Rome.
Matkustimme junalla halki Intian.	We traveled by train across India.
Viime matkallani Lontooseen satoi koko ajan.	On my last trip to London, it rained all the time.
En unohda koskaan auringonlaskua Santorinilla.	I will never forget the sunset in Santorini.
Vuokrasimme auton ja kiersimme Islannin ympäri.	We rented a car and drove around Iceland.
Maistoin ensimmäistä kertaa sushia Japanissa.	I tasted sushi for the first time in Japan.
Teimme virheen, kun emme varanneet majoitusta etukäteen.	We made a mistake by not booking accommodation in advance.
Lentomme oli myöhässä monta tuntia.	Our flight was delayed by many hours.
Matkalaukkuni katosi paluumatkalla.	My suitcase got lost on the way back.
Hotellimme ei vastannut odotuksia.	Our hotel did not meet expectations.
Sairastuin vatsatautiin Meksikossa.	I got a stomach bug in Mexico.
Onneksi minulla oli matkavakuutus.	Luckily, I had travel insurance.
Kävelimme tuntikausia Berliinin muurilla.	We walked for hours along the Berlin Wall.
Kävimme sukelluskurssin Australiassa.	We took a diving course in Australia.
Paras osa matkaa oli tutustua uusiin ihmisiin.	The best part of the trip was meeting new people.
Matkustaminen avartaa maailmankuvaa.	Traveling broadens one's perspective.
Valokuvia selatessa tulee aina ikävä takaisin.	Looking at photos always makes me miss traveling.
Suosittelisin sitä kohdetta kenelle tahansa.	I would recommend that destination to anyone.
Se oli elämäni seikkailu.	It was the adventure of a lifetime.
Nukuimme yöjunan makuuvaunussa matkalla Prahaan.	We slept in a sleeper car on the night train to Prague.
Vuoristomaisemat Sveitsissä olivat uskomattomat.	The mountain views in Switzerland were incredible.
Osallistuimme kokkauskurssille Balilla.	We participated in a cooking class in Bali.
Sää oli täydellinen koko lomamme ajan.	The weather was perfect for our entire vacation.
Olisin halunnut viipyä siellä pidempään.	I would have liked to stay there longer.
Matkamme oli sekä rentouttava että opettavainen.	Our trip was both relaxing and educational.
Kiertelimme vanhoja kirkkoja ja linnoja.	We toured old churches and castles.
Pääsimme näkemään villieläimiä safarilla Keniassa.	We got to see wild animals on a safari in Kenya.
Argentiinassa söimme herkullisia pihvejä.	In Argentina, we ate delicious steaks.
Tanssimme salsaa kuubalaisessa yökerhossa.	We danced salsa in a Cuban nightclub.
En ollut koskaan nähnyt mitään niin kaunista kuin Plitvicen järvet Kroatiassa.	I had never seen anything as beautiful as the Plitvice Lakes in Croatia.
Vuokrasimme skootterit ja ajelimme ympäri saarta.	We rented scooters and drove around the island.
Tingimme hinnoista paikallisella torilla Marokossa.	We bargained for prices at a local market in Morocco.
Matka opetti minulle paljon kärsivällisyyttä.	The trip taught me a lot about patience.
Yritimme puhua paikallista kieltä, mutta se oli vaikeaa.	We tried to speak the local language, but it was difficult.
Otin tuhansia valokuvia.	I took thousands of photos.
Ikimuistoisin hetki oli auringonnousu Angkor Watissa.	The most memorable moment was the sunrise at Angkor Wat.
Matkustimme pienellä budjetilla, joten asuimme hostelleissa.	We traveled on a small budget, so we stayed in hostels.
Lennolla katsoin kolme elokuvaa.	I watched three movies on the flight.
Passini varastettiin Barcelonassa.	My passport was stolen in Barcelona.
Onneksi sain apua suurlähetystöstä.	Fortunately, I got help from the embassy.
Kaikesta huolimatta se oli mahtava reissu.	Despite everything, it was an amazing trip.
Suunnittelemme jo seuraavaa matkaa.	We are already planning our next trip.
Kävimme katsomassa kuuluisaa oopperaa Sydneyssä.	We went to see the famous opera in Sydney.
Patikoimme Inka-polun Machu Picchulle.	We hiked the Inca Trail to Machu Picchu.
Pidin päiväkirjaa koko matkan ajan.	I kept a journal during the whole trip.
Paikallinen ruoka oli välillä todella tulista.	The local food was sometimes really spicy.
Kävimme teeplantaasilla Sri Lankassa.	We visited a tea plantation in Sri Lanka.
Oli mielenkiintoista nähdä, miten erilaista elämä voi olla.	It was interesting to see how different life can be.
Eksyminen kaupungin kapeilla kujilla oli osa seikkailua.	Getting lost in the narrow alleys of the city was part of the adventure.
Ostimme paljon matkamuistoja kotiin tuotavaksi.	We bought a lot of souvenirs to bring home.
Näin ensimmäistä kertaa elämässäni kamelin.	I saw a camel for the first time in my life.
Meloin kajakilla Norjan vuonoissa.	I kayaked in the fjords of Norway.
Tutustuimme Gaudin arkkitehtuuriin Barcelonassa.	We explored Gaudi's architecture in Barcelona.
Se matka muutti elämäni.	That trip changed my life.
Oli virkistävää päästä pois arjesta.	It was refreshing to get away from everyday life.
Yövyimme riadissa Marrakeshin medinassa.	We stayed in a riad in the medina of Marrakesh.
Juna oli usein myöhässä, mutta se ei haitannut meitä.	The train was often late, but it didn't bother us.
Matkustaminen yksin oli vapauttava kokemus.	Traveling alone was a liberating experience.
Opin luottamaan itseeni enemmän.	I learned to trust myself more.
Kävimme jazz-klubilla New Orleansissa.	We went to a jazz club in New Orleans.
Vesi oli kristallinkirkasta ja täydellistä snorklaukseen.	The water was crystal clear and perfect for snorkeling.
Kiertelimme autolla Uuden-Seelannin Eteläsaarta.	We toured the South Island of New Zealand by car.
Näimme pingviinejä rannalla Etelä-Afrikassa.	We saw penguins on the beach in South Africa.
