Anteeksi, saisinko lasin vettä?	Excuse me, could I have a glass of water?
Haluaisin kupin kahvia, maidolla kiitos.	I would like a cup of coffee with milk, please.
Onko teillä mitään pientä purtavaa?	Do you have any snacks?
Mitä juomia teillä on tarjolla?	What kind of drinks do you have?
Saisinko peiton ja tyynyn?	Could I have a blanket and a pillow?
Kuinka kauan lento vielä kestää?	How much longer is the flight?
Voitteko auttaa minua tämän laukun kanssa?	Can you help me with this bag?
Milloin aloitamme laskeutumisen?	When will we start our descent?
Onko teillä kuulokkeita? Unohdin omani.	Do you have headphones? I forgot mine.
Tämä istuin ei tunnu menevän taaksepäin.	This seat doesn't seem to recline.
Mikä on paikallinen aika Helsingissä?	What is the local time in Helsinki?
Tarvitsen apua turvavyön kanssa.	I need help with the seatbelt.
Voinko saada toisen juoman?	May I have another drink?
Valitsen kana-aterian, kiitos.	I'll choose the chicken meal, please.
Onko tämä ateria gluteeniton?	Is this meal gluten-free?
Saisinko tomaattimehua, kiitos.	Could I have a tomato juice, please.
Missä lähin vessa sijaitsee?	Where is the nearest restroom located?
Ilmastointi on melko voimakas tässä.	The air conditioning is quite strong here.
Voitteko herättää minut, kun tarjoilu alkaa?	Could you wake me up when the service begins?
Täytyykö minun täyttää maahantulolomake?	Do I need to fill out an arrival card?
Mistä voin ladata puhelintani?	Where can I charge my phone?
Onko lennolla Wi-Fi-yhteyttä?	Is there Wi-Fi on the flight?
Saisinko särkylääkettä? Pääni on kipeä.	Could I get a painkiller? I have a headache.
Tämä näyttö ei toimi.	This screen isn't working.
Kuinka korkealla me lennämme?	At what altitude are we flying?
Voinko vaihtaa paikkaa tyhjälle riville?	Can I move to an empty row?
Lentomme on ilmeisesti myöhässä.	Our flight is apparently delayed.
Osaatteko sanoa, miltä portilta jatkolentoni lähtee?	Can you tell me which gate my connecting flight departs from?
Kiitos paljon avustanne.	Thank you very much for your help.
Saisinko korvatulpat?	Could I have some earplugs?
Minulla on hieman huono olo.	I'm feeling a bit sick.
Onko teillä jotain luettavaa, kuten sanomalehteä?	Do you have anything to read, like a newspaper?
Voinko maksaa ostokseni luottokortilla?	Can I pay for my purchase with a credit card?
Mikä on tämän lennon numero?	What is this flight's number?
Pidän tämän roskapussin, kiitos.	I'll take this garbage bag, please.
Onko tämä normaalia turbulenssia?	Is this normal turbulence?
Anteeksi, voisitteko ottaa tämän tarjottimen?	Excuse me, could you take this tray?
Haluaisin ostaa nämä hajuvedet.	I would like to buy this perfume.
Milloin tax-free-myynti alkaa?	When does the tax-free sale start?
Voinko saada lämmintä vettä tuttipulloon?	Could I get some warm water for a baby bottle?
Lapseni tarvitsee lasten aterian.	My child needs a children's meal.
Unohdin tilata erikoisaterian, onko mitään tehtävissä?	I forgot to order a special meal, is there anything that can be done?
Kuinka kauan meidän pitää pitää turvavyöt kiinni?	How long do we have to keep our seatbelts fastened?
Saisinko muovipussin?	Could I have a plastic bag?
Voinko saada uuden maahantulokortin? Tein virheen.	Can I get a new landing card? I made a mistake.
Ikkunasta vetää.	There's a draft from the window.
Voitteko pyytää takanani olevaa matkustajaa olemaan potkimatta istuintani?	Could you ask the passenger behind me to stop kicking my seat?
Anteeksi, tämä ei ole minun tilaamani juoma.	Excuse me, this is not the drink I ordered.
Milloin valot sammutetaan yöksi?	When will the lights be turned off for the night?
Saisinko lasin jäävettä?	Could I have a glass of ice water?
Haluaisin ostaa kuulokkeet.	I would like to purchase headphones.
Onko tämä lento täynnä?	Is this flight full?
Voinko siirtää käsimatkatavarani toiseen paikkaan?	Can I move my hand luggage to another place?
Tämä pöytä on likainen.	This table is dirty.
Voitteko näyttää minulle, miten tämä toimii?	Can you show me how this works?
Paljonko nämä suklaat maksavat?	How much do these chocolates cost?
Onko teillä teetä? Mielellään vihreää teetä.	Do you have tea? Preferably green tea.
Tarvitsen laastarin.	I need a plaster.
Puhutteko saksaa?	Do you speak German?
