Kokeilen tätä uutta reseptiä ensimmäistä kertaa.	I am trying this new recipe for the first time.
Mitä ainesosia me tarvitsemme?	What ingredients do we need?
Ohje näyttää melko yksinkertaiselta.	The instructions look quite simple.
Esilämmitä uuni 200 asteeseen.	Preheat the oven to 200 degrees.
Onko meillä kaikki tarvittava?	Do we have everything we need?
Minun täytyy mitata jauhot tarkasti.	I need to measure the flour precisely.
Kuinka monta teelusikallista suolaa?	How many teaspoons of salt?
Tässä sanotaan, että sekoita kuivat aineet keskenään.	It says here to mix the dry ingredients together.
Voitko ojentaa minulle kulhon?	Can you hand me the bowl?
Pilkon sipulit ja valkosipulit.	I'm chopping the onions and garlic.
Tämä taikina tuntuu liian tahmealta.	This dough feels too sticky.
Lisäänkö hieman enemmän jauhoja?	Should I add a little more flour?
Anna seoksen levätä kymmenen minuuttia.	Let the mixture rest for ten minutes.
Miltä tämän pitäisi näyttää tässä vaiheessa?	What should this look like at this stage?
Tämä ei näytä yhtään samalta kuin kuvassa.	This doesn't look anything like in the picture.
Toivottavasti tästä tulee hyvää.	I hope this turns out well.
Tuoksuu jo herkulliselta.	It already smells delicious.
Kuinka kauan tätä pitää paistaa?	How long does this need to bake?
Aseta ajastin 25 minuutiksi.	Set the timer for 25 minutes.
Vahdin tätä tarkasti, ettei se pala.	I'll watch this carefully so it doesn't burn.
Vatkaa kananmunat ja sokeri vaahdoksi.	Whisk the eggs and sugar until fluffy.
Sulata voi ja anna sen jäähtyä.	Melt the butter and let it cool.
Resepti on vähän epäselvä tässä kohdassa.	The recipe is a bit unclear at this point.
Oletan, että minun pitäisi tehdä näin.	I assume I'm supposed to do this.
Toivottavasti en tehnyt virhettä.	I hope I didn't make a mistake.
Maista kastiketta ja lisää mausteita tarvittaessa.	Taste the sauce and add spices if needed.
Mielestäni tässä on tarpeeksi suolaa.	I think there's enough salt in this.
Koostumus on hieman outo.	The texture is a bit strange.
On aika laittaa tämä uuniin.	It's time to put this in the oven.
Nyt vain odotellaan.	Now we just wait.
Tarkista kypsyys hammastikulla.	Check for doneness with a toothpick.
Se on valmista!	It's ready!
Anna sen jäähtyä ennen leikkaamista.	Let it cool before cutting.
Maistetaanpa lopputulosta.	Let's taste the final result.
Tämähän on todella hyvää!	This is actually really good!
Yllättävän onnistunut ensimmäiseksi kerraksi.	Surprisingly successful for a first time.
Tätä teen ehdottomasti uudelleen.	I will definitely make this again.
Ensi kerralla lisään vähän chiliä.	Next time I'll add a little bit of chili.
Ei mennyt ihan niin kuin piti.	It didn't go exactly as planned.
Maku on hyvä, mutta se on vähän raaka sisältä.	The taste is good, but it's a bit raw inside.
Ehkä paistoin sitä liian vähän aikaa.	Maybe I didn't bake it long enough.
Tämä resepti oli pettymys.	This recipe was a disappointment.
En ole varma, mitä tein väärin.	I'm not sure what I did wrong.
Tarvitsen isomman leikkuulaudan.	I need a bigger cutting board.
Missä on raastinrauta?	Where is the grater?
Laita öljyä pannulle.	Put oil in the pan.
Kuumenna keskilämmöllä.	Heat over medium heat.
Lisää kasvikset ja kuullota niitä hetki.	Add the vegetables and sauté them for a moment.
Kaada vesi hitaasti joukkoon.	Pour the water in slowly.
Sekoita jatkuvasti, ettei seos pala pohjaan.	Stir constantly so the mixture doesn't burn to the bottom.
Pienennä lämpöä ja anna hautua.	Reduce the heat and let it simmer.
Laita kansi päälle.	Put the lid on.
Tarkistan reseptin vielä kerran.	I'll check the recipe one more time.
Olenko unohtanut jonkin ainesosan?	Have I forgotten an ingredient?
Ah, unohdin lisätä yrtit.	Ah, I forgot to add the herbs.
Parempi myöhään kuin ei milloinkaan.	Better late than never.
Tämä näyttää lupaavalta.	This looks promising.
Tarjoillaanko tämä riisin vai perunoiden kanssa?	Is this served with rice or potatoes?
Reseptissä ei mainita lisukkeita.	The recipe doesn't mention side dishes.
Improvisoidaan vähän.	Let's improvise a little.
Keitän samalla pastaa.	I'll cook some pasta at the same time.
Kata pöytä, ruoka on melkein valmista.	Set the table, the food is almost ready.
Toivottavasti myös sinä pidät tästä.	I hope you like this too.
Ole varovainen, vuoka on kuuma.	Be careful, the dish is hot.
Tämä on parasta, mitä olen koskaan leiponut.	This is the best thing I have ever baked.
Voinko saada reseptin?	Can I have the recipe?
Totta kai, lähetän sen sinulle.	Of course, I'll send it to you.
Tämä oli helpompaa kuin luulin.	This was easier than I thought.
Tämä oli vaikeampaa kuin odotin.	This was harder than I expected.
Siivotaan tämä sotku myöhemmin.	Let's clean up this mess later.
Nautitaan nyt ruoasta.	Let's enjoy the food now.
Laitan reseptin muistiin.	I'll save this recipe.
Seuraavalla kerralla tuplaan annoksen.	Next time I'll double the recipe.
Onko meillä tuoretta korianteria?	Do we have fresh cilantro?
Voitko silputa persiljan?	Can you chop the parsley?
Lisää ripaus muskottipähkinää.	Add a pinch of nutmeg.
Sekoita, kunnes taikina on sileää.	Mix until the dough is smooth.
Tämä vaatii hieman kärsivällisyyttä.	This requires a bit of patience.
Käytän yleiskonetta vaivaamiseen.	I'll use the stand mixer for kneading.
Mikä on seuraava vaihe?	What is the next step?
Kuori ja kuutioi perunat.	Peel and dice the potatoes.
Huuhtele linssit huolellisesti.	Rinse the lentils carefully.
Tämä ruokalaji on kotoisin Intiasta.	This dish originates from India.
Kokeilen mielelläni uusia makuja.	I like to try new flavors.
Tämän pitäisi antaa jäähtyä kokonaan.	This should be left to cool completely.
Koristele tuoreilla marjoilla.	Garnish with fresh berries.
Tämä on täydellinen jälkiruoka.	This is a perfect dessert.
Miten voin säilyttää tämän?	How should I store this?
Säilytä jääkaapissa ilmatiiviissä rasiassa.	Store in the refrigerator in an airtight container.
Lopputulos on vaivan arvoinen.	The end result is worth the effort.
En malta odottaa, että pääsen maistamaan.	I can't wait to taste it.
Tämä on uusi luottoreseptini.	This is my new go-to recipe.
Tein pienen muutoksen reseptiin.	I made a small change to the recipe.
Se toimi hyvin.	It worked well.
Opin tästä paljon.	I learned a lot from this.
Ruoanlaitto on luovaa puuhaa.	Cooking is a creative activity.
Onnistumisen tunne on mahtava.	The feeling of success is great.
Taidan tarvita uuden esiliinan.	I think I need a new apron.
Jauhoja on joka paikassa.	There's flour everywhere.
Mutta se oli sen arvoista.	But it was worth it.
