Käänny oikealle 200 metrin päästä.	In 200 meters, turn right.
Jatka suoraan 1.5 kilometriä.	Continue straight for 1.5 kilometers.
Määränpääsi on vasemmalla.	Your destination is on the left.
Uudelleenlasketaan reittiä...	Recalculating route...
Havaittu ruuhkaa edessäpäin.	Traffic jam detected ahead.
Pysy oikeanpuoleisella kaistalla.	Stay in the right-hand lane.
Aja liikenneympyrään ja ota toinen liittymä.	Enter the roundabout and take the second exit.
Olet saapunut perille.	You have arrived at your destination.
Navigointi alkaa nyt.	Navigation will start now.
Etsitään nopeinta reittiä.	Finding the fastest route.
Vältetään tietulleja.	Avoiding tolls.
Poistu moottoritieltä seuraavasta liittymästä.	Exit the motorway at the next junction.
Nopeusrajoitus on 80 kilometriä tunnissa.	The speed limit is 80 kilometers per hour.
Lähestyt nopeusvalvontakameraa.	You are approaching a speed camera.
Määränpää on oikealla puolellasi.	Your destination is on your right.
Tee U-käännös, kun se on turvallista.	Make a U-turn when it is safe to do so.
Käänny vasemmalle valoista.	Turn left at the traffic lights.
Pysy tällä tiellä 5 kilometrin ajan.	Stay on this road for 5 kilometers.
Reitilläsi on onnettomuus.	There is an accident on your route.
Arvioitu saapumisaika on 15:30.	Estimated time of arrival is 15:30.
Etsi lähin huoltoasema.	Find the nearest gas station.
Lisätään pysähdys matkalle.	Adding a stop to the trip.
GPS-signaali on heikko.	The GPS signal is weak.
Jatka suoraan liikenneympyrän läpi.	Continue straight through the roundabout.
Ota liittymä kohti Helsinkiä.	Take the exit towards Helsinki.
Aja varovasti, tiellä on tietyötä.	Drive carefully, there are roadworks ahead.
Määränpää on ruuhka-alueella.	The destination is in a congestion zone.
Käänny loivasti oikealle.	Make a slight right turn.
Käänny jyrkästi vasemmalle.	Make a sharp left turn.
Pidä vasemmalle haarautuvassa tiessä.	Keep left at the fork.
Pidä oikealle seuraavassa tienhaarassa.	Keep right at the next fork.
Navigoidaan osoitteeseen Hämeenkatu 10.	Navigating to Hämeenkatu 10.
Matka kestää noin 25 minuuttia.	The journey will take about 25 minutes.
Näytä vaihtoehtoiset reitit.	Show alternative routes.
Tämä reitti sisältää lauttamatkan.	This route includes a ferry trip.
Aja tunneliin.	Enter the tunnel.
Liikennevaloissa käänny oikealle.	At the traffic lights, turn right.
Seuraa E18-tietä.	Follow road E18.
Poistu liikenneympyrästä kolmannesta liittymästä.	Exit the roundabout at the third exit.
Määränpääsi on tämän tien päässä.	Your destination is at the end of this road.
Olet perillä 10 minuutin kuluttua.	You will arrive in 10 minutes.
Ääniopastus on päällä.	Voice guidance is on.
Mykistä ääniopastus.	Mute voice guidance.
Näytä liikennetiedot.	Show traffic information.
Pysäköintialue on oikealla.	The parking area is on the right.
Käänny seuraavasta mahdollisesta vasemmalle.	Take the next possible left.
Valmistaudu kääntymään oikealle.	Prepare to turn right.
Aja sillan yli.	Drive over the bridge.
Edessä on suljettu tie.	There is a closed road ahead.
Etsitään uutta reittiä.	Searching for a new route.
Nopeampi reitti löytyi, säästät 5 minuuttia.	A faster route has been found, you will save 5 minutes.
Pysy vasemmanpuoleisilla kahdella kaistalla kääntyäksesi vasemmalle.	Use the two left lanes to turn left.
Saavutaan pian määränpäähän.	Arriving at the destination shortly.
Navigointi on päättynyt.	Navigation has ended.
Haluatko tallentaa tämän sijainnin?	Do you want to save this location?
Aloita uusi matka.	Start a new trip.
Mihin haluat mennä?	Where do you want to go?
Sano komento.	Say a command.
Peruuta nykyinen reitti.	Cancel the current route.
Soitetaan Kallelle.	Calling Kalle.
Mikä on matkan pituus?	What is the distance of the trip?
Jäljellä oleva matka on 12 kilometriä.	The remaining distance is 12 kilometers.
Aja hitaasti, koulualue.	Drive slowly, school zone.
Ylität pian nopeusrajoituksen.	You are about to exceed the speed limit.
Siirry oikealle kaistalle.	Move to the right lane.
Käänny oikealle Pirkankadulle.	Turn right onto Pirkankatu.
Jatka suoraan Satakunnankadulla.	Continue straight on Satakunnankatu.
Liikenneympyrässä ota ensimmäinen liittymä.	At the roundabout, take the first exit.
Määränpää on takanasi.	The destination is behind you.
Käänny ympäri, kun mahdollista.	Turn around when possible.
Edessäsi on ruuhkaa noin 2 kilometrin matkalla.	There is traffic ahead for about 2 kilometers.
Reittisi on päivitetty liikennetilanteen mukaan.	Your route has been updated based on traffic conditions.
Etsi pysäköinti määränpään läheltä.	Find parking near the destination.
Navigoidaan lähimmälle sähköauton latausasemalle.	Navigating to the nearest electric car charging station.
Tämä reitti välttää moottoriteitä.	This route avoids motorways.
Haluatko lisätä pysähdyksen ruokakauppaan?	Do you want to add a stop at the grocery store?
Jatka päätietä pitkin.	Continue along the main road.
Seuraa opasteita kohti Keskustaa.	Follow the signs towards the City Centre.
Käänny vasemmalle ja pysy sitten oikealla.	Turn left, then keep right.
Tie kapenee.	The road narrows.
Valmistaudu pysähtymään.	Prepare to stop.
Liikenne liikkuu hitaasti.	Traffic is moving slowly.
Olet saavuttanut välietapin.	You have reached a waypoint.
Jatketaan matkaa viimeiseen määränpäähän.	Continuing to the final destination.
Näytä kartalla.	Show on map.
Keskusta on edessäpäin.	The city centre is ahead.
