Mistä voin ostaa bussilipun?	Where can I buy a bus ticket?
Haluaisin ostaa kertalipun.	I would like to buy a single ticket.
Paljonko päivälippu maksaa?	How much does a day ticket cost?
Voinko maksaa bussissa kortilla?	Can I pay with a card on the bus?
Minulla on matkakortti.	I have a travel card.
Lataan kortilleni lisää arvoa.	I'm adding more value to my card.
Tarvitsen lipun AB-vyöhykkeille.	I need a ticket for the AB zones.
Onko tämä lippu voimassa myös raitiovaunussa?	Is this ticket also valid on the tram?
Myydäänkö täällä opiskelijalippuja?	Are student tickets sold here?
Saisinko kaksi aikuisten kertalippua?	Could I have two adult single tickets?
Lippuautomaatti on epäkunnossa.	The ticket machine is out of order.
Ostan lipun mobiilisovelluksella.	I'm buying a ticket with the mobile app.
Lippu täytyy näyttää lukijalaitteelle.	The ticket must be shown to the reader device.
Onko sinulla kolikoita lippuautomaattia varten?	Do you have coins for the ticket machine?
Säilytä lippu koko matkan ajan.	Keep the ticket for the entire journey.
Missä on lähin bussipysäkki?	Where is the nearest bus stop?
Mikä bussi menee rautatieasemalle?	Which bus goes to the train station?
Pysähtyykö tämä raitiovaunu keskustassa?	Does this tram stop in the city center?
Anteeksi, onko tämä oikea suunta Kamppiin?	Excuse me, is this the right direction for Kamppi?
Miltä laiturilta bussi numero seitsemän lähtee?	From which platform does bus number seven leave?
Minun täytyy vaihtaa kulkuneuvoa seuraavalla asemalla.	I need to change vehicle at the next station.
Kuinka monta pysäkinväliä on museolle?	How many stops are there to the museum?
Meneekö tästä metroa lentokentälle?	Is there a metro from here to the airport?
Olen matkalla Kallioon.	I'm on my way to Kallio.
Jään pois kolmen pysäkin päästä.	I'm getting off in three stops.
Voitko neuvoa, miten pääsen Suomenlinnaan?	Can you tell me how to get to Suomenlinna?
Raitiovaunulinja kaksi menee suoraan sinne.	Tram line two goes directly there.
Metroasema on heti tuon kulman takana.	The metro station is just behind that corner.
Seuraa opasteita metrolaiturille.	Follow the signs to the metro platform.
Tämä on tämän linjan päätepysäkki.	This is the final stop of this line.
Voinko istua tälle vapaalle paikalle?	May I sit in this free seat?
Tämä paikka on varattu liikuntarajoitteisille.	This seat is reserved for persons with reduced mobility.
Pitäkää kiinni, raitiovaunu lähtee liikkeelle.	Hold on, the tram is starting to move.
Painoin stop-nappia juuri.	I just pressed the stop button.
Ovet avautuvat tällä kertaa toiselle puolelle.	The doors will open on the other side this time.
Seuraava asema on Hakaniemi.	The next station is Hakaniemi.
Anteeksi, haluaisin jäädä pois tässä.	Excuse me, I would like to get off here.
Metrovaunu on todella ruuhkainen.	The metro car is really crowded.
Löysitkö itsellesi istumapaikan?	Did you find a seat for yourself?
