Täytä kaikki kentät.	Fill in all fields.
Tähdellä (*) merkityt kentät ovat pakollisia.	Fields marked with an asterisk (*) are mandatory.
Käytä isoja kirjaimia.	Use block letters.
Kirjoita selkeällä käsialalla.	Write with clear handwriting.
Etunimi	First name
Toinen nimi	Middle name
Sukunimi	Last name
Koko nimi	Full name
Henkilötunnus	Personal identity code
Syntymäaika	Date of birth
Syntymäpaikka	Place of birth
Sukupuoli	Gender
Mies	Male
Nainen	Female
Muu	Other
Kansalaisuus	Nationality
Äidinkieli	Mother tongue
Lähiosoite	Street address
Postinumero	Postal code
Postitoimipaikka	City / Post office
Maa	Country
Puhelinnumero	Phone number
Sähköpostiosoite	Email address
Siviilisääty	Marital status
Naimaton	Single
Naimisissa	Married
Rekisteröity parisuhde	Registered partnership
Eronnut	Divorced
Leski	Widowed
Ammatti	Occupation
Nykyinen työnantaja	Current employer
Koulutus	Education
Korkein suoritettu tutkinto	Highest degree completed
Oppilaitoksen nimi	Name of the educational institution
Valmistumisvuosi	Year of graduation
Huoltajan nimi	Name of guardian
Huoltajan puhelinnumero	Guardian's phone number
Yhteyshenkilö hätätapauksessa	Emergency contact person
Allekirjoitus	Signature
Nimenselvennys	Printed name
Päiväys	Date
Paikka ja aika	Place and date
Valitse yksi vaihtoehto.	Select one option.
Rastita sopiva ruutu.	Tick the appropriate box.
Yliviivaa tarpeeton.	Cross out what is not applicable.
Lisätietoja	Additional information
Kirjoita lisätiedot tähän.	Write additional information here.
Tähän osioon ei tarvitse kirjoittaa mitään.	You don't need to write anything in this section.
Vain viranomaisen täytettäväksi.	For official use only.
Liitä mukaan kopio passistasi.	Attach a copy of your passport.
Vaaditut liitteet	Required attachments
Hakijan tiedot	Applicant's information
Maksajan tiedot	Payer's information
Laskutusosoite	Billing address
Toimitusosoite	Shipping/Delivery address
Sama kuin yllä	Same as above
Vahvistan tiedot oikeiksi.	I confirm the information is correct.
Olen lukenut ja hyväksyn käyttöehdot.	I have read and accept the terms of use.
Suostumus tietojen käsittelyyn	Consent for data processing
Kyllä	Yes
Ei	No
Palauta lomake neuvontaan.	Return the form to the information desk.
Lähetä hakemus sähköpostitse.	Send the application by email.
Hakemuksen jättöpäivä	Application submission date
Asiakasnumero	Customer number
Viitenumero	Reference number
Tilinumero (IBAN)	Account number (IBAN)
Ajokortin numero	Driver's license number
Passin numero	Passport number
Passin myöntämispäivä	Passport issue date
Passin viimeinen voimassaolopäivä	Passport expiry date
Työkokemus	Work experience
Edellinen työpaikka	Previous workplace
Asepalvelus suoritettu	Military service completed
Sotilasarvo	Military rank
Tulot vuodessa	Annual income
Menot kuukaudessa	Monthly expenses
Haettava summa	Amount applied for
Lainan tarkoitus	Purpose of the loan
Asumismuoto	Type of housing
Vuokra-asunto	Rental apartment
Omistusasunto	Owner-occupied home
Asumiskulut	Housing costs
Sosiaaliturvatunnus	Social security number
Veronumero	Tax number
Yrityksen nimi	Company name
Y-tunnus	Business ID
Asema yrityksessä	Position in the company
Terveydentilaa koskevat tiedot	Information concerning health status
Perhesuhteet	Family relations
Lasten lukumäärä	Number of children
Lapsen syntymävuosi	Child's year of birth
Jäsenyyden tyyppi	Type of membership
Normaali jäsen	Regular member
Opiskelijajäsen	Student member
Eläkeläisjäsen	Pensioner member
Päättymispäivä	End date
Alkamispäivä	Start date
Valitse salasanasi.	Choose your password.
Vahvista salasana.	Confirm password.
Salasanan on oltava vähintään 8 merkkiä pitkä.	The password must be at least 8 characters long.
Käyttäjätunnus	Username
Oletko EU-kansalainen?	Are you an EU citizen?
Työlupa vaaditaan.	A work permit is required.
Tallenna muutokset.	Save changes.
Peruuta	Cancel
Lähetä	Submit
