Paras tapa tulla on bussilla.	The best way to come is by bus.
Ota bussi numero yhdeksän.	Take bus number nine.
Sinun täytyy ottaa bussi, joka menee Hervantaan.	You need to take the bus that goes to Hervanta.
Bussi lähtee Keskustorilta.	The bus leaves from the Central Square (Keskustori).
Etsi pysäkki C Keskustorilta.	Look for stop C at the Central Square.
Lähin pysäkki sinulle on rautatieaseman edessä.	The closest stop for you is in front of the railway station.
Voit nousta kyytiin Hämeenkadulta.	You can get on from Hämeenkatu street.
Varmista, että menet oikeaan suuntaan.	Make sure you are going in the right direction.
Se on linja, jonka päätepysäkki on Kaukajärvi.	It's the line whose final destination is Kaukajärvi.
Mikä tahansa bussi numeroilla 3, 5 tai 17 käy.	Any bus with the number 3, 5, or 17 will do.
Jää pois pysäkillä nimeltä "Sammonkatu".	Get off at the stop called "Sammonkatu".
Minun pysäkkini on nimeltään "Turtola".	My stop is called "Turtola".
Pysäkki on heti ison risteyksen jälkeen.	The stop is right after the big intersection.
Sinun täytyy painaa stop-nappia, kun näet Lidlin.	You need to press the stop button when you see a Lidl.
Se on noin viidentoista minuutin matka.	It's about a fifteen-minute journey.
Pysäkkejä on yhteensä kahdeksan.	There are eight stops in total.
Jää pois kuudennella pysäkillä.	Get off at the sixth stop.
Bussin näytöllä lukee seuraavan pysäkin nimi.	The screen on the bus shows the name of the next stop.
Voit myös seurata reittiä puhelimen kartasta.	You can also follow the route on your phone's map.
Kun jäät bussista, taloni on tien toisella puolella.	When you get off the bus, my house is on the other side of the road.
Kävele pysäkiltä eteenpäin noin 100 metriä.	Walk forward from the stop for about 100 meters.
Käänny ensimmäisestä kulmasta oikealle.	Turn right at the first corner.
Asun siinä keltaisessa kerrostalossa.	I live in that yellow apartment building.
Sisäänkäynti on pihan puolella.	The entrance is on the courtyard side.
Se on vain kahden minuutin kävelymatka pysäkiltä.	It's only a two-minute walk from the stop.
Soita minulle, kun olet lähellä.	Call me when you are close.
Voit ostaa lipun lähimaksulla bussista.	You can buy a ticket with a contactless payment on the bus.
On helpointa käyttää Nysse-sovellusta.	It's easiest to use the Nysse app.
Bussi kulkee kymmenen minuutin välein.	The bus runs every ten minutes.
Ruuhka-aikaan bussit ovat usein täynnä.	During rush hour, the buses are often full.
Viikonloppuisin aikataulu on harvempi.	On weekends, the schedule is less frequent.
Tarkista tarkka aikataulu Reittioppaasta.	Check the exact schedule from the Journey Planner.
Viimeinen bussi takaisin keskustaan lähtee puolenyön jälkeen.	The last bus back to the center leaves after midnight.
Jos eksyt, soita minulle heti.	If you get lost, call me immediately.
Jos ajat pysäkkini ohi, jää pois seuraavalla.	If you go past my stop, get off at the next one.
Seuraava pysäkki on onneksi lähellä.	Luckily, the next stop is close.
Pysäkillä on katos, jossa voit odottaa.	The stop has a shelter where you can wait.
Oikea laituri on A.	The correct platform is A.
Bussi on joskus myöhässä.	The bus is sometimes late.
Älä nouse bussiin, joka menee Tesomalle.	Don't get on the bus that goes to Tesoma.
Sen pitäisi olla sininen bussi.	It should be a blue bus.
Näetkö jo pysäkin?	Can you see the stop yet?
Mene tien yli suojatietä pitkin.	Cross the road using the crosswalk.
Osoitteemme on Sammonkatu 10 B.	Our address is Sammonkatu 10 B.
Rappu on B, ja asuntoni on kolmannessa kerroksessa.	The staircase is B, and my apartment is on the third floor.
Valitettavasti talossa ei ole hissiä.	Unfortunately, there is no elevator in the building.
Pysäkin nimi on "Kalevan kirkko".	The name of the stop is "Kaleva Church".
Se on todella helppo löytää, kirkkoa ei voi olla huomaamatta.	It's really easy to find, you can't miss the church.
Matka kestää alle puoli tuntia.	The trip takes less than half an hour.
Muista painaa nappia ajoissa.	Remember to press the button in time.
Kuljettajalta voi kysyä apua.	You can ask the driver for help.
Sano kuljettajalle pysäkin nimi, jos olet epävarma.	Tell the driver the name of the stop if you are unsure.
Bussi numero 6 on myös hyvä vaihtoehto.	Bus number 6 is also a good option.
Se jättää sinut vähän kauemmas.	It leaves you a bit further away.
Kävelymatkaa on silloin noin viisi minuuttia enemmän.	The walk is then about five minutes longer.
Odotan sinua bussipysäkillä.	I will wait for you at the bus stop.
Laita viestiä, kun nouset bussiin.	Send me a message when you get on the bus.
Näin osaan arvioida saapumisaikasi.	This way I can estimate your arrival time.
Miltä pysäkiltä olet tulossa?	Which stop are you coming from?
Helpoin reitti riippuu siitä, mistä lähdet.	The easiest route depends on where you are starting from.
Kaikki keskustan kautta kulkevat bussit ovat käteviä.	All buses that go via the city center are convenient.
Tervetuloa!	Welcome!
Oletko jo bussissa?	Are you on the bus yet?
Kuinka monta pysäkinväliä on vielä jäljellä?	How many stops are still left?
Seuraava pysäkki on sinun.	The next stop is yours.
Näetkö sen ison Prisman vasemmalla?	Do you see that big Prisma on the left?
Jää pois heti sen jälkeen.	Get off right after it.
Alikulkutunneli on turvallisin reitti tien yli.	The underpass is the safest route across the road.
Tule suoraan ylös portaita.	Come straight up the stairs.
Talomme on ensimmäinen vasemmalla.	Our building is the first on the left.
Älä huoli, neuvon sinua, jos tulee ongelmia.	Don't worry, I'll guide you if there are any problems.
Onko sinulla lippu valmiina?	Do you have your ticket ready?
Voit käyttää samaa lippua paluumatkaan, jos se on voimassa.	You can use the same ticket for the return trip if it's still valid.
Lipulla on 90 minuutin vaihtoaika.	The ticket has a 90-minute transfer time.
Bussimatka täällä on melko edullinen.	A bus trip here is quite affordable.
Pysäkkikuulutukset ovat suomeksi ja joskus englanniksi.	The stop announcements are in Finnish and sometimes in English.
Se on päätepysäkki, joten et voi mennä ohi.	It's the last stop, so you can't miss it.
Jää pois ennen kuin bussi kääntyy moottoritielle.	Get off before the bus turns onto the motorway.
Pysäkin numero on 2506.	The stop number is 2506.
Jokaisella pysäkillä on oma numeronsa.	Every stop has its own number.
Voit tarkistaa reitin etukäteen netistä.	You can check the route online beforehand.
Kirjoita vain osoitteeni Reittioppaaseen.	Just type my address into the Journey Planner.
Se näyttää sinulle parhaat vaihtoehdot.	It will show you the best options.
Yöbussit kulkevat viikonloppuisin.	Night buses run on the weekends.
Niillä on eri reitit ja numerot.	They have different routes and numbers.
Jos tulet yöllä, reitti on eri.	If you are coming at night, the route is different.
Bussin etuosassa on tilaa matkatavaroille.	There is space for luggage at the front of the bus.
Anna vanhuksille istumapaikka, jos bussi on täynnä.	Give your seat to the elderly if the bus is full.
On melko selvää, milloin pitää jäädä pois.	It's quite obvious when you need to get off.
Näet ison puiston oikealla puolella.	You will see a big park on your right side.
Pysäkkimme on heti puiston jälkeen.	Our stop is immediately after the park.
Kävele puiston läpi.	Walk through the park.
Se on mukava oikotie.	It's a nice shortcut.
Reitti on todella yksinkertainen.	The route is really simple.
Et voi mennä harhaan.	You can't go wrong.
Oletko löytänyt oikean bussipysäkin?	Have you found the right bus stop?
Hyppää vain kyytiin.	Just hop on.
