Hei, ilmoitan, että poikani Matti on tänään sairaana.	Hello, I am writing to inform you that my son Matti is sick today.
Anna on kuumeessa eikä pääse kouluun.	Anna has a fever and cannot come to school.
Hänellä on vatsatauti.	She has a stomach bug.
Matti on poissa koulusta tämän päivän.	Matti will be absent from school today.
Hän on todennäköisesti poissa myös huomenna.	He will probably be absent tomorrow as well.
Ilmoitan huomenna, mikä tilanne on.	I will let you know tomorrow what the situation is.
Voisitko lähettää tämän päivän kotitehtävät?	Could you send today's homework?
Matti yrittää tehdä tehtävät, jos hän jaksaa.	Matti will try to do the assignments if he has the energy.
Hän palaa kouluun heti, kun on terve.	He will return to school as soon as he is healthy.
Meillä on lääkäriaika huomenna klo 10.	We have a doctor's appointment tomorrow at 10 AM.
Matti myöhästyy sen vuoksi koulusta.	Matti will be late for school because of it.
Hän tulee kouluun heti vastaanoton jälkeen.	He will come to school right after the appointment.
Anomme Annalle lupaa poissaoloon perhematkan vuoksi.	We are requesting permission for Anna to be absent due to a family trip.
Matka on ajalla 5.-10. syyskuuta.	The trip is from the 5th to the 10th of September.
Miten selvitämme poissaolon aikaiset koulutehtävät?	How do we sort out the schoolwork during the absence?
Kiitos etukäteen ymmärryksestä.	Thank you in advance for your understanding.
Olen huolissani Matin jaksamisesta koulussa.	I am worried about Matti's ability to cope at school.
Hän tuntuu olevan viime aikoina hyvin väsynyt.	He seems to be very tired lately.
Matti on kertonut, että häntä kiusataan välitunnilla.	Matti has said that he is being bullied during recess.
Voisimmeko puhua tästä asiasta luottamuksellisesti?	Could we speak about this matter confidentially?
Onko koulussa ollut mitään erityistä?	Has there been anything particular going on at school?
Annan takki on hukkunut.	Anna's jacket has been lost.
Se on sininen, ja nimikyltti on niskassa.	It's blue, and the name tag is on the collar.
Katsokaa, löytyisikö se löytötavaralaatikosta.	Please check if it can be found in the lost and found box.
Matin liikuntavarusteet unohtuivat kotiin.	Matti's gym clothes were forgotten at home.
Voiko hän osallistua tällä kertaa ilman niitä?	Can he participate this time without them?
